,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_1_0,1.05,21.4,,,,,1.94,3.59,1.94,4.97,,,,1.82,2.96,5.1,31.39,30.31,,2.51,3.83,3.58,2.04,3.06,2.32,2.37,2.8,4.21,,3.14,2.56,2.63
TEMP_0_0,21.65,1.05,,,,,6.03,1.46,3.16,3.06,,,,3.36,1.78,114.54,2.36,1.6,,2.5,2.77,2.45,6.95,3.45,5.11,3.02,2.26,2.49,,2.98,2.87,2.8
TEMP_1_1,,,1.0,,,,3.28,,6.12,,1.01,,,10.38,118.71,1.26,,,,6.25,3.14,10.28,9.8,4.4,3.85,7.69,18.33,,,4.43,6.84,
TEMP_0_2,,,,1.0,,,144.12,,,4.64,,1.26,,18.76,11.01,,,2.92,,42.4,20.67,25.06,3.8,12.0,15.52,19.84,10.65,,,13.54,16.97,8.58
TEMP_0_1,,,,,1.0,,136.11,26.03,,3.9,,4.78,,325.25,,,1.84,,,53.0,93.0,5.69,,14.4,21.43,15.08,19.41,2.77,,22.21,18.33,7.15
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,2.45,7.05,2.11,39.31,27.33,,1.06,143.94,16.15,,,,,2.56,9.23,2.29,18.31,18.76,,3.49,3.29,3.93,2.87,4.24,3.49,5.46,4.52,5.81,,4.35,2.94,2.82
PRES_1_1,4.53,1.77,,,5.12,,153.12,1.01,,,,,,4.3,2.58,,2.1,1.66,,3.31,3.54,2.78,8.71,4.47,4.13,3.02,2.73,2.98,,3.52,3.68,3.42
PRES_1_0,3.32,5.55,5.6,,,,22.07,,1.07,,,,,3.71,4.79,5.1,16.28,,,5.67,5.44,5.11,3.47,5.05,4.59,5.39,5.0,7.62,,4.45,5.49,9.65
PRES_1_2,14.54,8.75,,2.76,1.82,,,,,1.0,,,,10.66,3.91,,3.42,,,8.35,15.04,9.17,7.08,4.84,7.38,5.39,6.73,4.21,,8.12,8.13,10.43
PRES_0_1,,,2.9,,,,,,,,1.01,,,,,2.74,,,,10.82,8.78,,,10.47,12.16,17.14,,,,13.1,17.67,
PRES_1_3,,,,1.63,4.87,,,,,,,1.0,,79.65,24.81,,8.7,2.92,,45.11,20.46,12.34,9.31,27.43,30.0,17.95,15.71,8.13,,16.62,40.12,6.6
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,1.42,2.57,4.22,3.0,41.0,,1.61,2.68,1.66,2.88,,9.57,,1.02,20.78,,,,,1.82,3.04,1.89,1.34,3.89,3.04,5.54,10.0,,,2.96,1.77,1.55
DEWP_0_0,5.53,3.15,104.87,4.19,,,13.69,3.82,5.03,2.45,,7.39,,46.46,1.05,,,,,8.95,3.98,9.38,16.64,2.89,3.31,2.46,2.21,3.3,,3.75,8.84,64.33
