,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,1.16,0.36,,,1.04,0.61,0.39,0.42,,,0.92,0.86,0.36,,0.81,0.63,0.63,0.62,0.55,0.4,0.22,,0.99,0.76
TEMP_0_0,0.41,1.22,,,0.84,0.83,0.24,0.81,,,0.66,0.95,0.8,,0.9,0.64,0.52,0.48,0.48,0.6,0.41,0.33,1.05,0.73
TEMP_1_1,,,1.54,,0.5,,1.47,,,,1.3,0.61,,0.57,1.01,0.72,0.69,0.73,0.59,0.46,,,1.23,0.73
TEMP_0_2,,,,2.12,,,,,2.01,1.07,,,1.86,,1.25,0.87,0.73,0.63,0.79,0.84,,,1.42,1.07
PRES_0_0,1.01,0.72,0.28,,1.16,0.26,,,,,0.89,0.85,0.44,,0.83,0.61,0.58,0.57,0.51,0.47,0.22,0.28,0.96,0.78
PRES_1_0,0.89,1.14,,,0.42,1.41,,,,,0.79,1.07,0.74,,0.98,0.72,0.6,0.56,0.57,0.58,0.43,,1.17,0.76
PRES_0_1,0.64,0.34,1.4,,,,1.5,,,,1.3,0.56,,0.54,1.02,0.69,0.67,0.67,0.57,0.44,0.38,,1.22,0.7
PRES_1_1,0.74,1.32,,,,,,1.57,,,0.36,1.13,1.08,,0.88,0.8,0.76,0.71,0.61,0.67,0.41,,1.24,0.77
PRES_1_3,,,,2.17,,,,,2.2,,,,1.9,,1.19,0.95,0.8,0.69,0.83,0.92,,,1.5,1.01
PRES_1_2,,,,2.8,,,,,,3.32,,,2.42,,2.11,,,,,,,,1.7,1.65
DEWP_1_0,0.94,0.62,0.78,,0.95,0.52,0.82,0.23,,,1.18,0.34,,,0.94,0.62,0.52,0.48,0.51,0.42,,,0.99,0.77
DEWP_0_0,0.91,0.9,0.37,,0.93,0.76,0.36,0.66,,,0.34,1.19,,,0.77,0.65,0.65,0.65,0.52,0.44,0.38,0.33,1.05,0.67
DEWP_0_1,0.58,1.19,,0.94,0.74,0.82,,1.01,0.89,0.49,,,1.52,,0.89,0.69,0.63,0.66,0.61,0.83,0.43,,1.13,0.9
DEWP_1_1,,,2.36,,,,2.34,,,,,,,3.03,1.66,,,,,,,,1.98,
WSPM_0_1,0.84,0.86,0.61,0.4,0.91,0.67,0.66,0.52,0.35,0.27,0.95,0.77,0.56,0.25,1.18,,0.21,0.21,0.4,,,,1.0,0.77
WSPM_0_0,1.01,0.93,0.68,0.42,1.02,0.76,0.67,0.72,0.43,,0.96,1.0,0.67,,,1.24,0.63,0.36,0.87,,,,1.22,0.67
WSPM_1_1,1.18,0.74,0.74,0.4,1.07,0.71,0.74,0.76,0.41,,0.92,1.1,0.68,,0.51,0.61,1.46,,,,,,1.22,0.83
WSPM_1_2,1.14,0.8,0.8,0.36,1.09,0.73,0.76,0.74,0.36,,0.9,1.13,0.74,,0.35,0.46,,1.56,,,,,1.24,0.79
WSPM_1_0,1.14,0.95,0.73,0.51,1.1,0.87,0.74,0.73,0.5,,1.04,1.07,0.78,,0.74,1.21,,,1.11,0.31,,,1.3,0.82
WSPM_0_2,0.93,1.24,0.64,0.59,1.12,0.89,0.63,0.85,0.6,,0.96,0.93,1.17,,,,,,0.37,1.76,,,1.12,1.2
WSPM_1_3,1.07,1.72,,,1.21,1.29,1.1,0.97,,,,1.64,1.21,,,,,,,,2.5,,1.76,
WSPM_0_3,,2.05,,,1.88,,,,,,,2.12,,,,,,,,,,2.99,,2.03
PM10_0,0.81,0.76,0.59,0.35,0.81,0.63,0.61,0.56,0.34,0.15,0.78,0.82,0.55,0.24,0.77,0.61,0.57,0.56,0.49,0.39,0.31,,1.05,0.35
PM10_1,0.97,0.88,0.56,0.44,1.06,0.64,0.56,0.56,0.38,0.29,0.98,0.81,0.72,,0.98,0.59,0.54,0.5,0.52,0.67,,0.41,0.57,1.27
