,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,2.09,0.63,,,1.57,1.1,0.31,0.48,,,1.39,1.25,0.27,,1.24,2.2,1.89,1.49,3.27,0.71,0.57,,1.26,1.53,1.79
TEMP_0_0,0.59,2.59,,,0.91,1.85,0.08,2.23,,,0.54,1.36,1.83,,1.2,1.98,1.31,0.96,2.98,1.71,2.36,2.37,1.32,1.3,1.85
TEMP_1_1,,,7.07,,0.16,,5.84,,,,2.05,0.45,,6.97,1.33,2.0,1.75,1.68,3.01,0.65,,,1.44,1.58,1.14
TEMP_0_2,,,,30.33,,,,,31.04,28.84,,,6.66,,1.29,2.11,1.18,0.66,3.77,1.83,,,1.32,1.47,1.37
PRES_0_0,1.71,1.08,0.15,,1.97,0.45,,0.09,,,1.31,1.25,0.46,,1.28,2.05,1.62,1.35,3.13,1.02,0.56,1.8,1.17,1.56,2.12
PRES_1_0,1.03,2.0,,,0.46,5.12,,,,,0.7,1.48,1.22,,1.24,2.06,1.4,1.04,3.15,1.3,2.18,,1.43,1.26,1.65
PRES_0_1,0.35,0.12,5.83,,,,6.34,,,,2.08,0.39,,6.24,1.43,1.87,1.66,1.39,3.05,0.58,1.52,,1.46,1.57,1.07
PRES_1_1,0.64,2.45,,,0.08,,,7.86,,,0.1,1.39,2.73,,0.89,2.55,2.1,1.51,3.1,1.62,1.59,,1.48,1.17,1.09
PRES_1_3,,,,30.41,,,,,36.17,,,,6.68,,1.09,2.38,1.41,0.78,4.1,2.17,,,1.46,1.34,1.29
PRES_1_2,,,,29.69,,,,,,238.33,,,6.52,,2.34,,,,,,,,,2.09,
DEWP_1_0,1.37,0.68,1.92,,1.21,0.7,1.97,0.1,,,2.25,0.38,,,1.54,1.87,1.36,0.95,3.18,0.73,,,1.17,1.67,1.79
DEWP_0_0,1.29,1.59,0.29,,1.15,1.66,0.25,1.38,,,0.37,2.36,,,1.03,2.35,2.01,1.67,3.07,0.87,2.0,2.6,1.48,1.27,1.45
DEWP_0_1,0.36,1.94,,6.89,0.54,1.37,,2.85,6.82,7.45,,,6.69,,0.96,2.03,1.37,1.33,3.18,2.91,1.96,,1.24,1.33,2.24
DEWP_1_1,,,7.09,,,,6.36,,,,,,,157.54,1.75,1.9,2.02,,4.42,,,,1.79,1.11,
WSPM_0_1,1.14,1.34,1.04,1.17,1.1,1.2,1.13,0.75,0.97,2.27,1.36,0.97,0.79,1.31,2.27,0.76,0.67,0.43,2.46,,,,1.18,1.59,1.7
WSPM_0_0,1.21,1.19,0.96,0.94,1.05,1.22,0.87,1.22,1.09,,1.05,1.19,0.89,,0.4,4.98,2.11,0.73,6.59,0.2,,,1.52,1.24,0.89
WSPM_1_1,1.41,0.91,1.07,0.8,1.08,0.98,1.0,1.34,0.88,,1.02,1.4,0.85,,0.81,3.15,6.73,0.26,2.18,0.29,,,1.4,1.51,1.6
WSPM_1_2,1.31,0.89,1.28,0.54,1.11,1.0,1.06,1.23,0.64,,0.93,1.44,1.02,,0.4,1.38,0.11,7.99,0.9,,,,1.58,1.27,1.71
WSPM_1_0,1.23,1.12,0.94,1.24,1.02,1.4,0.9,1.03,1.29,,1.07,1.17,1.06,,0.88,4.4,1.53,0.34,6.75,0.36,,,1.44,1.31,1.41
WSPM_0_2,0.81,1.79,0.61,1.64,1.07,1.38,0.55,1.49,1.94,,0.77,0.78,2.72,,,0.29,0.29,,1.09,13.5,,,0.79,1.45,4.09
WSPM_1_3,0.58,2.17,,,0.74,1.77,1.32,1.22,,,,1.72,1.75,,,,,,,,65.8,,1.93,1.27,
WSPM_0_3,0.55,2.74,,,1.6,,,,,,,2.43,,,,,,,,,,147.04,,1.68,4.74
PM10_0,1.1,1.3,1.03,1.01,0.93,1.4,1.05,1.26,1.16,,0.95,1.31,0.99,1.37,1.08,2.56,1.86,1.64,3.58,0.69,1.8,,1.99,0.82,0.43
PM10_1,1.24,1.14,1.05,1.17,1.17,0.96,1.04,0.88,0.97,2.36,1.27,1.01,0.91,0.73,1.41,1.77,1.5,1.01,2.84,1.1,0.58,1.48,0.78,2.19,1.44
PM10_2,1.27,1.42,0.6,0.6,1.45,1.2,0.59,0.52,0.57,,1.34,0.84,1.53,,1.33,1.1,1.14,0.69,2.2,3.41,,5.13,0.18,1.3,10.0
