,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.0,0.99,1.18,1.0,1.01,1.24,1.09,1.05,1.43,1.03,1.81,1.31,1.02,1.14,1.09,1.24,1.62
PRES_0_1,1.0,1.01,,,1.0,1.02,1.18,1.09,1.03,1.44,1.04,1.81,1.32,1.02,1.1,1.09,1.24,1.63
PRES_0_0,1.01,,8.24,,1.05,,,1.02,1.71,,,1.6,,,2.54,1.23,0.63,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,1.0,1.0,1.24,1.05,,,1.07,1.09,1.43,1.08,1.81,1.22,1.06,1.15,1.09,1.25,1.66
DEWP_1_0,0.99,1.0,,,,3.49,1.59,1.34,0.44,1.48,,1.81,1.99,,,1.09,1.07,
DEWP_0_0,1.03,0.9,,,,,14.29,0.93,,1.56,,,3.12,,,1.24,,
WSPM_0_1,1.0,1.0,0.91,,0.98,1.24,0.77,1.49,0.25,1.09,,1.76,0.84,,,1.11,1.21,1.73
WSPM_0_2,1.0,0.99,1.5,2.77,1.04,0.34,,0.25,2.31,0.69,,1.19,,,,1.09,1.19,1.24
WSPM_0_0,1.0,1.0,,,0.99,1.03,,0.81,0.49,2.7,0.47,2.93,2.03,,1.12,1.09,1.26,1.6
WSPM_0_3,1.0,1.01,,,1.05,,,,,0.62,3.27,0.88,,,,1.0,1.4,2.57
WSPM_1_0,1.0,1.0,,,1.0,1.03,,1.0,0.69,2.34,0.55,2.58,1.6,,,1.05,1.3,1.62
WSPM_1_1,1.0,1.01,,,0.92,1.7,3.72,1.15,,1.68,,1.39,4.15,,,1.09,1.3,
WSPM_0_4,1.0,1.01,,,1.05,,,,,,,,,4.89,,1.06,1.16,
WSPM_1_2,1.01,0.96,,,1.05,,,,,1.36,,,,,8.27,1.21,0.78,
PM10_0,1.0,1.0,1.19,1.44,1.0,1.05,1.47,1.1,1.04,1.48,0.94,1.9,1.44,1.02,1.37,1.2,0.93,1.16
PM10_1,1.0,1.01,,,1.02,0.81,,1.08,1.09,1.31,1.2,1.59,1.04,0.87,,0.83,1.77,1.96
PM10_2,1.0,1.01,,,1.03,,,0.99,,1.59,1.59,1.88,,,,0.53,1.78,8.52
