,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.0,2.86,4.61,1.02,1.85,3.09,1.13,1.46,1.21,1.76,1.02,1.63,2.18,2.56,1.01,1.1,2.02
PRES_0_1,0.99,0.98,,,1.01,1.82,3.26,1.11,1.46,1.19,1.73,1.01,1.6,2.14,2.62,1.0,1.08,1.98
PRES_0_0,0.04,,0.02,,0.04,,,0.05,0.04,,,0.05,,,0.05,0.04,0.09,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,0.94,0.94,2.56,4.12,0.91,,,1.08,1.31,1.14,1.58,0.96,1.66,1.95,2.29,0.95,1.02,1.87
DEWP_1_0,0.15,0.15,,,,0.08,0.16,0.14,0.69,0.18,,0.16,0.15,,,0.15,0.19,
DEWP_0_0,0.02,0.02,,,,,0.01,0.02,,0.01,,,0.01,,,0.02,,
WSPM_0_1,0.53,0.53,1.68,,0.55,0.79,1.57,0.44,3.12,0.92,,0.61,0.95,,,0.54,0.57,1.21
WSPM_0_2,0.28,0.28,0.48,0.55,0.27,1.24,,1.29,0.18,0.75,,0.46,,,,0.28,0.29,0.61
WSPM_0_0,0.19,0.19,,,0.2,0.34,,0.26,0.48,0.12,0.74,0.11,0.32,,0.53,0.19,0.22,0.28
WSPM_0_3,0.17,0.17,,,0.16,,,,,0.55,0.09,0.32,,,,0.19,0.17,0.25
WSPM_1_0,0.16,0.16,,,0.16,0.29,,0.18,0.32,0.12,0.49,0.11,0.38,,,0.15,0.19,0.28
WSPM_1_1,0.1,0.1,,,0.11,0.12,0.15,0.15,,0.07,,0.09,0.05,,,0.1,0.13,
WSPM_0_4,0.09,0.09,,,0.09,,,,,,,,,0.04,,0.09,0.12,
WSPM_1_2,0.04,0.04,,,0.04,,,,,0.05,,,,,0.01,0.04,0.11,
PM10_0,0.74,0.75,1.78,2.81,0.76,1.34,2.08,0.83,1.1,0.91,1.44,0.78,1.23,1.64,1.65,0.68,1.08,3.0
PM10_1,0.39,0.39,,,0.4,0.88,,0.45,0.56,0.46,0.58,0.38,0.59,0.97,,0.53,0.3,0.55
PM10_2,0.03,0.03,,,0.03,,,0.03,,0.04,0.03,0.03,,,,0.04,0.03,0.01
