,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_0_2,1.53,,,,,1.83,2.47,3.57,4.54,7.73,,1.17,2.2,67.05,172.12,,3.17,3.37,3.85,7.95,6.41,9.99,15.16,10.3,13.19,,1.54,3.03,6.4
TEMP_0_1,,4.68,,,,0.89,2.2,4.92,4.66,6.97,,0.98,,,,,2.22,2.49,3.78,6.49,5.68,8.53,11.93,,7.31,,1.14,2.56,5.24
TEMP_0_0,,,7.59,,,1.05,,3.89,6.18,8.65,,,3.44,,,,1.7,2.72,2.26,6.17,3.89,8.23,11.42,,8.2,,1.01,2.11,4.16
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.23,1.87,3.48,,,2.26,,,1.46,3.31,,1.05,2.17,,,,2.94,3.11,3.38,7.89,6.21,10.41,14.6,6.04,9.09,,1.46,2.67,4.82
PRES_1_3,1.02,2.74,,,,,3.69,,,,,0.96,1.61,46.91,140.83,,2.0,2.47,3.55,6.17,5.23,8.0,11.82,10.88,12.73,,1.15,2.5,6.31
PRES_1_1,0.58,2.57,3.46,472.65,,,,8.7,1.92,4.49,,0.58,2.36,,183.94,,2.23,1.83,2.43,5.71,5.24,5.94,9.83,,9.11,,1.03,1.94,3.78
PRES_1_0,0.63,1.86,4.3,,,0.2,,1.16,9.46,9.91,,0.66,1.95,,,,1.55,2.91,2.81,5.41,3.3,7.07,10.94,,9.05,,0.98,2.11,3.84
PRES_0_0,0.64,1.55,3.43,,,0.48,,1.37,5.88,13.99,,0.61,1.54,89.11,128.64,,2.11,2.2,2.61,3.2,2.47,4.7,7.04,,,,0.69,2.27,4.89
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,1.33,3.43,,,,1.78,2.66,3.98,5.43,8.58,,1.34,,,87.82,,3.33,3.45,4.5,8.42,6.34,11.05,16.06,8.14,11.09,,1.57,3.3,6.92
DEWP_0_1,0.81,,6.55,389.5,,1.22,1.42,5.22,5.27,7.72,,0.1,4.05,,115.87,,1.76,3.01,2.46,6.83,6.2,8.2,12.32,7.17,13.16,,1.23,2.25,4.51
DEWP_0_0,0.46,,,,,,,,3.36,6.75,,,,175.41,283.73,,1.67,,,,,,,,,,0.36,1.28,
DEWP_1_0,0.4,,,,,,,,,,,,,,293.57,,1.67,,,,,,,,,,,0.87,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,0.97,2.07,2.55,,,1.34,1.49,3.72,4.07,7.27,,0.9,1.39,69.06,126.37,,4.66,1.08,,3.49,,3.38,7.18,,,,1.01,2.72,6.13
WSPM_0_1,0.91,2.07,3.71,,,1.27,1.65,3.06,5.19,7.49,,0.82,2.19,,,,0.95,4.63,1.34,5.75,4.04,7.48,14.32,,,,1.19,2.26,4.02
WSPM_0_2,0.8,2.45,2.68,412.14,,1.04,1.91,2.77,4.44,5.51,,0.84,1.37,,,,,1.2,6.45,3.73,1.45,4.41,9.54,,,,1.04,2.51,4.16
WSPM_0_0,0.74,1.86,3.18,,,1.13,1.39,3.49,3.49,5.27,,0.7,1.73,,,,0.53,1.6,1.68,8.7,5.0,8.88,15.16,,7.24,,1.09,1.47,2.35
WSPM_1_2,0.74,2.03,2.27,,,1.04,1.49,4.06,2.43,6.45,,0.64,1.94,,,,,1.83,1.43,6.17,10.11,6.27,6.2,,,,1.04,1.73,
WSPM_1_1,0.66,1.69,2.68,,,1.02,1.16,2.5,3.13,5.28,,0.64,1.42,,,,,1.94,2.01,6.17,3.26,14.29,8.62,,,,0.96,1.53,2.72
WSPM_1_0,0.68,1.56,2.54,,,0.99,1.2,2.71,3.54,4.88,,0.64,1.44,,,,0.84,1.97,1.55,7.03,3.37,6.3,12.77,,,,0.94,1.4,2.73
WSPM_0_4,0.82,,,,,0.72,2.09,,,,,0.56,1.69,69.8,164.04,,,,,,,,,18.0,,,0.5,1.93,5.51
WSPM_1_3,0.65,0.91,1.96,,,0.65,1.49,2.37,2.59,,,0.46,1.68,,,,,,,2.27,,,,,27.58,,0.76,1.41,5.16
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.22,2.71,3.93,238.82,4860.24,1.73,2.19,4.87,5.05,7.39,4860.24,1.08,2.59,,,4860.24,2.23,3.63,3.19,9.47,8.52,12.15,16.54,4.19,15.49,4860.24,1.69,2.42,3.98
PM10_1,0.97,2.5,3.54,,,1.31,1.91,3.48,5.52,8.48,,0.93,1.96,57.3,114.41,,3.04,2.67,4.15,4.81,1.54,6.22,11.64,8.93,3.42,,1.09,3.31,5.16
PM10_2,0.8,1.72,2.68,,,0.84,2.05,2.35,3.6,7.38,,0.72,1.67,,134.92,,2.76,1.39,3.03,2.77,,3.65,6.25,9.07,4.58,,0.43,2.16,8.61
