,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,1.01,1.2,,,1.18,1.0,1.76,1.46,,,1.15,1.21,2.25,,1.13,0.62,0.64,0.75,0.4,1.02,0.65,0.75,1.18,1.04,0.57
TEMP_0_0,1.72,1.02,,,1.71,0.95,4.66,0.84,,,2.09,1.36,0.99,,1.42,0.76,0.8,1.0,0.48,0.78,0.47,0.37,1.44,1.36,0.73
TEMP_1_1,,29.4,1.01,,9.64,11.24,1.13,,,,2.44,4.68,,0.4,2.7,1.56,1.47,1.67,1.02,2.61,,,2.77,2.47,1.68
TEMP_0_2,,,,1.0,,,,,0.97,0.6,,,3.11,,8.67,4.45,5.57,8.15,2.59,4.1,,,8.96,7.82,4.11
PRES_0_0,1.01,1.03,2.4,,1.01,1.14,,2.29,,,1.1,1.13,1.63,,1.09,0.6,0.62,0.72,0.4,0.86,0.52,0.41,1.14,0.98,0.5
PRES_1_0,2.48,1.85,,,3.23,1.02,,,,,3.34,2.13,2.01,,2.24,1.22,1.39,1.67,0.73,1.33,0.87,,2.32,2.29,1.41
PRES_0_1,5.85,6.71,1.0,,,,1.01,,,,2.24,4.4,,0.39,2.38,1.49,1.4,1.66,0.95,2.54,1.02,,2.53,2.29,1.58
PRES_1_1,4.01,2.28,,,8.32,,,1.0,,,7.56,3.21,1.78,,3.28,1.53,1.52,1.91,1.04,1.77,1.69,,3.12,3.09,1.95
PRES_1_3,,,,1.14,,,,,1.0,,,,3.55,,10.58,4.88,6.47,8.51,2.93,4.78,,,9.71,9.23,4.57
PRES_1_2,,,,4.94,,,,,,1.01,,,14.76,,31.87,27.45,,,10.75,,,,,31.63,
DEWP_1_0,1.27,1.51,0.82,,1.42,1.23,0.83,3.74,,,1.01,1.77,5.73,,1.15,0.68,0.68,0.81,0.43,1.06,,,1.25,1.08,0.59
DEWP_0_0,1.29,1.05,2.03,,1.43,0.94,2.3,0.96,,,1.91,1.01,,,1.27,0.67,0.69,0.84,0.44,1.02,0.53,0.33,1.26,1.21,0.76
DEWP_0_1,4.43,2.21,,0.7,4.05,2.12,,1.44,0.66,0.44,,,1.0,,3.09,1.46,1.7,1.8,0.91,1.14,0.95,,2.94,2.58,1.21
DEWP_1_1,,,10.52,,,,11.42,,,,,,,1.01,24.14,13.75,10.98,,10.58,,,,26.14,24.31,
WSPM_0_1,1.31,1.23,1.1,0.76,1.45,1.05,1.11,1.37,0.8,0.35,1.24,1.45,1.36,0.37,1.02,0.8,0.73,1.12,0.45,1.36,0.88,,1.33,1.1,0.58
WSPM_0_0,2.73,2.37,2.43,1.71,3.12,2.14,2.5,1.91,1.53,,2.86,2.56,2.51,,3.17,1.08,1.46,1.83,0.73,3.1,1.83,,2.42,2.47,1.59
WSPM_1_1,3.36,2.89,2.76,2.08,3.81,2.62,2.94,2.42,1.81,,3.59,3.04,3.04,,3.26,1.38,1.07,3.84,0.94,3.63,,,2.97,2.88,1.78
WSPM_1_2,3.64,3.27,2.69,2.15,3.95,2.83,3.08,2.78,2.56,,4.35,3.43,2.97,,3.8,1.9,2.32,1.03,1.96,5.7,,,3.2,3.23,2.78
WSPM_1_0,4.42,3.85,3.91,2.46,4.92,3.48,3.95,3.4,2.25,,4.46,4.48,3.8,,4.18,1.96,2.97,4.25,1.19,4.97,,,4.12,3.8,2.34
WSPM_0_2,5.99,4.02,6.77,2.51,5.46,3.76,7.35,3.33,2.1,,6.19,5.65,2.78,,23.87,3.78,4.96,4.59,2.45,1.03,,,5.49,4.4,1.66
WSPM_1_3,27.44,12.21,,,30.54,9.58,12.96,8.76,,,,13.99,11.1,,47.96,10.39,,,,,1.02,,13.54,18.14,12.35
WSPM_0_3,27.6,20.09,,,23.97,,,,,,,21.97,,,,,,,15.11,,,1.01,,26.76,7.2
PM10_0,1.28,1.07,1.01,0.71,1.45,0.93,1.03,0.92,0.66,,1.35,1.16,1.07,0.41,1.14,0.58,0.66,0.7,0.37,1.07,0.49,,1.01,1.18,1.3
PM10_1,1.3,1.2,1.13,0.74,1.39,1.06,1.17,1.16,0.75,0.34,1.26,1.4,1.2,0.48,1.19,0.7,0.64,0.93,0.46,0.8,0.53,0.46,1.46,1.02,0.54
PM10_2,4.21,3.63,4.72,3.45,4.56,3.39,5.13,4.3,3.82,,4.62,4.93,3.46,,4.29,2.33,2.55,2.6,1.46,1.69,,1.0,5.05,3.76,1.06
