,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.0,0.99,3.3,1.0,1.09,3.38,1.61,1.51,5.19,1.3,8.96,4.86,1.19,2.72,1.4,2.53,8.81
PRES_0_1,1.0,1.01,,,1.0,1.11,3.26,1.61,1.46,5.24,1.32,8.98,4.92,1.21,2.53,1.4,2.55,8.95
PRES_0_0,1.0,,66.84,,1.09,,,1.62,4.38,2.01,,8.41,,,10.1,1.49,1.13,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,1.0,1.02,3.61,1.09,0.08,,1.56,1.62,5.16,1.42,8.95,4.26,1.3,2.91,1.41,2.55,8.96
DEWP_1_0,0.98,1.0,,,,12.17,12.68,2.2,0.31,5.53,,9.11,11.19,,,1.32,2.28,4.28
DEWP_0_0,0.82,0.63,,,,7.61,162.44,1.32,,5.58,,8.9,11.26,,,1.22,2.66,60.92
WSPM_0_1,1.0,1.0,0.82,,0.95,1.57,2.99,2.29,0.7,5.82,0.35,10.87,5.58,0.13,1.4,1.42,2.53,8.47
WSPM_0_2,1.0,0.99,2.38,18.05,1.08,0.13,,0.7,5.36,3.24,0.39,6.59,1.35,,1.32,1.42,2.3,4.49
WSPM_0_0,0.99,1.0,,,0.99,1.37,8.14,1.85,0.52,8.03,0.36,11.15,6.58,,4.08,1.41,2.56,11.74
WSPM_0_3,1.0,1.02,,,1.09,,,0.24,0.57,2.06,10.72,3.89,,,,1.31,2.8,15.46
WSPM_1_0,1.0,1.0,,,0.99,1.21,4.3,1.76,0.79,6.89,0.5,10.14,5.28,,2.2,1.41,2.59,12.43
WSPM_1_1,1.0,1.02,,,0.84,3.02,14.48,1.92,0.75,6.83,,9.82,18.18,,2.79,1.38,2.85,12.6
WSPM_0_4,1.0,1.02,,,1.09,,,0.38,,,,2.36,,23.91,,1.28,2.48,
WSPM_1_2,1.0,0.91,,,1.09,,,1.28,0.87,5.14,,6.88,8.89,,67.41,1.49,2.19,
PM10_0,1.0,0.99,1.42,4.91,0.99,1.21,4.38,1.63,1.51,5.41,1.11,9.2,5.37,1.21,3.84,1.48,2.19,5.79
PM10_1,0.99,1.01,,,1.03,0.68,1.42,1.52,1.52,4.64,1.68,8.38,3.93,0.91,0.35,1.3,3.34,14.21
PM10_2,0.99,1.0,,,1.05,,,1.56,0.91,3.95,2.65,8.29,,,,1.24,3.41,78.32
