,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,0.95,,,,,0.94,0.9,0.93,0.8,0.68,,1.02,0.97,0.43,0.32,,0.83,0.79,0.82,0.62,0.69,0.61,0.51,0.67,0.6,,1.01,0.78
TEMP_0_1,,0.82,,,,1.35,1.08,0.85,0.9,0.8,,1.24,,,,,1.08,0.99,0.91,0.74,0.81,0.71,0.62,,1.3,,1.26,0.96
TEMP_0_0,,,0.76,0.23,0.8699999999999999,1.43,,0.95,0.85,0.78,0.8699999999999999,,0.94,,,0.8699999999999999,1.28,1.04,1.1,0.83,1.0,0.8,0.68,,0.89,0.8699999999999999,1.39,1.03
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.08,1.13,0.92,,,0.9,,,1.68,0.93,,1.13,1.02,,,,0.89,0.86,0.9,0.66,0.74,0.63,0.55,0.84,0.75,,1.09,0.86
PRES_1_3,1.22,0.96,,,,,0.84,,,0.88,,1.21,1.19,0.53,0.38,,1.1,0.97,0.88,0.75,0.83,0.76,0.61,0.73,0.69,,1.22,0.89
PRES_1_1,1.53,1.11,1.01,0.29,,,1.96,0.74,1.57,1.11,,1.59,1.08,,0.56,,1.22,1.08,1.25,0.79,0.88,0.9,0.68,,1.13,,1.41,1.17
PRES_1_0,1.63,1.27,0.99,,0.66,2.12,,1.27,0.75,0.73,0.66,1.57,1.21,,,0.66,1.2,1.1,1.04,0.93,1.75,0.82,0.75,,1.07,0.66,1.43,1.13
PRES_0_0,1.7,1.43,1.13,,,2.55,1.86,1.15,0.84,0.71,,1.74,1.31,0.53,0.39,,1.3,1.11,1.31,1.0,0.83,0.81,0.8,,,,1.63,1.11
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.99,0.81,,,,0.93,0.87,0.84,0.73,0.63,,0.96,1.56,0.6,0.4,,0.8,0.78,0.75,0.59,0.68,0.57,0.49,0.74,0.7,,0.98,0.75
DEWP_0_1,1.33,1.9,0.76,0.29,0.8400000000000001,1.24,1.19,0.85,0.85,0.78,0.8400000000000001,2.31,0.83,,0.4,0.8400000000000001,1.21,0.91,1.06,0.75,0.79,0.74,0.62,0.76,0.69,0.8400000000000001,1.24,0.95
DEWP_0_0,2.5,,,,,,,,1.69,1.24,,,,0.51,0.43,,1.8,,,,,,,,,,2.46,1.84
DEWP_1_0,2.85,,,,,,,,,,,,,,0.49,,2.46,,,,,,,,,,2.73,2.43
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.28,1.13,1.04,,,1.2,1.24,0.88,0.93,0.73,,1.28,1.16,0.42,0.25,,0.81,1.47,,1.33,0.63,1.27,0.82,,,,1.3,0.82
WSPM_0_1,1.31,1.13,0.97,,0.8400000000000001,1.25,1.18,1.04,0.81,0.76,0.8400000000000001,1.33,1.1,,,0.8400000000000001,1.11,0.83,1.0,0.79,0.89,0.77,0.62,1.25,1.32,0.8400000000000001,1.24,1.02
WSPM_0_2,1.39,1.09,1.27,0.41,,1.29,1.18,1.04,0.96,0.62,,1.37,1.35,,,,,1.49,0.78,0.96,1.07,0.81,0.8,,,,1.4,0.88
WSPM_0_0,1.51,1.28,1.07,,,1.38,1.38,1.14,1.11,1.28,,1.53,1.24,,,,1.33,1.05,1.28,0.76,1.12,0.79,0.64,,1.46,,1.45,1.37
WSPM_1_2,1.54,1.24,1.28,,,1.45,1.35,1.14,1.46,1.61,,1.62,1.24,,,,2.97,1.19,1.45,0.79,0.74,0.82,0.63,,1.85,,1.46,4.33
WSPM_1_1,1.68,1.39,1.17,,,1.46,1.45,1.36,1.31,1.16,,1.67,1.38,,,,1.44,1.26,1.63,0.82,1.15,0.71,0.75,,,,1.58,1.8
WSPM_1_0,1.66,1.42,1.27,,,1.53,1.55,1.34,1.23,1.26,,1.69,1.44,,,,1.39,1.16,1.34,0.9,1.25,0.97,0.74,,,,1.59,1.37
WSPM_0_4,1.56,,,,,1.76,1.24,,,,,1.7,1.5,0.47,0.37,,,1.53,,,,0.97,0.62,0.68,,,1.7,1.07
WSPM_1_3,1.8,1.83,1.51,,,1.92,1.49,1.43,1.51,,,2.02,1.43,,,,,,,0.88,0.84,,0.81,,0.65,,1.72,3.4
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.0,0.86,0.79,0.32,0.54,0.93,0.91,0.77,0.75,0.68,0.54,1.02,0.86,0.6,0.65,0.54,0.84,0.77,0.74,0.59,0.69,0.57,0.49,0.8,0.71,0.54,0.96,0.81
PM10_1,1.27,1.07,1.01,,,1.27,1.06,0.97,0.82,0.69,,1.26,1.14,0.41,0.25,,0.98,0.9,1.02,0.76,0.34,0.72,0.61,0.72,0.41,,1.31,0.83
