,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.0,1.0,0.71,1.0,0.98,0.64,0.84,0.91,0.49,0.94,0.3,0.58,0.97,0.76,0.84,0.66,0.38
PRES_0_1,1.0,0.98,,,1.0,0.96,0.72,0.83,0.94,0.48,0.93,0.3,0.57,0.95,0.82,0.85,0.65,0.38
PRES_0_0,1.04,,0.02,,0.98,,,0.97,0.39,,,0.39,,,0.14,0.7,2.53,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,1.0,0.94,0.65,0.92,,,0.88,0.84,0.49,0.86,0.3,0.69,0.89,0.71,0.85,0.64,0.37
DEWP_1_0,1.0,0.98,,,,0.08,0.12,0.55,7.68,0.45,,0.31,0.23,,,0.81,0.85,
DEWP_0_0,1.15,1.24,,,,,0.01,1.29,,0.22,,,0.12,,,0.77,,
WSPM_0_1,1.0,1.0,1.22,,1.05,0.64,0.76,0.45,15.03,0.96,,0.36,0.84,,,0.84,0.64,0.45
WSPM_0_2,1.0,1.03,0.38,0.13,0.92,6.22,,14.4,0.19,2.31,,0.77,,,,0.85,0.62,0.49
WSPM_0_0,1.0,0.99,,,1.0,0.93,,1.27,3.01,0.14,4.48,0.11,0.49,,0.88,0.83,0.68,0.24
WSPM_0_3,1.0,0.98,,,0.91,,,,,3.32,0.09,1.13,,,,1.01,0.53,0.19
WSPM_1_0,1.0,0.99,,,1.0,0.96,,0.93,1.92,0.19,3.08,0.15,0.95,,,0.79,0.74,0.33
WSPM_1_1,1.0,0.98,,,1.17,0.4,0.12,1.26,,0.2,,0.27,0.06,,,0.79,0.81,
WSPM_0_4,1.0,0.98,,,0.91,,,,,,,,,0.04,,0.87,0.82,
WSPM_1_2,1.03,1.09,,,0.98,,,,,0.51,,,,,0.02,0.7,3.16,
PM10_0,1.0,1.01,0.7,0.48,1.01,0.91,0.5,0.82,0.94,0.48,1.14,0.31,0.57,0.98,0.56,0.69,1.15,1.28
PM10_1,1.0,0.99,,,0.97,1.44,,0.87,0.86,0.49,0.67,0.29,0.58,1.25,,1.46,0.32,0.2
PM10_2,1.0,0.98,,,0.94,,,0.93,,0.51,0.34,0.33,,,,1.69,0.38,0.01
