,ENE_0,E_0,NE_0,ESE_0,SW_0,SE_0,N_0,SSW_0,NW_0,S_0,NNW_0,NNE_0,SSE_0,WSW_0,WNW_0,W_0,NNE_1,ENE_1,NW_2,NE_1,E_1,NW_1,SW_1,SW_2,NNE_2,WSW_1,ESE_1,SSW_1,NW_3,NNW_1,SE_1,N_1,ENE_2,SW_3,WSW_2,E_2,NE_2,NNW_2,WNW_1,S_1,SSE_1,SSW_2,NW_4,ESE_2,NE_3,WSW_3,ENE_3,NE_4,WNW_2,SW_4,NE_6,WSW_4,nan_0,E_3,NE_5,S_2,NNW_3,E_4,N_2,SSW_3,W_1,ESE_3,ENE_4,W_2,SE_2,ESE_5,SE_4,N_3,NNW_4,WNW_3,ESE_4,WNW_4,SSW_6,SE_3,N_5,ENE_5,ENE_7,WSW_5,SSW_4,SSE_3,S_3,SSE_2,ENE_6,WNW_5,N_4,WNW_6,SSW_5,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE_0,0.83,0.82,0.81,0.74,0.78,0.73,0.71,0.72,0.77,0.69,0.78,0.65,0.7,0.77,0.75,0.77,0.57,0.63,0.92,0.74,0.65,0.69,0.77,0.81,0.59,1.08,0.75,0.61,,0.55,0.82,0.53,0.56,0.66,0.9,0.56,0.64,,0.62,0.54,0.64,0.88,,0.53,0.47,,0.56,,,,,,0.52,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.2,1.81,1.26,1.68,1.65,1.68,1.64,1.67,1.68,1.94,0.41,1.76,1.2
E_0,0.84,0.83,0.85,0.75,0.79,0.74,0.75,0.75,0.8,0.72,0.78,0.66,0.68,0.77,0.7,0.77,0.67,0.68,0.6,0.76,0.65,0.66,0.66,0.64,0.52,0.78,0.63,0.54,,0.49,0.64,0.71,0.62,0.82,1.04,0.61,0.61,,,0.68,0.57,0.8,,0.46,,0.88,0.6,,,,,,0.58,0.46,,0.6,,0.6,,,,0.48,0.51,,0.59,,,,,,,,,,,,,,,,,,,,,,,1.86,1.18,1.84,1.23,1.68,1.68,1.67,1.69,1.68,1.74,1.96,0.39,1.78,1.24
NE_0,0.85,0.85,0.83,0.83,0.85,0.78,0.71,0.8,0.82,0.74,0.76,0.65,0.73,0.83,0.75,0.82,0.58,0.63,0.79,0.61,0.76,0.7,0.73,0.72,0.68,1.09,0.98,0.69,0.69,0.57,0.94,0.54,0.55,0.69,0.82,0.6,0.59,0.72,0.62,0.7,0.5,0.61,,0.7,0.59,,0.58,,,,,,0.49,0.62,,,,,0.47,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,1.89,1.3,1.87,1.36,1.75,1.68,1.79,1.66,1.76,1.72,2.0,0.58,1.82,1.2
ESE_0,0.97,0.91,0.94,0.82,0.8,0.78,0.9,0.76,0.86,0.72,0.89,0.8,0.7,0.8,0.77,0.72,0.74,0.65,,0.78,0.64,0.71,0.68,0.82,0.66,0.87,0.58,0.65,,,0.56,0.7,0.63,,0.88,0.61,0.83,,,0.63,0.49,0.75,,0.38,,,0.63,,,,,,0.62,0.55,,0.56,,,,,,0.6,,,0.46,,,,,,,,,,,,,,,,,,,,,,,2.0,1.25,1.98,1.29,1.79,1.82,1.78,1.83,1.76,1.88,2.1,0.38,1.91,1.37
SW_0,1.16,1.06,1.04,1.01,0.8,0.96,1.08,0.81,1.05,0.84,1.06,0.89,0.86,0.74,0.91,0.69,0.94,0.87,,0.67,0.81,0.9,0.61,0.76,0.98,0.52,0.76,0.56,,,0.51,,,0.85,0.52,,0.73,,,0.61,0.76,0.51,,,,0.41,,,,,,0.54,0.33,,,0.42,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,1.42,2.12,1.36,1.96,1.98,1.89,2.12,1.89,2.06,2.28,0.48,2.09,1.51
SE_0,1.1,1.0,1.07,0.9,0.89,0.81,1.06,0.84,0.95,0.79,0.94,0.95,0.77,0.86,0.82,0.81,1.18,0.85,,0.91,0.8,,0.64,0.99,0.82,0.71,0.57,0.57,,,0.48,,0.78,0.87,,0.77,,,,0.5,0.59,0.69,,0.56,,,,,,,,,0.51,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,1.35,2.18,1.4,1.98,1.99,1.95,2.07,1.92,2.06,2.3,0.39,2.1,1.59
N_0,1.05,1.05,1.02,0.96,0.94,0.91,0.81,0.9,0.85,0.9,0.77,0.79,0.85,0.82,0.77,0.76,0.68,0.89,0.95,0.87,0.99,0.79,0.88,,0.66,0.75,0.79,0.75,1.0,0.71,,0.67,0.69,,0.6,,0.74,0.58,0.71,,,,,,,,,,0.6,,,,0.55,,,,0.57,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,1.88,2.11,1.86,2.06,1.94,2.11,1.91,2.14,1.93,2.32,,2.12,1.35
SSW_0,1.24,1.15,1.22,1.05,0.83,0.9,1.17,0.8,1.06,0.79,1.01,1.06,0.8,0.77,0.96,0.75,1.26,0.94,,0.96,0.87,0.92,0.59,0.49,,0.47,0.81,0.64,,,0.44,,0.98,0.84,0.48,0.95,0.74,,,0.52,0.6,0.51,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,1.44,2.17,1.42,1.98,2.09,1.92,2.26,1.92,2.13,2.33,,2.14,1.54
NW_0,1.17,1.2,1.06,1.24,0.94,1.15,0.86,1.12,0.78,1.06,0.75,0.86,1.1,0.88,0.71,0.79,0.61,1.07,0.78,0.81,,0.65,0.85,1.14,0.93,0.61,,,0.64,0.67,,0.62,0.75,,0.63,,,0.52,0.49,,,,,,,,,,0.43,,,,0.48,,,,0.54,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16,2.62,2.14,2.16,2.13,1.94,2.25,1.94,2.4,1.9,2.38,,2.21,1.4
S_0,1.23,1.17,1.23,1.05,0.85,0.91,1.12,0.81,1.18,0.8,1.02,1.16,0.78,0.81,1.02,0.74,1.05,1.03,,1.03,0.73,,0.45,0.66,,0.48,0.44,0.57,,,0.49,,0.74,,,0.87,,,,0.65,0.56,0.68,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,1.46,2.28,1.46,2.05,2.18,1.99,2.3,2.0,2.24,2.42,,2.2,1.61
NNW_0,1.16,1.16,1.12,1.09,1.0,1.19,0.86,1.13,0.83,1.13,0.78,0.86,1.08,0.88,0.78,0.76,0.7,0.82,0.72,0.91,1.04,0.71,0.87,,0.81,0.8,,,0.87,0.74,,0.57,0.87,,,,,0.59,0.6,,,,0.75,,,,,,0.64,,,,,,,,0.65,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,2.61,2.2,2.27,2.19,2.0,2.28,2.02,2.41,1.96,2.45,,2.26,1.46
NNE_0,1.08,1.09,1.04,0.99,1.01,0.89,0.87,0.91,0.92,0.83,0.87,0.84,0.83,0.92,0.89,0.91,0.78,0.94,1.0,0.74,1.04,0.8,0.82,1.09,0.72,0.89,0.76,0.71,0.9,0.7,,0.8,0.91,,,,0.74,,,0.62,0.62,,,,0.74,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,1.73,2.25,1.75,2.11,2.14,2.18,2.07,2.18,2.1,2.46,0.56,2.23,1.43
SSE_0,1.18,1.11,1.18,1.05,0.91,0.86,1.17,0.86,1.1,0.84,1.06,1.08,0.81,0.87,0.97,0.78,1.23,0.89,,1.13,0.96,,0.59,0.82,,0.65,0.59,0.63,,,0.59,,0.66,,,0.65,,,,0.55,0.6,0.54,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34,1.46,2.33,1.53,2.1,2.17,2.05,2.29,2.04,2.27,2.46,,2.25,1.65
WSW_0,1.1,1.1,1.09,1.06,0.91,1.05,1.08,0.99,1.06,1.02,1.03,0.94,1.03,0.8,0.86,0.72,0.89,1.13,1.43,0.91,1.1,1.05,0.81,0.73,0.72,0.54,,0.79,,0.86,,,,0.75,0.64,,,,0.83,,,0.63,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,1.58,2.3,1.48,2.17,2.12,2.09,2.27,2.08,2.19,2.49,,2.29,1.67
WNW_0,1.33,1.34,1.22,1.25,1.02,1.29,1.0,1.1,0.86,1.11,0.85,1.01,1.15,0.99,0.78,0.85,0.74,1.06,0.71,0.83,1.32,0.69,0.7,0.96,0.89,0.57,,,0.78,0.74,,0.82,,,0.67,,,0.65,0.48,,,,0.69,,,,,,0.46,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34,2.65,2.31,2.23,2.28,2.15,2.32,2.15,2.51,2.1,2.59,,2.44,1.52
W_0,1.13,1.11,1.05,1.18,1.12,1.15,1.09,1.11,1.04,1.18,1.14,0.92,1.19,0.94,0.87,0.81,0.93,0.81,1.26,0.84,1.0,0.96,0.94,1.19,0.94,0.78,,1.23,,0.97,,,,,0.75,,,0.82,0.63,,,,,,,,,,0.67,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.75,2.48,1.74,2.36,2.25,2.32,2.37,2.33,2.3,2.71,,2.5,1.85
