,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_0_2,1.0,,,,,1.28,1.44,2.79,2.37,1.88,,1.4,2.16,1.0,1.0,,1.42,1.6,1.74,1.71,1.62,1.7,1.56,1.0,1.28,,1.48,1.63,1.48
TEMP_0_1,,1.0,,,,9.47,3.26,2.43,4.44,5.18,,3.49,,,,,5.1,5.29,3.1,4.51,3.56,4.25,4.93,,10.55,,5.02,4.09,5.32
TEMP_0_0,,,1.0,,,8.89,,4.58,2.85,3.64,,,1.89,,,,10.67,5.44,10.26,5.19,9.73,5.67,6.35,,8.0,,8.06,6.96,7.45
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.9,4.58,2.62,,,1.0,,,,,,2.14,2.64,,,,2.0,2.3,2.79,2.03,2.23,1.89,2.0,3.45,3.41,,1.98,2.55,3.87
PRES_1_3,3.49,2.56,,,,,1.0,,,,,3.24,6.32,,,,5.44,4.4,2.93,4.69,3.64,4.78,4.82,1.41,2.21,,4.21,3.87,2.16
PRES_1_1,15.93,4.59,5.33,,,,,1.01,,,,13.57,4.28,,,,7.29,12.29,11.31,6.7,5.24,9.44,8.55,,7.73,,7.86,10.35,14.76
PRES_1_0,14.82,9.07,3.56,,,,,,1.09,7.91,,11.13,6.71,,,,14.34,5.88,7.37,9.86,28.32,11.18,7.1,,9.67,,10.54,7.55,12.05
PRES_0_0,17.72,15.94,6.84,,,,,,11.91,1.18,,16.42,12.78,1.44,,,9.24,11.76,13.09,23.79,19.47,15.18,27.93,,,,29.28,8.34,7.86
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,1.23,1.0,,,,1.27,1.18,2.07,1.55,1.53,,1.0,,,,,1.19,1.45,1.17,1.39,1.57,1.32,1.33,1.55,1.87,,1.37,1.31,1.31
DEWP_0_1,5.73,,1.0,,,4.74,6.9,1.98,2.85,3.61,,,1.0,,,,7.61,3.23,6.96,3.61,2.74,4.17,4.07,3.07,2.19,,3.77,4.59,4.52
DEWP_0_0,118.14,,,,,,,,,17.35,,,,1.06,,,49.18,,,,,,,,,,,94.7,
DEWP_1_0,223.84,,,,,,,,,,,,,,1.46,,114.75,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,4.37,5.14,6.52,,,4.18,6.95,3.84,7.3,2.97,,4.19,8.88,1.29,1.36,,1.01,,,,,,32.23,,,,8.91,3.04,2.35
WSPM_0_1,4.94,5.31,3.35,,,4.82,5.6,6.58,2.88,3.85,,5.1,3.76,,,,,1.07,,,,23.61,7.48,,,,4.29,5.02,8.61
WSPM_0_2,7.4,4.32,8.93,,,8.02,5.24,8.38,5.11,5.64,,5.68,11.17,,,,,,1.03,,,,27.93,,,,10.4,3.94,5.02
WSPM_0_0,10.55,9.12,6.38,,,8.44,11.97,7.09,9.05,20.5,,9.78,8.28,,,,,,,1.65,20.77,9.24,2.18,,,,6.43,28.27,34.43
WSPM_1_2,11.08,7.93,13.25,,,10.14,10.29,6.25,30.86,15.55,,12.23,7.04,,,,,,,20.29,1.08,,,,,,6.52,61.1,
WSPM_1_1,17.01,13.87,11.31,,,12.76,19.33,16.38,18.86,16.11,,14.99,15.67,,,,,105.85,,13.02,,1.2,,,,,10.2,48.56,
WSPM_1_0,15.87,16.32,12.85,,,13.8,20.22,15.68,11.91,22.55,,15.47,15.51,,,,91.8,22.19,47.38,3.83,,,2.99,,,,11.33,29.14,55.62
WSPM_0_4,11.85,,,,,27.6,6.9,,,,,20.7,13.9,,,,,,,,,,,1.01,,,95.15,9.57,5.98
WSPM_1_3,23.63,60.3,29.24,,,42.21,16.75,24.57,26.12,,,38.74,14.93,,,,,,,,,,,,1.03,,19.22,145.69,42.53
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.66,1.83,1.79,,,1.49,1.95,1.53,1.85,3.64,,1.74,1.57,,,,3.15,1.55,2.62,1.14,1.1,1.16,1.26,7.98,1.22,,1.06,9.28,
PM10_1,3.67,3.0,3.13,,,3.87,3.58,4.03,2.78,1.93,,3.34,3.89,1.64,,,2.22,3.68,2.1,10.78,14.49,8.67,6.76,1.85,16.57,,18.84,1.19,8.41
PM10_2,8.68,10.12,8.83,,,15.19,5.27,15.04,11.13,5.01,,8.76,10.18,,,,4.57,15.82,7.21,36.32,,,26.19,2.99,9.67,,,22.55,1.15
