,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,0.94,,,,,0.94,0.93,1.0,0.84,0.73,,1.01,1.0,0.51,0.38,,0.86,0.81,0.85,0.65,0.73,0.65,0.55,0.74,0.65,,0.99,0.8
TEMP_0_1,,0.79,,,,1.25,1.04,0.83,0.88,0.79,,1.14,,,,,1.03,0.93,0.88,0.72,0.79,0.69,0.61,,1.44,,1.14,0.91
TEMP_0_0,,,0.72,0.25,1.02,1.3,,0.9,0.82,0.75,1.02,,0.87,,,1.02,1.17,0.95,1.01,0.78,0.95,0.75,0.65,,0.86,1.02,1.22,0.93
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.05,1.15,0.95,,,0.89,,,1.47,0.93,,1.08,1.04,,,,0.89,0.86,0.92,0.67,0.76,0.66,0.57,0.9,0.81,,1.04,0.85
PRES_1_3,1.14,0.94,,,,,0.82,,,0.86,,1.12,1.15,0.59,0.43,,1.07,0.93,0.85,0.74,0.82,0.76,0.61,0.76,0.72,,1.13,0.86
PRES_1_1,1.32,1.03,0.94,0.33,,,1.73,0.71,1.36,1.02,,1.38,0.99,,0.6,,1.13,0.94,1.15,0.72,0.84,0.81,0.62,,1.17,,1.23,1.07
PRES_1_0,1.43,1.17,0.93,,0.75,1.82,,1.19,0.71,0.69,0.75,1.38,1.11,,,0.75,1.08,1.01,0.97,0.86,1.56,0.76,0.72,,1.01,0.75,1.24,1.0
PRES_0_0,1.45,1.28,1.03,,,2.28,1.39,0.98,0.76,0.67,,1.48,1.14,0.51,0.39,,1.15,0.97,1.15,0.9,0.73,0.77,0.74,,,,1.37,0.99
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.98,0.85,,,,0.94,0.9,0.9,0.77,0.68,,0.96,1.6,0.68,0.48,,0.83,0.8,0.78,0.62,0.72,0.61,0.52,0.82,0.79,,0.97,0.77
DEWP_0_1,1.23,1.76,0.76,0.34,1.0499999999999998,1.18,1.13,0.85,0.86,0.79,1.0499999999999998,1.94,0.81,0.54,0.45,1.0499999999999998,1.18,0.88,1.03,0.73,0.78,0.73,0.62,0.77,0.72,1.0499999999999998,1.13,0.9
DEWP_0_0,1.81,,,,,,,,1.29,0.99,,,,0.45,0.38,,1.37,,,,,,,,,,1.71,1.34
DEWP_1_0,1.98,,,,,,,,,,,,,,0.43,,1.79,,,,,,,,,,1.82,1.76
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.17,1.09,1.01,,,1.12,1.19,0.85,0.9,0.74,,1.17,1.06,0.45,0.26,,0.78,1.3,1.11,1.18,0.64,1.09,0.78,,,,1.17,0.77
WSPM_0_1,1.21,1.08,0.96,,1.1099999999999999,1.18,1.13,1.02,0.79,0.75,1.1099999999999999,1.22,1.07,,,1.1099999999999999,1.02,0.8,0.97,0.75,0.82,0.77,0.62,1.46,1.35,1.1099999999999999,1.14,0.93
WSPM_0_2,1.25,1.03,1.23,0.51,,1.16,1.1,0.97,0.89,0.58,,1.23,1.27,,,,2.2,1.28,0.75,0.86,1.05,0.76,0.72,,,,1.25,0.82
WSPM_0_0,1.32,1.18,1.0,,,1.22,1.25,1.11,1.07,1.24,,1.34,1.13,,,,1.27,0.93,1.13,0.72,1.07,0.77,0.61,1.27,1.51,,1.26,1.16
WSPM_1_2,1.35,1.13,1.2,,,1.29,1.23,1.07,1.44,1.44,,1.41,1.15,,,,2.13,1.06,1.09,0.74,0.7,0.72,0.61,,1.78,,1.27,3.46
WSPM_1_1,1.43,1.24,1.06,,,1.25,1.28,1.29,1.22,1.06,,1.41,1.22,,,,1.28,1.1,1.36,0.77,1.05,0.67,0.68,,,,1.34,1.6
WSPM_1_0,1.4,1.28,1.17,,,1.33,1.36,1.26,1.13,1.13,,1.43,1.28,,,,1.24,1.0,1.15,0.82,1.08,0.89,0.69,,,,1.34,1.15
WSPM_0_4,1.32,,,,,1.51,1.09,,,,,1.4,1.33,0.43,0.35,,,1.21,,,,0.89,0.54,0.64,,,1.39,0.95
WSPM_1_3,1.47,1.57,1.32,,,1.59,1.26,1.26,1.43,,,1.64,1.22,,,,,,,0.72,0.74,,0.68,,0.6,,1.39,3.0
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.0,0.91,0.85,0.4,0.6900000000000001,0.94,0.94,0.83,0.81,0.72,0.6900000000000001,1.02,0.9,0.74,0.75,0.6900000000000001,0.87,0.8,0.78,0.62,0.73,0.62,0.53,0.88,0.81,0.6900000000000001,0.96,0.82
PM10_1,1.17,1.04,1.0,,,1.19,1.02,0.92,0.8,0.71,,1.16,1.09,0.44,0.27,,0.95,0.82,0.99,0.73,0.34,0.64,0.6,0.73,0.39,,1.18,0.81
