,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.56,0.35,0.99,0.7,0.41,0.84,0.76,0.59,0.71,0.51,0.55,0.64,0.5,0.96,0.59
PRES_0_1,1.0,1.0,,,0.99,0.7,0.42,0.84,0.77,0.6,0.71,0.51,0.55,0.64,0.51,0.97,0.59
PRES_0_0,2.48,,0.6,,2.4,,,2.0,1.63,1.67,,1.24,,,0.86,2.37,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.02,0.55,0.35,0.99,1.45,,0.86,0.76,0.61,0.71,0.52,0.58,0.64,0.49,0.98,0.6
DEWP_1_0,1.66,1.65,,,,0.72,0.33,1.28,2.4,0.96,,0.85,0.72,,,1.61,1.1
DEWP_0_0,3.43,3.11,,,,1.9,0.58,2.34,,1.38,,1.14,1.45,,,3.29,
WSPM_0_1,1.19,1.18,0.7,,1.18,0.77,0.42,0.9,1.33,0.73,,0.61,0.61,,0.58,1.15,0.69
WSPM_0_2,1.41,1.42,0.6,0.38,1.38,1.17,,1.63,0.8,1.03,1.14,0.84,0.56,,,1.35,0.78
WSPM_0_0,1.57,1.56,,,1.55,1.12,0.7,1.37,1.24,0.78,1.33,0.68,0.96,,0.76,1.52,0.97
WSPM_0_3,1.63,1.62,,,1.58,,,,2.52,1.36,0.73,1.0,,,,1.58,0.93
WSPM_1_0,1.66,1.65,,,1.64,1.15,,1.35,1.4,0.9,1.3,0.79,1.21,,,1.6,1.07
WSPM_1_1,1.86,1.85,,,1.88,1.14,0.59,1.54,,0.83,,0.72,0.7,,,1.77,1.29
WSPM_0_4,1.91,1.9,,,1.86,,,,,,,1.75,,0.66,,1.86,1.37
WSPM_1_2,2.52,2.44,,,2.44,,,2.81,,1.35,,1.55,,,0.6,2.41,
PM10_0,1.03,1.03,0.56,0.35,1.01,0.73,0.42,0.85,0.79,0.62,0.73,0.53,0.57,0.67,0.5,0.98,0.64
PM10_1,1.62,1.61,,,1.59,1.29,,1.39,1.3,0.81,1.0,0.75,0.74,1.15,,1.61,0.75
