,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_1_0,0.69,0.95,,,,0.79,0.79,1.15,0.72,1.33,,,0.79,0.87,0.81,1.52,2.81,3.17,0.79,0.9,0.84,1.17,0.85,0.46,0.32,0.48,0.59,0.99,0.79,1.0,0.77,0.65
TEMP_0_0,0.91,0.69,4.93,,,,1.04,0.77,1.01,1.02,,,,1.1,0.73,4.0,0.92,0.76,,0.89,0.9,0.85,1.55,0.45,0.33,0.47,0.56,0.63,,1.02,0.76,0.57
TEMP_1_1,,,0.55,,,,0.9,,0.91,,0.52,,,1.78,3.34,0.61,,,,1.08,0.8,1.39,1.52,0.46,0.31,0.61,1.26,,,1.05,0.95,2.02
TEMP_0_2,,,,0.4,,,2.44,,,0.92,,0.42,,1.73,1.11,,,0.65,,2.53,1.5,1.83,0.74,0.64,0.5,0.64,0.82,,,1.45,1.26,0.85
TEMP_0_1,,,,,0.38,,3.41,2.23,2.84,0.82,,0.68,,10.2,,,0.53,,,2.37,2.0,0.91,,0.75,0.62,0.77,1.02,0.35,,1.61,1.17,0.65
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,0.9,1.19,0.92,3.63,1.77,0.59,0.65,2.05,0.84,2.39,,,0.59,1.02,1.12,0.94,2.14,2.55,0.59,1.05,0.83,1.15,0.94,0.43,0.31,0.54,0.6,0.72,0.59,1.04,0.79,0.63
PRES_1_1,1.0,0.77,,,1.28,,1.64,0.64,2.38,,,,,1.21,0.84,,0.86,0.73,,0.93,0.9,0.88,1.75,0.47,0.34,0.48,0.65,0.7,,1.08,0.81,0.64
PRES_1_0,0.86,0.98,1.39,,,,0.87,2.69,0.57,,,,,1.02,0.93,1.32,1.85,,,1.06,1.02,1.1,0.94,0.6,0.39,0.71,0.73,1.61,,1.09,0.89,0.9
PRES_1_2,1.26,1.26,,0.71,0.63,,4.01,,,0.49,,,,1.37,0.85,,0.87,,,1.26,1.39,1.34,1.14,0.55,0.44,0.51,0.71,0.62,,1.31,1.03,0.76
PRES_0_1,,,0.69,,,,,,,,0.38,,,,,0.67,,,,1.1,0.98,,,0.54,0.38,0.65,,,,1.32,1.19,2.2
PRES_1_3,,,,0.48,0.81,,4.94,,,,,0.37,,2.85,1.39,,1.13,0.61,,2.42,1.27,1.2,1.08,0.73,0.52,0.63,0.97,0.46,,1.44,1.38,0.73
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.73,0.88,1.49,1.05,2.32,0.51,0.75,1.04,0.73,1.09,,1.5,0.51,0.76,0.92,,,,0.51,0.84,0.9,0.87,0.76,0.46,0.31,0.49,0.61,,0.51,0.98,0.71,0.52
DEWP_0_0,0.98,0.82,6.48,1.07,,,1.38,1.13,1.1,0.81,,1.39,,1.24,0.57,,,,,1.23,0.86,1.26,1.59,0.49,0.36,0.49,0.57,0.7,,1.1,0.94,1.26
DEWP_1_1,1.64,3.04,0.63,,,,0.93,,0.9,,0.51,,,,,0.54,,,,1.1,0.76,2.29,1.5,0.46,0.31,0.6,1.36,,,1.08,0.92,1.43
DEWP_0_2,2.6,1.37,,,0.43,,1.91,1.1,1.62,0.99,,0.8,,,,,0.46,,,1.36,1.79,0.89,,0.62,0.47,0.62,0.88,0.42,,1.34,1.03,0.63
DEWP_0_1,2.17,1.14,,0.65,,,1.9,1.02,,,,0.56,,9.54,4.01,,,0.43,,1.36,1.28,1.33,1.24,0.52,0.46,0.53,0.55,0.52,,1.29,1.15,0.78
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,0.92,1.0,1.3,1.46,1.92,,0.9,1.09,0.99,1.09,0.92,1.28,,1.06,1.13,1.24,1.09,1.09,,0.62,1.54,1.59,4.82,0.52,0.39,0.48,0.53,,,1.07,0.81,0.69
WSPM_0_1,1.08,1.05,0.92,1.39,2.62,,1.02,1.24,0.96,1.56,0.86,1.2,,1.28,0.81,0.86,2.28,1.34,,0.98,0.61,1.71,2.59,0.49,0.27,0.59,0.89,1.19,,1.01,0.83,1.17
WSPM_0_3,1.05,1.11,1.7,1.62,0.63,,0.99,1.09,1.06,1.31,,0.98,,1.18,1.22,2.21,0.82,1.26,,5.11,1.89,0.56,,0.68,0.53,0.78,,,,1.33,0.84,0.47
WSPM_0_4,1.09,1.43,1.61,0.69,,,0.97,1.85,0.92,1.31,,0.81,,1.1,1.44,1.81,,1.32,,4.59,1.9,,0.49,1.01,0.75,1.12,,,,1.41,0.88,0.55
WSPM_0_0,1.57,1.38,1.43,1.42,1.21,,1.82,1.83,1.25,1.12,1.17,1.88,,1.87,1.14,1.55,1.25,1.51,,2.03,1.13,1.71,2.24,0.42,0.35,0.63,0.69,,,1.32,1.34,3.46
WSPM_1_0,1.48,1.41,1.44,1.69,1.67,,1.59,1.85,1.35,1.48,1.37,2.03,,1.85,1.16,1.45,1.69,2.16,,1.59,1.13,2.19,2.56,0.54,0.41,0.95,0.99,,,1.41,1.26,2.58
