,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,1.0,,,,,0.92,0.82,0.69,0.66,0.6,,1.03,0.81,0.34,0.3,,0.78,0.77,0.73,0.66,0.65,0.6,0.59,0.58,0.51,,1.03,0.8
TEMP_0_1,,1.0,,,,1.16,1.06,0.85,0.85,0.78,,1.32,,,,,1.0,0.99,0.93,0.85,0.84,0.76,0.76,,0.81,,1.33,1.03
TEMP_0_0,,,0.99,,,1.34,,0.94,0.95,0.87,,,1.15,,,,1.12,1.11,1.01,0.96,0.93,0.87,0.86,,0.75,,1.47,1.12
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.09,0.86,0.76,,,1.0,,,0.93,0.66,,1.13,0.88,,,,0.85,0.84,0.8,0.73,0.72,0.65,0.65,0.63,0.57,,1.13,0.87
PRES_1_3,1.22,0.94,,,,,1.0,,,,,1.25,0.98,0.42,0.36,,0.95,0.94,0.86,0.81,0.79,0.74,0.72,0.71,0.63,,1.26,0.96
PRES_1_1,1.43,1.15,1.01,0.36,,,,0.99,1.17,1.0,,1.51,1.17,,0.58,,1.18,1.08,1.11,0.95,0.94,0.9,0.86,,0.86,,1.52,1.21
PRES_1_0,1.51,1.17,1.05,,,1.24,,0.9,1.0,0.91,,1.56,1.21,,,,1.11,1.21,1.05,1.04,1.33,0.9,0.92,,0.93,,1.55,1.2
PRES_0_0,1.66,1.29,1.15,,,1.78,,0.92,1.06,1.0,,1.73,1.29,0.59,0.46,,1.31,1.27,1.29,1.03,0.82,0.83,0.95,,,,1.7,1.3
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.97,0.75,,,,0.89,0.8,0.66,0.64,0.58,,1.0,,,0.29,,0.75,0.75,0.7,0.64,0.63,0.58,0.57,0.57,0.52,,1.0,0.77
DEWP_0_1,1.24,,0.87,0.3,,1.15,1.0,0.84,0.82,0.76,,1.28,1.0,,0.37,,0.98,0.96,0.9,0.84,0.82,0.75,0.75,0.68,0.65,,1.29,0.98
DEWP_0_0,2.93,,,,,,,,2.34,1.77,,,,1.0,0.87,,2.27,,,,,,,,,,3.02,2.33
DEWP_1_0,3.38,,,,,,,,,,,,,,1.0,,3.12,,,,,,,,,,,3.13
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.29,1.0,0.86,,,1.18,1.06,0.82,0.85,0.73,,1.33,1.0,0.42,0.29,,1.0,1.06,,1.23,,1.07,0.82,,,,1.34,0.97
WSPM_0_1,1.29,1.0,0.9,,,1.2,1.05,0.86,0.83,0.75,,1.33,1.04,,,,0.94,1.0,0.84,0.92,0.84,0.76,0.8,,,,1.31,1.04
WSPM_0_2,1.37,1.08,1.02,0.41,,1.24,1.16,0.89,0.93,0.7,,1.43,1.11,,,,,1.2,1.0,1.03,0.72,0.74,0.96,,,,1.46,1.01
WSPM_0_0,1.51,1.17,1.03,,,1.38,1.26,1.04,0.99,1.06,,1.56,1.19,,,,0.77,1.07,1.07,1.0,1.18,0.89,0.89,,0.91,,1.56,1.23
WSPM_1_2,1.54,1.2,1.07,,,1.41,1.26,1.09,1.09,1.33,,1.59,1.24,,,,,1.2,1.4,0.96,1.0,0.95,0.74,,,,1.58,2.76
WSPM_1_1,1.68,1.3,1.15,,,1.53,1.31,1.13,1.14,1.13,,1.73,1.33,,,,,1.32,1.41,1.0,1.03,1.0,0.87,,,,1.73,1.76
WSPM_1_0,1.68,1.3,1.16,,,1.55,1.38,1.17,1.15,1.18,,1.75,1.34,,,,1.12,1.28,1.11,1.14,1.21,1.09,1.0,,,,1.73,1.43
WSPM_0_4,1.74,,,,,1.6,1.43,,,,,1.75,1.46,0.6,0.52,,,,,,,,,1.0,,,1.78,1.32
WSPM_1_3,1.92,1.46,1.34,,,1.76,1.57,1.3,1.27,,,1.97,1.53,,,,,,,0.99,,,,,1.0,,1.9,2.71
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.97,0.75,0.67,0.23,0.51,0.89,0.79,0.65,0.65,0.6,0.51,1.0,0.77,0.34,,0.51,0.73,0.76,0.68,0.65,0.66,0.58,0.58,0.55,0.56,0.51,1.0,0.77
PM10_1,1.25,0.98,0.88,,,1.15,1.03,0.82,0.8,0.74,,1.29,1.02,0.41,0.29,,1.01,0.87,0.96,0.76,0.31,0.67,0.69,0.73,0.36,,1.29,1.0
