,ENE_0,NE_0,E_0,ESE_0,N_0,NW_0,NNW_0,WNW_0,NNE_0,SE_0,SW_0,WSW_0,SSW_0,W_0,NW_2,S_0,SSE_0,NW_1,ENE_1,NE_1,NNE_1,NW_3,E_1,NNW_1,NNW_2,N_1,WSW_1,WNW_1,ENE_2,SW_1,NNE_2,E_4,WSW_2,W_1,NE_2,NNW_3,WNW_2,S_1,NW_4,ENE_4,SSW_1,SE_1,N_2,ENE_6,ESE_2,ESE_1,WNW_5,SW_2,NNW_4,E_2,W_2,SSE_1,NE_3,E_3,WSW_3,ENE_3,ESE_3,N_3,WNW_3,SSW_2,NE_4,ESE_5,S_2,N_5,WNW_4,WSW_4,S_3,SE_2,nan_0,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,RAIN_0,WSPM_0,WSPM_1
ENE_0,1.78,2.49,2.51,1.6,0.85,,0.34,,1.9,0.64,,,,,,,,,,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,1.54,0.84,1.49,1.0,,0.99,1.08,1.0,,1.0,1.29,0.16
NE_0,2.77,1.75,1.69,0.71,1.49,0.55,0.37,,2.01,0.7,,,,,,,,,1.81,,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,1.47,0.84,1.49,1.0,,1.01,0.92,1.0,,1.0,1.24,0.33
E_0,2.25,1.71,1.83,2.57,0.69,0.35,,,1.07,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,1.57,0.81,1.56,1.0,,0.98,1.24,1.0,,1.0,1.29,0.18
ESE_0,1.44,0.91,2.38,2.08,,,,,0.94,4.23,,,,,,1.62,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,1.49,0.81,1.56,1.0,,1.0,1.06,1.0,,1.0,1.31,0.12
N_0,0.52,1.31,0.56,0.51,2.75,1.95,3.56,,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,0.56,1.14,0.59,1.0,,1.03,0.59,0.99,,1.0,0.85,1.42
NW_0,0.5,0.34,0.41,,1.46,3.43,3.81,6.2,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,0.3,1.21,0.34,1.0,,1.01,0.87,1.0,,1.0,0.5,2.43
NNW_0,0.58,0.54,,,3.98,3.53,3.07,0.84,1.47,,,,,,,,,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,0.33,1.22,0.3,1.0,,1.02,0.74,1.0,,1.0,0.58,2.19
WNW_0,,,,,,5.63,1.6,3.18,,,,,,3.2,2.93,,,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,0.34,1.17,0.42,1.0,,0.94,1.77,1.0,,1.0,0.54,2.31
NNE_0,1.78,2.7,0.94,1.07,2.42,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,1.09,1.01,0.99,1.0,,1.0,0.96,0.99,,1.0,1.1,0.72
SE_0,1.13,0.75,1.13,3.08,,,,,,2.87,,,2.02,,,3.15,6.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,1.34,0.91,1.29,1.0,,0.97,1.42,1.0,,1.0,1.31,
SW_0,,,,,,,,,,,3.98,6.03,6.64,,,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,0.7,1.14,0.54,1.0,,1.0,0.95,1.0,,1.0,1.14,0.62
WSW_0,,,,,,,,,,,6.87,5.75,3.26,6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,0.81,1.08,0.74,1.0,,0.97,1.4,1.0,,1.0,1.11,0.7
SSW_0,,,,1.19,,,,,,,6.07,2.3,4.34,,,6.85,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,0.58,1.13,0.61,1.0,,0.97,1.42,1.0,,1.0,1.12,0.66
W_0,,,,,,,,2.91,,,5.8,7.48,,6.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,0.78,1.06,0.83,1.0,,0.96,1.49,1.0,,1.0,1.06,0.84
NW_2,,,,,,,,2.79,,,,,,,30.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,,1.23,0.29,1.0,,1.04,,0.98,,0.99,0.14,3.4
S_0,,,,2.09,,,,,,2.95,3.1,,4.82,,,3.86,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,1.08,1.0,1.0,1.0,,0.98,1.27,1.0,,1.0,1.24,0.34
SSE_0,,,1.22,2.09,,,,,,5.56,,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.02,0.94,1.0,,0.99,1.21,1.0,,1.0,1.26,
NW_1,,,,,,,2.2,3.0,,,,,,,,,,37.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,,1.26,,1.0,,1.02,,1.0,,1.0,0.19,3.3
ENE_1,,1.28,,,,,,,,,,,,,,,,,41.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,1.86,0.75,1.86,1.0,,1.03,,1.0,,1.0,1.28,
NE_1,,,,,,,,,,,,,,,,,,,,48.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,0.62,1.06,0.85,1.0,,0.98,,1.0,,1.0,1.27,
NNE_1,,1.65,,,,,,,,,,,,,,,,,,,36.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,1.36,0.95,1.16,1.0,,1.03,,1.0,,1.0,1.08,0.78
NW_3,,,,,,,,,,,,,,,,,,,,,,75.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,,1.17,,1.0,,1.08,,1.0,,1.0,,3.41
E_1,1.69,,,,,,,,,,,,,,,,,,,,,,65.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,2.23,0.79,1.74,1.0,,0.99,,1.0,,1.0,1.36,
NNW_1,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,,1.28,,1.0,,1.08,,1.0,,1.0,0.4,2.68
NNW_2,,,,,,,,,,,,,,,,,,,,,,,,,93.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,,1.33,,1.0,,1.08,,1.0,,1.0,0.5,2.43
N_1,,,,,,,,,,,,,,,,,,,,,,,,,,96.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,1.3,,1.0,,1.0,,1.0,,1.0,0.63,2.04
WSW_1,,,,,,,,,,,,,,,,,,,,,,,,,,,96.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,,1.06,,1.0,,1.05,,1.0,,1.0,0.99,1.02
WNW_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,1.13,,1.0,,0.98,,1.0,,1.0,,3.59
ENE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,2.24,0.62,2.25,1.0,,0.91,,1.0,,1.0,1.31,
SW_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,,1.2,,1.0,,1.04,,1.0,,1.0,0.95,
NNE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,1.04,,1.0,,0.96,,1.0,,1.0,0.92,
E_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,0.82,,1.0,,1.08,,1.0,,1.0,1.3,
WSW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,,1.33,,1.0,,0.94,,1.0,,1.0,0.85,
W_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,,1.33,,0.95,,1.08,,1.0,,1.0,0.71,
NE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,,2.33,1.0,,1.02,,0.95,,1.0,1.36,
