,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_1_0,1.3,0.71,,,,,1.01,0.75,0.98,0.54,,,,1.13,0.76,0.59,0.25,0.24,,0.87,0.79,0.71,0.79,0.76,0.9,0.71,0.51,0.39,,1.07,0.93
TEMP_0_0,0.7,1.31,,,,,0.71,1.1,0.75,0.66,,,,0.91,0.99,0.16,0.7,0.8,,0.86,0.85,0.8,0.48,0.78,0.82,0.61,0.68,0.42,,1.07,0.92
TEMP_1_1,,,1.57,,,,1.12,,0.83,,1.24,,,0.76,0.31,1.41,,,,0.84,1.13,0.62,0.59,0.89,1.09,0.61,0.37,,,1.23,0.67
TEMP_0_2,,,,2.0,,,0.38,,,1.25,,1.71,,1.0,1.0,,,1.37,,0.66,0.84,0.71,1.34,0.93,0.96,0.69,0.73,,,1.22,1.09
TEMP_0_1,,,,,2.14,,0.58,0.89,0.54,1.5,,1.12,,0.42,,,1.92,,,0.64,0.49,1.46,,1.05,1.03,0.78,0.65,1.02,,1.25,1.26
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.06,0.71,0.94,0.23,0.25,,1.38,0.32,0.73,,,,,1.08,0.59,0.9,0.33,0.33,,0.88,0.89,0.76,0.77,0.75,0.97,0.51,0.47,0.32,,1.09,0.98
PRES_1_1,0.9,1.21,,,0.49,,0.37,1.4,0.19,,,,,0.91,0.9,,0.82,0.87,,0.85,0.87,0.85,0.51,0.78,0.88,0.7,0.68,0.46,,1.09,0.92
PRES_1_0,1.13,1.0,0.78,,,,0.79,0.2,1.5,,,,,1.12,0.89,0.79,0.42,,,0.79,0.89,0.79,0.83,0.83,0.87,0.69,0.61,0.42,,1.18,0.84
PRES_1_2,0.9,1.03,,1.02,1.15,,,,,1.75,,,,0.98,1.2,,1.02,,,0.92,0.76,0.82,0.79,1.05,1.03,0.84,0.69,0.62,,1.22,0.98
