,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.68,0.5,0.99,0.79,0.55,0.89,0.84,0.71,0.79,0.63,0.68,0.74,0.64,0.97,0.71
PRES_0_1,1.0,1.0,,,0.99,0.79,0.57,0.89,0.84,0.71,0.79,0.63,0.68,0.74,0.65,0.98,0.71
PRES_0_0,1.83,,0.53,,1.8,,,1.64,1.32,,,1.18,,,0.78,1.76,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.01,1.01,0.67,0.5,0.99,,,0.91,0.84,0.72,0.79,0.63,0.71,0.74,0.63,0.99,0.71
DEWP_1_0,1.41,1.4,,,,0.68,0.4,1.15,2.02,0.98,,0.89,0.78,,,1.38,1.13
DEWP_0_0,2.29,2.2,,,,,0.48,2.12,,1.07,,,1.11,,,2.21,
WSPM_0_1,1.12,1.12,0.79,,1.12,0.81,0.52,0.88,1.64,0.94,,0.75,0.71,,,1.1,0.79
WSPM_0_2,1.26,1.27,0.68,0.45,1.23,1.33,,1.94,0.77,1.25,,0.98,,,,1.23,0.85
WSPM_0_0,1.36,1.35,,,1.34,1.05,,1.25,1.32,0.74,1.47,0.67,1.07,,0.91,1.31,0.95
WSPM_0_3,1.39,1.38,,,1.35,,,,,1.54,0.69,1.09,,,,1.37,0.91
WSPM_1_0,1.41,1.41,,,1.39,1.12,,1.26,1.34,0.84,1.39,0.77,1.34,,,1.36,1.13
WSPM_1_1,1.52,1.51,,,1.55,1.04,0.68,1.68,,0.77,,0.79,0.65,,,1.46,1.24
WSPM_0_4,1.55,1.54,,,1.51,,,,,,,,,0.61,,1.53,1.24
WSPM_1_2,1.85,1.84,,,1.83,,,,,1.27,,,,,0.53,1.78,
PM10_0,1.02,1.02,0.67,0.5,1.01,0.81,0.56,0.91,0.85,0.73,0.81,0.65,0.69,0.77,0.63,0.98,0.79
PM10_1,1.39,1.38,,,1.36,1.24,,1.26,1.22,0.85,0.99,0.74,0.86,1.13,,1.45,0.72
