,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.39,0.22,0.98,0.57,0.3,0.82,0.68,0.61,0.58,0.57,0.5,0.49,0.38,0.97,0.59
PRES_0_1,1.0,1.0,,,0.98,0.57,0.3,0.83,0.68,0.61,0.59,0.57,0.51,0.49,0.38,0.97,0.59
PRES_0_0,2.71,,1.05,,2.65,,,2.13,1.92,1.53,,1.48,,,0.94,2.63,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.02,0.38,0.22,1.0,0.6,,0.84,0.69,0.62,0.6,0.58,0.52,0.5,0.38,0.99,0.6
DEWP_1_0,1.75,1.74,,,,0.99,0.35,1.44,1.57,1.05,,0.99,0.85,,,1.7,1.04
DEWP_0_0,3.65,3.21,,,,2.29,1.09,2.44,,1.75,,1.57,1.92,,,3.54,
WSPM_0_1,1.21,1.2,0.47,,1.18,0.69,0.31,1.0,0.86,0.75,1.27,0.71,0.58,0.4,0.38,1.17,0.69
WSPM_0_2,1.47,1.47,0.51,0.35,1.44,0.65,,1.14,1.0,0.89,0.67,0.85,0.38,,,1.41,0.79
WSPM_0_0,1.64,1.63,,,1.61,0.96,0.55,1.4,0.94,1.0,0.87,0.92,0.99,,0.62,1.6,1.03
WSPM_0_3,1.71,1.7,,,1.68,,,0.77,1.49,1.1,1.0,0.94,,,,1.67,1.03
WSPM_1_0,1.75,1.74,,,1.71,1.01,,1.44,1.15,1.09,0.94,1.0,1.12,,,1.7,1.13
WSPM_1_1,1.98,1.97,,,1.92,1.18,0.63,1.64,,1.0,,0.89,1.0,,,1.92,1.35
WSPM_0_4,2.05,2.04,,,2.01,,,2.5,,,,1.43,,1.0,,1.98,1.28
WSPM_1_2,2.76,2.62,,,2.7,,,2.62,,1.57,,1.66,,,1.05,2.68,
PM10_0,1.03,1.03,0.4,0.22,1.01,0.59,0.31,0.85,0.71,0.64,0.6,0.59,0.53,0.5,0.39,1.0,0.6
PM10_1,1.7,1.69,,,1.67,0.94,,1.44,1.19,0.88,0.96,0.89,0.69,0.83,,1.65,1.0
