,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,0.93,1.52,,,1.0,0.96,1.1,1.01,,,1.02,1.03,1.16,,1.08,0.89,0.79,0.8,0.78,0.84,0.65,,1.17,0.96
TEMP_0_0,1.71,0.91,,,1.22,0.87,1.55,0.77,,,1.29,1.07,0.83,,1.09,0.94,1.06,0.98,0.87,0.75,0.53,0.44,1.24,1.02
TEMP_1_1,,,0.81,,2.2,,0.86,,,,1.28,1.86,,0.46,1.44,1.23,1.15,1.1,1.11,1.16,,,1.57,1.42
TEMP_0_2,,,,0.69,,,,,0.67,0.47,,,1.22,,2.08,1.84,1.84,1.93,1.56,1.42,,,2.4,1.88
PRES_0_0,0.97,1.05,1.22,,0.93,1.37,,,,,1.01,1.02,1.02,,1.03,0.87,0.83,0.82,0.79,0.76,0.6,0.45,1.16,0.9
PRES_1_0,1.41,1.19,,,2.21,0.84,,,,,1.53,1.25,1.08,,1.35,1.13,1.13,1.1,0.96,0.95,0.67,,1.46,1.31
PRES_0_1,1.83,2.23,0.81,,,,0.82,,,,1.24,1.85,,0.45,1.37,1.23,1.14,1.11,1.09,1.15,0.73,,1.52,1.4
PRES_1_1,1.78,1.25,,,,,,0.8,,,2.36,1.41,1.01,,1.59,1.21,1.15,1.15,1.12,1.03,0.82,,1.63,1.45
PRES_1_3,,,,0.72,,,,,0.67,,,,1.28,,2.28,1.87,1.86,1.96,1.61,1.44,,,2.47,2.08
PRES_1_2,,,,1.23,,,,,,0.55,,,2.12,,3.2,,,,,,,,4.61,2.88
DEWP_1_0,1.05,1.21,0.77,,1.08,1.02,0.78,1.49,,,0.92,1.7,,,1.02,0.91,0.9,0.9,0.82,0.83,,,1.2,0.95
DEWP_0_0,1.09,1.01,1.14,,1.1,0.89,1.19,0.82,,,1.74,0.91,,,1.13,0.9,0.84,0.82,0.81,0.86,0.54,0.43,1.18,1.06
DEWP_0_1,1.89,1.24,,0.62,1.73,1.19,,0.94,0.6,0.43,,,0.81,,1.5,1.24,1.19,1.13,1.07,0.85,0.7,,1.61,1.25
DEWP_1_1,,,1.89,,,,1.97,,,,,,,0.57,3.12,,,,,,,,3.5,
WSPM_0_1,1.12,1.04,0.88,0.67,1.12,0.92,0.88,0.93,0.67,0.41,1.03,1.14,0.95,0.48,0.92,,1.12,1.51,1.0,,,,1.22,0.95
WSPM_0_0,1.41,1.37,1.16,0.89,1.45,1.2,1.2,1.09,0.84,,1.41,1.37,1.19,,,0.9,1.29,1.38,0.84,,,,1.52,1.34
WSPM_1_1,1.47,1.52,1.22,0.98,1.54,1.35,1.26,1.14,0.94,,1.6,1.41,1.27,,2.62,1.25,0.83,,,,,,1.61,1.51
WSPM_1_2,1.49,1.64,1.2,1.09,1.55,1.42,1.27,1.2,1.03,,1.68,1.43,1.27,,2.44,1.76,,0.8,,,,,1.64,1.59
WSPM_1_0,1.63,1.7,1.38,1.01,1.68,1.48,1.41,1.33,0.96,,1.67,1.66,1.37,,1.83,1.16,,,0.95,1.58,,,1.82,1.55
WSPM_0_2,1.95,1.55,1.59,1.0,1.82,1.46,1.66,1.3,0.93,,1.9,1.83,1.19,,,,,,1.87,0.75,,,2.07,1.41
WSPM_1_3,3.16,2.24,,,3.23,2.0,2.12,1.95,,,,2.34,1.98,,,,,,,,0.63,,2.8,
WSPM_0_3,,2.74,,,3.03,,,,,,,2.76,,,,,,,,,,0.58,,2.33
PM10_0,0.96,0.9,0.75,0.59,0.98,0.8,0.76,0.74,0.56,0.41,0.94,0.91,0.78,0.42,0.93,0.76,0.75,0.74,0.69,0.73,0.49,,0.98,1.17
PM10_1,1.22,1.23,1.09,0.78,1.22,1.1,1.13,1.05,0.78,0.5,1.21,1.29,0.99,,1.21,1.18,0.99,1.0,0.98,0.79,,0.47,1.91,0.89
