,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_1_0,0.89,1.02,,,,0.95,0.94,1.04,0.85,0.97,,,0.95,1.02,0.83,1.12,1.18,1.35,0.95,0.96,0.91,1.05,0.84,0.6,0.5,0.58,0.58,0.65,0.95,1.21,0.88
TEMP_0_0,1.01,0.89,1.94,,,,1.01,0.92,0.97,0.88,,,,1.12,0.87,1.54,0.83,0.75,,0.94,0.98,0.86,1.04,0.62,0.53,0.59,0.63,0.54,,1.23,0.87
TEMP_1_1,,,0.83,,,,1.08,,1.01,,0.7,,,1.5,1.97,0.86,,,,1.15,1.02,1.17,1.19,0.68,0.56,0.73,0.9,,,1.42,1.19
TEMP_0_2,,,,0.75,,,1.74,,,1.15,,0.73,,1.81,1.29,,,0.93,,2.05,1.54,1.61,1.03,0.89,0.79,0.86,0.92,,,1.86,1.39
TEMP_0_1,,,,,0.75,,2.66,2.01,2.28,1.14,,0.9,,4.92,,,0.92,,,1.95,1.66,1.29,,1.06,0.97,0.97,1.07,0.56,,2.06,1.4
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.02,1.17,0.95,1.42,0.95,0.87,0.87,1.44,0.95,1.18,,,0.87,1.13,1.03,0.95,1.16,1.27,0.87,1.09,0.96,1.07,0.9,0.6,0.52,0.6,0.55,0.5,0.87,1.29,0.91
PRES_1_1,1.11,0.97,,,0.9,,1.37,0.87,1.52,,,,,1.22,0.92,,0.84,0.77,,0.99,0.98,0.92,1.19,0.64,0.54,0.61,0.72,0.59,,1.29,0.94
PRES_1_0,1.07,1.12,1.22,,,,1.06,1.68,0.84,,,,,1.19,1.05,1.18,1.18,,,1.07,1.12,1.06,0.95,0.78,0.61,0.8,0.8,1.04,,1.4,1.09
PRES_1_2,1.4,1.39,,0.84,0.79,,2.52,,,0.8,,,,1.49,1.09,,0.98,,,1.34,1.41,1.28,1.1,0.8,0.72,0.72,0.81,0.65,,1.64,1.18
PRES_0_1,,,1.09,,,,,,,,0.73,,,,,1.06,,,,1.41,1.31,,,0.84,0.71,0.9,,,,1.87,1.42
PRES_1_3,,,,0.84,1.0,,3.43,,,,,0.73,,2.4,1.45,,1.25,0.95,,2.12,1.47,1.41,1.29,0.97,0.83,0.89,1.05,0.53,,1.95,1.48
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.87,0.95,1.08,0.78,0.98,0.61,0.85,0.97,0.81,0.88,,0.82,0.61,0.92,0.92,,,,0.61,0.88,0.92,0.85,0.77,0.56,0.48,0.51,0.48,,0.61,1.14,0.8
