,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.56,0.31,0.98,0.7,0.37,0.81,0.73,0.53,0.68,0.46,0.48,0.63,0.46,0.96,0.54
PRES_0_1,1.0,1.0,,,0.99,0.7,0.38,0.81,0.73,0.53,0.68,0.46,0.48,0.63,0.45,0.96,0.54
PRES_0_0,2.67,,0.65,,2.59,,,1.9,1.64,1.49,,1.1,,,1.01,2.55,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.02,0.55,0.31,0.99,1.28,,0.83,0.73,0.55,0.68,0.47,0.51,0.63,0.45,0.98,0.55
DEWP_1_0,1.66,1.65,,,,0.71,0.28,1.25,2.83,0.84,,0.74,0.64,,,1.6,0.97
DEWP_0_0,3.2,2.84,,,,1.55,0.53,2.12,,1.45,,1.36,1.17,,,3.07,1.46
WSPM_0_1,1.19,1.18,0.82,,1.18,0.78,0.37,0.9,1.12,0.61,1.36,0.53,0.58,0.7,0.56,1.14,0.64
WSPM_0_2,1.41,1.43,0.56,0.47,1.38,0.9,,1.23,0.8,0.85,0.99,0.7,0.61,,0.78,1.34,0.7
WSPM_0_0,1.57,1.56,,,1.54,1.19,0.69,1.29,0.98,0.76,1.28,0.68,0.71,,0.8,1.5,0.88
WSPM_0_3,1.63,1.62,,,1.58,,,1.39,1.81,1.08,0.73,0.84,,,,1.58,0.84
WSPM_1_0,1.66,1.65,,,1.63,1.2,0.49,1.33,1.24,0.84,1.27,0.74,0.82,,0.92,1.6,0.96
WSPM_1_1,1.86,1.85,,,1.88,1.11,0.64,1.46,1.9,0.91,,0.8,0.69,,0.5,1.77,1.19
WSPM_0_4,1.91,1.9,,,1.86,,,3.67,,,,1.47,,0.66,,1.84,1.18
WSPM_1_2,2.56,2.44,,,2.48,,,2.27,2.26,1.16,,1.12,1.11,,0.61,2.45,
PM10_0,1.03,1.03,0.56,0.31,1.01,0.72,0.38,0.82,0.76,0.55,0.71,0.47,0.5,0.65,0.46,0.98,0.57
PM10_1,1.62,1.61,,,1.58,1.35,0.61,1.3,1.23,0.74,0.95,0.7,0.63,1.19,,1.56,0.74
