,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.68,0.46,0.99,0.79,0.51,0.86,0.82,0.64,0.78,0.55,0.61,0.73,0.6,0.97,0.65
PRES_0_1,1.0,1.0,,,0.99,0.79,0.52,0.86,0.82,0.64,0.78,0.56,0.61,0.73,0.6,0.97,0.65
PRES_0_0,1.89,,0.55,,1.85,,,1.55,1.33,1.37,,1.02,,,0.78,1.82,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.01,1.01,0.66,0.46,0.99,1.61,,0.88,0.81,0.65,0.77,0.56,0.64,0.73,0.58,0.98,0.65
DEWP_1_0,1.41,1.4,,,,0.68,0.34,1.12,2.25,0.87,,0.77,0.68,,,1.37,1.01
DEWP_0_0,2.35,2.11,,,,1.37,0.5,1.62,,1.06,,0.94,1.16,,,2.26,
WSPM_0_1,1.12,1.12,0.79,,1.12,0.81,0.49,0.88,1.29,0.73,2.61,0.62,0.65,0.89,0.64,1.09,0.71
WSPM_0_2,1.26,1.27,0.64,0.47,1.23,1.12,,1.41,0.77,0.97,1.11,0.81,0.56,,,1.21,0.76
WSPM_0_0,1.36,1.35,,,1.34,1.09,0.73,1.22,1.1,0.74,1.23,0.65,0.92,,0.77,1.32,0.92
WSPM_0_3,1.39,1.38,,,1.35,,,1.12,2.12,1.21,0.69,0.92,,,,1.36,0.87
WSPM_1_0,1.41,1.41,,,1.39,1.11,,1.19,1.26,0.84,1.22,0.74,1.15,,,1.37,1.01
WSPM_1_1,1.52,1.51,,,1.54,1.03,0.62,1.27,,0.75,,0.67,0.65,,,1.46,1.13
WSPM_0_4,1.55,1.54,,,1.51,,,3.34,,,,1.52,,0.61,,1.51,1.23
WSPM_1_2,1.92,1.84,,,1.87,,,2.1,,1.09,,1.27,,,0.56,1.85,
PM10_0,1.02,1.02,0.67,0.46,1.01,0.8,0.52,0.87,0.84,0.66,0.8,0.57,0.63,0.76,0.59,0.98,0.69
PM10_1,1.38,1.38,,,1.36,1.23,,1.24,1.18,0.75,0.94,0.71,0.69,1.13,,1.37,0.71
