,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,0.99,0.18,0.09,0.97,0.37,0.18,0.85,0.56,0.85,0.41,1.22,0.51,0.29,0.23,1.01,0.93,0.39
PRES_0_1,1.0,1.01,,,0.96,0.38,0.16,0.85,0.54,0.86,0.41,1.22,0.52,0.29,0.22,1.01,0.94,0.4
PRES_0_0,1.0,,12.41,,1.03,,,0.74,1.42,,,0.95,,,1.21,1.27,0.24,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,0.99,0.19,0.1,1.05,,,0.81,0.6,0.84,0.45,1.22,0.44,0.32,0.24,1.01,0.95,0.41
DEWP_1_0,0.99,1.0,,,,4.47,0.43,1.29,0.09,0.91,,1.21,1.22,,,1.03,0.7,
DEWP_0_0,1.0,0.8,,,,,21.89,0.6,,1.25,,,2.7,,,1.24,,
WSPM_0_1,1.0,1.0,0.15,,0.92,0.57,0.09,1.59,0.03,0.47,,1.1,0.25,,,1.04,0.91,0.41
WSPM_0_2,1.0,0.97,0.44,0.51,1.04,0.05,,0.05,2.71,0.19,,0.51,,,,1.01,0.91,0.25
WSPM_0_0,1.0,1.0,,,0.95,0.39,,0.5,0.13,3.02,0.09,3.29,0.97,,0.22,1.02,0.94,0.46
WSPM_0_3,1.0,1.01,,,1.05,,,,,0.15,4.12,0.3,,,,0.85,1.18,0.92
WSPM_1_0,1.0,1.0,,,0.96,0.39,,0.73,0.25,2.22,0.12,2.47,0.56,,,0.99,0.95,0.42
WSPM_1_1,1.0,1.01,,,0.81,1.01,1.35,0.79,,1.41,,0.88,5.1,,,1.04,0.93,
WSPM_0_4,1.0,1.01,,,1.05,,,,,,,,,6.69,,0.97,0.8,
WSPM_1_2,1.0,0.91,,,1.04,,,,,0.78,,,,,12.08,1.24,0.3,
PM10_0,1.0,0.99,0.26,0.14,0.96,0.4,0.24,0.86,0.54,0.89,0.34,1.29,0.58,0.29,0.33,1.23,0.53,0.17
PM10_1,1.0,1.01,,,1.0,0.25,,0.83,0.6,0.75,0.56,1.04,0.38,0.22,,0.59,1.9,0.63
PM10_2,1.0,1.01,,,1.03,,,0.72,,0.96,1.02,1.25,,,,0.31,1.81,10.94
