,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,0.14,0.2,,,0.15,0.38,0.88,1.04,,,0.17,0.18,1.37,,0.17,0.28,0.38,0.5,0.39,1.34,5.58,22.36,0.15,0.16,0.56
TEMP_0_0,0.09,0.08,,,0.09,0.17,1.07,0.25,,,0.12,0.09,0.25,,0.09,0.14,0.2,0.29,0.19,0.44,1.89,4.02,0.08,0.08,0.3
TEMP_1_1,,0.05,0.01,,0.01,0.04,0.01,,,,,0.01,,0.13,,0.01,0.01,0.01,0.01,0.04,,,,,0.02
TEMP_0_2,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,0.19,0.24,1.92,,0.18,0.53,,1.69,,,0.22,0.23,1.32,,0.23,0.35,0.49,0.64,0.5,1.62,6.5,16.3,0.19,0.2,0.67
PRES_1_0,0.01,0.01,,,0.01,0.02,,0.21,,,0.02,0.01,0.04,,0.01,0.02,0.03,0.04,0.03,0.06,0.28,,0.01,0.01,0.05
PRES_0_1,0.02,0.02,0.01,,,,0.01,,,,0.01,0.01,,0.19,0.01,0.01,0.01,0.02,0.02,0.06,0.17,,0.01,0.01,0.03
PRES_1_1,,,,,0.01,0.01,,0.01,,,0.01,,0.01,,,0.01,0.01,0.01,0.01,0.02,0.14,,,,0.01
PRES_1_3,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.14,0.2,0.41,,0.15,0.38,0.36,1.88,,,0.12,0.19,1.9,,0.14,0.24,0.32,0.43,0.33,1.16,4.4,,0.12,0.13,0.47
DEWP_0_0,0.11,0.12,0.76,,0.11,0.25,0.78,0.44,,,0.16,0.11,,,0.12,0.2,0.27,0.38,0.28,0.86,3.51,5.66,0.11,0.12,0.47
DEWP_0_1,0.01,0.01,,0.04,0.01,0.01,,0.01,0.05,0.36,,,0.01,,0.01,0.01,0.02,0.02,0.01,0.02,0.13,,0.01,0.01,0.02
DEWP_1_1,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_1,0.12,0.15,0.47,1.82,0.12,0.29,0.42,0.63,2.47,10.0,0.13,0.15,0.52,7.33,0.11,0.22,0.3,0.5,0.28,1.08,5.8,,0.11,0.11,0.38
WSPM_0_0,0.01,0.01,0.03,0.14,0.01,0.02,0.03,0.03,0.15,,0.01,0.01,0.03,,0.01,0.01,0.02,0.02,0.02,0.07,0.31,,0.01,0.01,0.03
WSPM_1_1,,,0.01,0.07,,0.01,0.01,0.01,0.07,,,,0.01,,,0.01,0.01,0.01,0.01,0.03,,,,,0.01
WSPM_1_2,,,0.01,0.05,,0.01,0.01,0.01,0.07,,,,0.01,,,,0.01,,0.01,0.04,0.09,,,,0.01
WSPM_1_0,,,,0.02,,,,,0.02,,,,,,,,,,,0.01,,,,,
WSPM_0_2,,,,0.01,,,,,0.01,,,,,,,,,,,,,,,,
WSPM_1_3,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.2,0.22,0.71,3.05,0.2,0.43,0.64,0.74,3.68,,0.23,0.21,0.7,14.64,0.19,0.31,0.44,0.56,0.42,1.6,5.31,,0.16,0.19,1.17
PM10_1,0.13,0.16,0.53,2.04,0.13,0.31,0.47,0.59,2.54,13.56,0.14,0.16,0.51,8.19,0.14,0.23,0.3,0.44,0.32,0.78,3.69,9.63,0.13,0.12,0.37
PM10_2,,,0.01,0.03,,,0.01,0.01,0.03,,,,,,,,,,,,,0.06,,,
