,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,1.0,0.96,,,1.02,0.85,0.71,0.83,,,0.99,0.98,0.9,,0.99,0.83,0.8,0.78,0.75,0.73,0.46,0.54,1.08,0.9
TEMP_0_0,1.03,1.0,,,1.05,0.91,0.87,0.83,,,0.99,1.0,0.88,,1.01,0.87,0.83,0.82,0.78,0.77,0.6,0.5,1.13,0.95
TEMP_1_1,,2.35,1.01,,1.33,1.05,1.02,,,,1.23,1.31,,0.49,1.22,1.03,0.96,0.98,0.94,0.89,,,1.34,1.12
TEMP_0_2,,,,1.0,,,,,0.99,0.69,,,1.29,,1.53,1.31,1.23,1.24,1.14,0.99,,,1.68,1.35
PRES_0_0,0.99,0.97,0.73,,1.0,0.85,,0.77,,,0.97,0.98,0.9,,1.0,0.81,0.78,0.76,0.74,0.77,0.42,0.59,1.07,0.87
PRES_1_0,1.13,1.09,,,1.19,0.99,,1.53,,,1.18,1.1,0.99,,1.11,1.01,0.97,1.02,0.86,0.77,0.71,,1.25,1.12
PRES_0_1,1.39,1.11,0.96,,,,1.01,,,,1.21,1.23,,0.48,1.18,1.02,0.94,0.94,0.93,0.87,0.67,,1.31,1.08
PRES_1_1,1.28,1.2,,,1.22,0.57,,1.0,,,0.99,1.22,1.03,,1.14,1.04,0.99,0.97,0.92,0.94,0.97,,1.35,1.17
PRES_1_3,,,,1.03,,,,,1.0,,,,1.33,,1.58,1.34,1.35,1.28,1.2,1.18,,,1.74,1.46
PRES_1_2,,,,1.45,,,,,,1.0,,,1.82,,2.16,2.04,,,1.28,,,,2.38,1.35
DEWP_1_0,1.02,1.0,0.81,,1.04,0.89,0.83,0.98,,,1.0,1.0,0.85,,1.02,0.84,0.8,0.73,0.78,0.75,0.34,,1.09,0.92
DEWP_0_0,1.02,0.98,0.73,,1.03,0.87,0.78,0.8,,,1.0,1.0,,,0.96,0.86,0.82,0.86,0.75,0.76,0.65,0.5,1.1,0.92
DEWP_0_1,1.11,1.14,,0.83,1.17,1.01,,0.99,0.79,0.7,,,1.0,,1.21,1.0,0.98,0.98,0.9,0.86,0.67,,1.33,1.08
DEWP_1_1,,,1.71,,,,1.75,,,,,,,1.0,2.04,1.33,1.35,,1.72,,,,2.25,1.67
WSPM_0_1,1.0,0.98,0.8,0.6,1.0,0.91,0.83,0.83,0.62,0.41,0.97,1.03,0.84,0.4,1.0,0.86,0.8,0.83,0.77,0.59,0.52,,1.1,0.88
WSPM_0_0,1.19,1.13,0.95,0.79,1.26,0.96,0.94,0.92,0.76,,1.21,1.11,0.97,,1.14,1.0,0.99,0.91,0.89,0.91,0.78,,1.29,1.08
WSPM_1_1,1.27,1.18,1.0,0.85,1.29,0.99,1.01,1.07,0.8,,1.25,1.21,0.99,,1.24,1.0,1.0,1.11,0.88,0.86,,,1.36,1.19
WSPM_1_2,1.27,1.27,1.01,0.64,1.33,1.0,1.03,1.1,0.76,,1.38,1.27,1.01,,1.21,1.12,0.84,1.0,1.0,1.39,0.7,,1.35,1.25
WSPM_1_0,1.32,1.28,1.07,0.92,1.35,1.13,1.05,0.99,0.84,,1.28,1.28,1.12,,1.29,1.14,1.16,1.01,1.0,0.97,,,1.44,1.17
WSPM_0_2,1.4,1.3,1.3,1.09,1.35,1.23,1.32,1.05,0.85,,1.27,1.24,1.18,,1.78,1.02,1.2,0.72,1.08,1.01,,,1.47,1.31
WSPM_1_3,2.42,1.61,,,2.27,1.35,1.5,1.18,,,3.1,1.72,1.48,,2.15,1.17,1.34,1.32,0.88,,1.0,,1.94,2.12
WSPM_0_3,2.05,1.97,,,1.86,,,,,,,2.01,,,,1.72,,,1.54,,,1.0,3.54,1.69
PM10_0,0.93,0.89,0.73,0.57,0.94,0.79,0.75,0.74,0.56,0.33,0.92,0.91,0.74,0.4,0.89,0.78,0.75,0.75,0.69,0.71,0.53,,1.0,0.83
PM10_1,1.09,1.07,0.88,0.77,1.12,0.96,0.92,0.89,0.75,0.7,1.07,1.08,0.99,,1.13,0.89,0.84,0.76,0.85,0.74,0.4,0.65,1.2,1.0
