,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,0.91,0.96,,,0.97,0.89,1.03,1.01,,,0.96,0.97,1.23,,0.95,0.71,0.72,0.76,0.59,0.86,0.64,0.71,1.07,0.82
TEMP_0_0,1.1,0.88,,,1.1,0.83,1.57,0.79,,,1.16,0.99,0.85,,1.01,0.77,0.78,0.84,0.63,0.75,0.58,0.51,1.14,0.91
TEMP_1_1,,4.68,0.78,,2.08,2.05,0.82,,,,1.15,1.54,,0.45,1.2,0.93,0.88,0.95,0.77,1.1,,,1.36,1.1
TEMP_0_2,,,,0.64,,,,,0.63,0.48,,,1.06,,1.65,1.22,1.3,1.54,0.95,1.1,,,1.85,1.35
PRES_0_0,0.91,0.91,1.19,,0.91,0.93,,1.2,,,0.94,0.96,1.1,,0.95,0.71,0.71,0.75,0.6,0.82,0.53,0.59,1.06,0.79
PRES_1_0,1.18,1.05,,,1.34,0.8,,,,,1.37,1.1,1.06,,1.12,0.86,0.91,0.99,0.67,0.83,0.74,,1.29,1.12
PRES_0_1,1.73,1.67,0.78,,,,0.79,,,,1.13,1.48,,0.45,1.15,0.93,0.88,0.95,0.76,1.1,0.73,,1.33,1.07
PRES_1_1,1.4,1.11,,,1.81,,,0.76,,,1.57,1.27,0.96,,1.23,0.91,0.9,0.98,0.75,0.94,1.01,,1.4,1.18
PRES_1_3,,,,0.66,,,,,0.62,,,,1.1,,1.76,1.25,1.42,1.54,0.99,1.2,,,1.9,1.46
PRES_1_2,,,,1.0,,,,,,0.49,,,1.6,,2.26,2.08,,,1.21,,,,2.99,1.6
DEWP_1_0,0.99,1.05,0.79,,1.05,0.93,0.79,1.59,,,0.9,1.13,1.75,,0.96,0.74,0.72,0.75,0.61,0.85,,,1.09,0.85
DEWP_0_0,0.99,0.91,1.09,,1.03,0.85,1.17,0.83,,,1.15,0.89,,,0.96,0.74,0.75,0.82,0.6,0.86,0.66,0.49,1.09,0.88
DEWP_0_1,1.42,1.09,,0.65,1.39,1.05,,0.9,0.63,0.54,,,0.78,,1.27,0.9,0.96,0.98,0.73,0.79,0.7,,1.38,1.04
DEWP_1_1,,,1.47,,,,1.53,,,,,,,0.51,2.14,1.49,1.3,,1.57,,,,2.54,
WSPM_0_1,0.99,0.97,0.87,0.73,1.03,0.89,0.89,0.99,0.75,0.51,0.96,1.05,0.98,0.47,0.9,0.8,0.73,0.9,0.62,0.68,0.62,,1.1,0.83
WSPM_0_0,1.22,1.13,1.11,0.93,1.31,1.07,1.11,0.98,0.87,,1.23,1.16,1.12,,1.27,0.81,0.95,0.96,0.68,1.3,1.02,,1.31,1.04
WSPM_1_1,1.31,1.21,1.14,0.97,1.37,1.1,1.17,1.1,0.87,,1.34,1.22,1.17,,1.28,0.84,0.78,1.44,0.67,1.24,,,1.39,1.16
WSPM_1_2,1.34,1.27,1.12,0.87,1.39,1.15,1.19,1.16,1.04,,1.53,1.32,1.15,,1.32,1.01,0.9,0.76,1.07,1.84,,,1.39,1.23
WSPM_1_0,1.39,1.3,1.26,1.01,1.45,1.26,1.25,1.16,0.96,,1.37,1.4,1.26,,1.34,0.98,1.25,1.27,0.78,1.45,,,1.51,1.17
WSPM_0_2,1.57,1.31,1.67,1.05,1.48,1.26,1.74,1.17,0.92,,1.54,1.46,1.11,,3.74,1.14,1.41,1.1,1.03,0.72,,,1.65,1.21
WSPM_1_3,2.71,1.74,,,3.01,1.43,1.74,1.27,,,,1.83,1.63,,3.74,1.41,,,,,0.58,,2.13,2.33
WSPM_0_3,2.16,1.98,,,2.01,,,,,,,2.06,,,,,,,1.68,,,0.52,,1.63
PM10_0,0.91,0.85,0.79,0.65,0.95,0.78,0.79,0.78,0.63,0.45,0.91,0.89,0.82,0.49,0.86,0.66,0.66,0.72,0.53,0.78,0.56,,0.96,0.82
PM10_1,1.08,1.05,1.07,0.83,1.12,0.98,1.12,1.01,0.88,0.62,1.11,1.14,1.01,,1.1,0.8,0.78,0.81,0.68,0.74,,0.58,1.29,0.85
