,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.68,0.47,0.99,0.79,0.52,0.87,0.82,0.66,0.78,0.57,0.62,0.74,0.61,0.97,0.66
PRES_0_1,1.0,1.0,,,0.99,0.79,0.53,0.87,0.83,0.66,0.78,0.57,0.62,0.73,0.61,0.97,0.66
PRES_0_0,1.88,,0.55,,1.83,,,1.57,1.33,1.39,,1.05,,,0.78,1.8,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.01,1.01,0.66,0.47,0.99,1.61,,0.89,0.82,0.67,0.78,0.58,0.66,0.73,0.59,0.98,0.66
DEWP_1_0,1.41,1.4,,,,0.68,0.35,1.12,2.19,0.89,,0.8,0.7,,,1.37,1.03
DEWP_0_0,2.4,2.17,,,,1.48,0.52,1.7,,1.06,,0.89,1.16,,,2.31,
WSPM_0_1,1.12,1.12,0.79,,1.12,0.81,0.51,0.88,1.36,0.77,,0.65,0.66,,0.66,1.09,0.72
WSPM_0_2,1.26,1.27,0.65,0.45,1.23,1.17,,1.51,0.77,1.01,1.13,0.84,0.57,,,1.22,0.78
WSPM_0_0,1.36,1.35,,,1.34,1.08,0.77,1.23,1.16,0.74,1.28,0.66,0.95,,0.79,1.32,0.93
WSPM_0_3,1.39,1.38,,,1.35,,,,2.32,1.28,0.69,0.95,,,,1.36,0.88
WSPM_1_0,1.41,1.41,,,1.39,1.09,,1.19,1.29,0.84,1.23,0.74,1.17,,,1.37,1.0
WSPM_1_1,1.52,1.51,,,1.54,1.04,0.62,1.31,,0.75,,0.66,0.65,,,1.46,1.17
WSPM_0_4,1.55,1.54,,,1.51,,,,,,,1.58,,0.61,,1.52,1.23
WSPM_1_2,1.9,1.84,,,1.85,,,2.19,,1.12,,1.3,,,0.55,1.83,
PM10_0,1.02,1.02,0.67,0.47,1.01,0.8,0.53,0.88,0.84,0.68,0.81,0.58,0.65,0.76,0.6,0.98,0.71
PM10_1,1.38,1.38,,,1.36,1.23,,1.23,1.2,0.77,0.95,0.72,0.72,1.13,,1.38,0.72
