,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_1_0,0.74,1.15,,,,1.01,0.89,1.25,0.81,1.38,,,1.01,0.94,0.96,1.57,3.27,3.51,1.01,1.02,1.01,1.26,0.91,0.59,0.41,0.65,0.74,1.05,1.01,1.14,0.86,0.74
TEMP_0_0,1.12,0.73,8.61,,,,1.25,0.84,1.08,1.11,,,,1.25,0.79,4.57,0.97,0.79,,1.01,1.02,0.96,1.64,0.56,0.42,0.57,0.64,0.7,,1.14,0.93,0.7
TEMP_1_1,,,0.6,,,,1.04,,1.14,,0.55,,,2.03,5.25,0.67,,,,1.34,0.94,1.7,1.72,0.63,0.41,0.83,1.71,,,1.2,1.16,2.98
TEMP_0_2,,,,0.45,,,3.76,,,1.04,,0.49,,2.21,1.42,,,0.77,,3.17,2.01,2.31,0.89,0.87,0.7,1.01,1.06,,,1.83,1.66,1.05
TEMP_0_1,,,,,0.43,,4.44,2.61,3.85,0.93,,0.85,,11.25,,,0.61,,,3.15,3.06,1.09,,1.01,0.89,1.05,1.39,0.47,,2.1,1.55,0.85
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.0,1.38,0.96,3.74,2.53,0.82,0.69,2.75,1.07,3.44,,,0.82,1.12,1.43,0.99,2.34,2.64,0.82,1.21,1.0,1.26,1.03,0.62,0.43,0.74,0.71,0.89,0.82,1.22,0.91,0.72
PRES_1_1,1.18,0.85,,,1.31,,2.48,0.69,3.59,,,,,1.37,0.94,,0.89,0.77,,1.08,1.02,1.0,1.83,0.61,0.44,0.62,0.78,0.77,,1.22,0.96,0.78
PRES_1_0,0.99,1.19,1.48,,,,1.16,4.91,0.62,,,,,1.18,1.1,1.39,2.22,,,1.26,1.23,1.26,1.05,0.69,0.47,0.84,0.94,1.49,,1.25,1.11,1.25
PRES_1_2,1.59,1.45,,0.81,0.67,,6.45,,,0.53,,,,1.71,1.01,,0.96,,,1.53,1.82,1.55,1.34,0.67,0.57,0.69,0.89,0.75,,1.57,1.28,0.98
PRES_0_1,,,0.82,,,,,,,,0.43,,,,,0.79,,,,1.45,1.27,,,0.8,0.53,1.0,,,,1.66,1.61,3.61
PRES_1_3,,,,0.55,0.93,,8.41,,,,,0.42,,4.07,1.89,,1.32,0.73,,3.1,1.79,1.54,1.33,1.08,0.8,0.94,1.3,0.68,,1.87,1.94,0.92
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.79,0.99,1.5,1.09,3.64,0.64,0.82,1.15,0.8,1.14,,1.69,0.64,0.79,1.19,,,,0.64,0.93,1.08,0.93,0.78,0.62,0.41,0.66,0.84,,0.64,1.11,0.79,0.59
DEWP_0_0,1.19,0.93,6.19,1.13,,,1.85,1.23,1.24,0.89,,1.46,,1.67,0.62,,,,,1.49,0.99,1.58,1.99,0.57,0.44,0.61,0.68,0.74,,1.25,1.21,1.93
DEWP_1_1,1.92,5.23,0.68,,,,1.08,,1.12,,0.54,,,,,0.59,,,,1.34,0.9,2.69,1.7,0.63,0.41,0.85,1.71,,,1.26,1.11,2.14
DEWP_0_2,3.59,1.57,,,0.48,,2.51,1.29,2.09,1.07,,0.96,,,,,0.51,,,1.66,2.44,1.04,,0.81,0.66,0.79,1.03,0.53,,1.65,1.35,0.8
DEWP_0_1,3.25,1.33,,0.73,,,2.78,1.2,,,,0.62,,,,,,0.49,,1.71,1.79,1.64,1.52,0.73,0.67,0.76,0.66,0.62,,1.59,1.56,1.02
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.08,1.13,1.38,1.73,1.98,,1.07,1.26,1.16,1.19,0.95,1.52,,1.19,1.46,1.32,1.19,1.19,,0.66,2.98,2.93,,0.86,0.6,0.71,0.69,,,1.25,0.94,0.88
WSPM_0_1,1.24,1.2,0.98,1.45,2.72,,1.18,1.35,1.09,1.65,0.88,1.24,,1.5,0.93,0.92,2.4,1.51,,1.41,0.66,2.72,3.8,0.65,0.34,0.79,1.1,,,1.15,1.07,1.64
WSPM_0_3,1.32,1.24,1.89,1.72,0.68,,1.2,1.24,1.23,1.39,,1.03,,1.33,1.53,2.61,0.87,1.35,,9.22,3.67,0.61,,1.11,0.83,1.15,,,,1.65,0.97,0.57
WSPM_0_4,1.27,1.79,1.93,0.75,,,1.22,2.3,1.12,1.43,,0.94,,1.29,1.97,2.02,,1.45,,,4.3,,0.54,1.65,1.21,1.91,,,,1.8,1.06,0.69
WSPM_0_0,1.9,1.71,1.68,1.63,1.38,,2.29,2.16,1.64,1.36,1.38,2.15,,2.39,1.36,1.85,1.54,1.74,,2.86,1.47,2.42,3.97,0.49,0.41,0.78,0.98,,,1.62,2.1,4.52
WSPM_1_0,1.89,1.86,1.72,1.98,1.94,,2.02,2.25,1.82,1.77,1.64,2.36,,2.33,1.44,1.75,2.03,2.54,,2.26,1.39,3.09,3.76,0.67,0.53,1.37,1.56,,,1.74,1.71,3.59
WSPM_1_1,1.95,1.65,2.47,2.36,2.27,,2.9,1.95,1.99,1.81,1.88,1.93,,3.31,1.34,2.7,1.9,1.48,,4.8,1.36,2.82,4.46,0.68,0.61,0.43,,,,1.85,2.47,
WSPM_1_2,2.41,1.6,4.09,1.8,2.1,,2.6,1.84,2.01,1.94,,1.88,,4.58,1.29,3.96,1.96,1.2,,,1.82,,,0.63,0.85,0.89,0.39,,,1.86,5.33,
WSPM_1_3,3.41,3.13,,,1.09,,3.05,2.9,2.63,2.07,,1.92,,,2.42,,1.54,1.47,,,,,,1.3,,,,0.28,,2.54,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.94,0.89,0.89,0.9,0.97,,0.99,1.02,0.85,0.93,0.81,0.86,,1.13,0.76,0.95,0.96,0.84,,0.93,0.74,1.18,1.3,0.44,0.32,0.47,0.57,0.54,,0.85,0.95,3.29
PM10_1,0.99,1.08,1.29,1.16,1.06,,0.92,1.19,0.97,1.11,1.08,1.42,,1.08,1.21,1.1,1.23,1.29,,1.03,1.22,0.97,0.87,0.64,0.45,0.91,0.62,,,1.35,0.74,0.58
PM10_2,1.5,1.55,,1.16,0.96,,1.46,1.6,1.76,1.93,,0.86,,1.57,1.94,,1.08,1.51,,2.19,3.19,1.05,1.11,,0.71,,,,,2.34,1.37,0.5
