,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_0_2,1123.5,,,,,1.41,1.08,0.52,0.62,0.8,,1.48,0.65,1.53,1.53,,1.1,0.95,0.86,0.88,0.94,0.89,0.98,1.58,1.19,,1.08,0.91,1.04
TEMP_0_1,,5107.32,,,,0.35,1.72,2.18,1.06,0.9,,473.64,,,,,0.9,0.86,1.67,1.04,1.36,1.11,0.95,,0.46,,0.85,1.22,0.88
TEMP_0_0,,,1407.75,,,0.78,,1.81,3.34,2.3,,,865.84,,,,0.67,1.59,0.7,1.57,0.77,1.39,1.22,,0.96,,0.89,1.14,1.02
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.89,0.43,0.85,,,517.34,,,,,,1.27,0.82,,,,1.17,0.98,0.79,1.13,1.03,1.22,1.13,0.64,0.66,,1.44,0.85,0.56
PRES_1_3,1.19,1.63,,,,,1578.2,,,,,1.9,0.52,,,,0.62,0.8,1.31,0.77,1.02,0.78,0.75,2.9,1.71,,0.75,0.94,1.87
PRES_1_1,0.3,2.57,1.86,,,,,953.81,,,,0.32,3.13,,,,1.31,0.67,0.75,1.38,1.8,0.93,0.99,,1.15,,1.35,0.8,0.57
PRES_1_0,0.39,1.07,3.6,,,,,,91.76,1.23,,0.62,1.66,,,,0.59,1.99,1.35,1.05,0.32,0.8,1.33,,1.08,,0.83,1.36,0.79
PRES_0_0,0.6,0.88,2.53,,,,,,1.24,74.23,,0.65,1.18,10.98,,,1.89,1.31,1.19,0.43,0.65,0.95,0.67,,,,0.27,2.62,1.99
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,1.32,1.48,,,,1.11,1.2,0.62,0.85,0.87,,551.32,,,,,1.16,0.91,1.18,0.96,0.84,1.02,1.0,0.87,0.72,,0.95,1.04,1.03
DEWP_0_1,0.46,,7.51,,,0.77,0.51,2.38,1.5,1.14,,,815.63,,,,0.47,1.35,0.54,1.16,1.56,0.97,1.0,1.33,1.94,,1.23,0.84,0.87
DEWP_0_0,,,,,,,,,,30.47,,,,3051.5,,,13.02,,,,,,,,,,,3.82,
DEWP_1_0,,,,,,,,,,,,,,,738.83,,10.41,,,,,,,,,,,4.17,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.27,0.9,0.69,,,1.27,0.61,1.25,0.64,1.63,,1.78,0.47,3.73,3.0,,265.81,,,,,,0.16,,,,0.33,1.99,2.23
WSPM_0_1,0.89,0.86,1.5,,,0.98,0.79,0.69,1.76,1.25,,0.76,1.38,,,,,54.63,,,,0.14,0.68,,,,1.28,0.91,0.54
WSPM_0_2,0.72,1.75,0.72,,,0.7,1.4,0.76,1.35,1.11,,2.04,0.52,,,,,,214.59,,,,0.31,,,,0.44,2.21,1.29
WSPM_0_0,0.74,1.05,1.59,,,1.23,0.73,1.37,0.97,0.59,,0.87,1.18,,,,,,,12.86,0.49,1.19,5.12,,,,4.91,0.25,0.23
WSPM_1_2,0.85,1.44,0.76,,,1.03,1.02,1.85,0.31,0.73,,0.6,1.76,,,,,0.07,,0.43,115.57,,,,,,6.9,0.18,0.16
WSPM_1_1,0.76,1.13,1.43,,,1.42,0.71,0.93,0.84,0.95,,1.08,0.97,,,,,0.17,,1.02,,70.06,,,,,4.31,0.32,
WSPM_1_0,0.94,0.94,1.25,,,1.26,0.71,1.04,1.4,0.5,,1.04,1.0,,,,0.12,0.58,0.21,7.12,,,7.28,,,,2.74,0.42,0.32
WSPM_0_4,189.23,,,,,0.52,6.52,,,,,0.62,1.47,,,,,,,,,,,1517.65,,,0.1,2.83,4.01
WSPM_1_3,1.83,0.39,0.95,,,0.52,2.19,1.16,0.99,,,0.39,2.54,,,,,,,,,,,,868.13,,3.11,0.16,0.92
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.09,0.92,0.94,,,1.29,0.84,1.14,0.9,0.47,,0.93,1.11,,,,0.47,1.13,0.59,1.55,1.71,1.55,1.4,0.18,1.48,,11.11,0.14,
PM10_1,0.83,1.19,1.12,,,0.82,0.94,0.84,1.31,1.83,,1.12,0.86,1.92,,,1.82,0.93,1.88,0.31,0.16,0.3,0.52,2.0,0.19,,0.09,13.08,0.37
PM10_2,1.1,0.85,1.02,,,0.44,2.32,0.56,0.78,1.95,,1.09,0.86,,,,2.76,0.48,1.38,0.25,,,0.27,3.44,0.65,,,0.32,52.8
