,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.47,0.26,0.98,0.63,0.32,0.8,0.71,0.54,0.63,0.46,0.48,0.56,0.41,0.96,0.54
PRES_0_1,1.0,1.0,,,0.99,0.63,0.33,0.81,0.71,0.54,0.64,0.46,0.48,0.56,0.42,0.96,0.54
PRES_0_0,3.27,,0.66,,3.16,,,2.54,1.99,2.0,,1.47,,,0.94,3.11,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.02,0.46,0.26,0.99,1.31,,0.83,0.71,0.56,0.64,0.47,0.51,0.56,0.41,0.98,0.55
DEWP_1_0,1.96,1.95,,,,0.76,0.3,1.45,2.63,1.03,,0.9,0.75,,,1.89,1.17
DEWP_0_0,4.91,4.44,,,,2.43,0.66,3.23,,1.79,,1.46,1.81,,,4.67,
WSPM_0_1,1.26,1.25,0.61,,1.24,0.73,0.35,0.91,1.31,0.7,,0.58,0.57,,0.51,1.2,0.66
WSPM_0_2,1.58,1.59,0.56,0.31,1.53,1.17,,1.75,0.83,1.04,1.15,0.84,0.55,,,1.5,0.79
WSPM_0_0,1.81,1.8,,,1.78,1.16,0.64,1.53,1.33,0.82,1.39,0.71,0.97,,0.73,1.75,1.01
WSPM_0_3,1.9,1.89,,,1.84,,,,2.74,1.45,0.77,1.05,,,,1.84,0.98
WSPM_1_0,1.95,1.95,,,1.92,1.21,,1.53,1.54,0.96,1.38,0.83,1.25,,,1.88,1.13
WSPM_1_1,2.27,2.26,,,2.28,1.25,0.57,1.81,,0.92,,0.79,0.74,,,2.16,1.42
WSPM_0_4,2.36,2.35,,,2.28,,,,,,,1.93,,0.71,,2.28,1.52
WSPM_1_2,3.34,3.24,,,3.23,,,3.59,,1.63,,1.84,,,0.66,3.18,
PM10_0,1.04,1.03,0.47,0.26,1.02,0.65,0.33,0.83,0.74,0.57,0.66,0.48,0.5,0.58,0.42,0.99,0.58
PM10_1,1.89,1.88,,,1.85,1.35,,1.57,1.41,0.86,1.05,0.79,0.75,1.17,,1.87,0.79
