,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_1_0,0.9,1.18,,,,,0.95,1.07,0.9,0.99,,,,1.03,0.94,1.1,1.42,1.38,,0.98,1.01,1.02,0.85,0.68,0.59,0.7,0.67,0.73,,1.25,0.92
TEMP_0_0,1.18,0.89,,,,,1.15,0.92,0.96,0.91,,,,1.17,0.87,1.67,0.84,0.76,,0.99,1.0,0.93,1.09,0.72,0.63,0.64,0.67,0.55,,1.24,0.96
TEMP_1_1,,,0.83,,,,1.11,,1.12,,0.69,,,1.53,2.28,0.86,,,,1.22,1.05,1.27,1.21,0.8,0.66,0.84,1.07,,,1.43,1.35
TEMP_0_2,,,,0.75,,,2.13,,,1.13,,0.74,,1.86,1.38,,,0.95,,2.03,1.64,1.66,1.07,1.01,0.93,1.07,1.01,,,1.91,1.45
TEMP_0_1,,,,,0.73,,2.5,1.92,2.32,1.11,,0.96,,3.87,,,0.91,,,2.05,1.99,1.28,,1.14,1.08,1.08,1.17,0.64,,2.08,1.45
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.06,1.21,0.94,1.42,1.18,,0.88,1.67,1.09,1.48,,,,1.13,1.19,0.94,1.24,1.27,,1.11,1.01,1.06,0.93,0.76,0.67,0.72,0.67,0.63,,1.33,0.96
PRES_1_1,1.18,0.99,,,0.9,,1.7,0.87,1.85,,,,,1.25,0.95,,0.84,0.78,,1.03,1.04,0.97,1.18,0.75,0.64,0.7,0.75,0.62,,1.31,1.01
PRES_1_0,1.12,1.24,1.19,,,,1.22,2.4,0.84,,,,,1.23,1.08,1.15,1.26,,,1.15,1.18,1.11,0.97,0.79,0.65,0.85,0.83,0.87,,1.41,1.23
PRES_1_2,1.53,1.41,,0.87,0.78,,3.14,,,0.79,,,,1.56,1.12,,0.98,,,1.37,1.5,1.31,1.15,0.85,0.8,0.82,0.88,0.69,,1.66,1.26
PRES_0_1,,,1.1,,,,,,,,0.73,,,,,1.07,,,,1.48,1.38,,,1.03,0.86,1.07,,,,1.89,1.6
PRES_1_3,,,,0.84,1.0,,,,,,,0.73,,2.59,1.61,,1.25,0.97,,2.09,1.62,1.47,1.31,1.15,1.03,1.08,1.13,0.71,,2.04,1.52
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.91,1.0,1.05,0.81,1.32,0.75,0.89,1.01,0.84,0.89,,0.92,0.75,0.92,1.09,,,,0.75,0.92,0.98,0.88,0.77,0.71,0.58,0.63,0.63,,0.75,1.18,0.84
DEWP_0_0,1.24,1.1,2.04,0.93,,,1.43,1.17,1.13,0.91,,1.0,,1.52,0.84,,,,,1.22,1.09,1.25,1.25,0.74,0.67,0.75,0.75,0.64,,1.42,1.33
DEWP_1_1,1.46,2.18,0.88,,,,1.14,,1.13,,0.69,,,,,0.82,,,,1.23,1.04,1.55,1.22,0.81,0.66,0.84,1.07,,,1.45,1.25
DEWP_0_2,2.19,1.46,,,0.7,,1.81,1.32,1.59,1.08,,0.92,,,,,0.78,,,1.45,1.69,1.14,,0.96,0.88,0.89,0.94,0.61,,1.76,1.28
DEWP_0_1,2.21,1.38,,0.87,,,1.88,1.3,,,,0.79,,,,,,0.77,,1.5,1.54,1.39,1.27,0.94,0.91,0.91,0.8,0.67,,1.77,1.42
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.14,1.14,1.11,1.05,1.09,,1.08,1.16,1.08,0.99,0.82,0.97,,1.19,1.24,1.08,0.96,0.95,,0.86,2.42,,,0.91,0.83,0.65,,,,1.36,1.0
WSPM_0_1,1.22,1.15,0.97,1.0,1.24,,1.15,1.17,1.02,1.12,0.81,0.91,,1.33,0.98,0.93,1.28,1.05,,1.13,0.86,1.4,1.82,0.9,0.6,0.91,0.99,,,1.34,1.17
WSPM_0_3,1.29,1.23,1.31,1.11,0.74,,1.19,1.19,1.14,1.09,,0.87,,1.3,1.28,1.45,0.88,1.04,,,2.55,0.83,,1.1,0.98,0.99,,,,1.55,0.99
WSPM_0_4,1.31,1.56,1.4,0.84,,,1.26,1.6,1.17,1.18,,0.89,,1.35,1.53,1.41,,1.13,,,2.62,,0.8,1.39,1.2,,,,,1.72,1.1
WSPM_0_0,1.72,1.67,1.46,1.27,1.08,,1.79,1.71,1.54,1.27,1.17,1.36,,1.91,1.36,1.53,1.28,1.34,,2.13,1.52,1.91,,0.78,0.7,0.97,1.08,,,1.86,2.17
WSPM_1_0,1.79,1.83,1.54,1.42,1.34,,1.68,1.82,1.77,1.44,1.33,1.47,,1.97,1.46,1.54,1.5,1.62,,1.65,1.53,2.01,1.9,0.91,0.82,1.29,1.49,,,2.01,2.31
WSPM_1_1,1.77,1.91,1.83,1.56,1.59,,2.27,1.74,1.72,1.54,1.44,1.39,,3.01,1.43,1.98,1.55,1.32,,3.12,1.49,2.02,,0.94,0.94,0.74,,,,2.11,4.59
WSPM_1_2,2.05,1.74,2.26,1.43,1.47,,2.17,1.69,1.7,1.59,,1.4,,3.34,1.38,2.21,1.55,1.26,,,1.9,,,0.98,1.23,,0.71,,,2.15,
WSPM_1_3,2.49,2.69,,,1.32,,2.57,2.43,2.2,1.89,,1.68,,,2.14,,1.65,1.58,,,,,,1.65,,,,0.63,,2.84,2.83
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.86,0.86,0.76,0.68,0.66,0.89,0.84,0.86,0.77,0.73,0.63,0.66,0.89,0.95,0.76,0.76,0.73,0.69,0.89,0.81,0.77,0.83,0.79,0.55,0.48,0.54,0.56,0.46,0.89,0.97,0.91
PM10_1,1.18,1.15,1.34,0.86,0.8,,1.08,1.14,1.11,1.02,1.04,0.78,,1.17,1.16,1.23,0.91,0.97,,1.15,1.34,0.95,0.88,0.65,0.63,0.57,,,,1.59,0.87
