,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.47,0.27,0.98,0.63,0.34,0.82,0.72,0.57,0.64,0.49,0.51,0.56,0.43,0.96,0.56
PRES_0_1,1.0,1.0,,,0.99,0.63,0.35,0.83,0.73,0.57,0.64,0.49,0.51,0.56,0.44,0.97,0.57
PRES_0_0,3.21,,0.65,,3.12,,,2.63,1.98,2.1,,1.6,,,0.94,3.05,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.02,0.46,0.27,0.99,,,0.85,0.72,0.59,0.65,0.5,0.54,0.56,0.43,0.99,0.58
DEWP_1_0,1.96,1.95,,,,0.76,0.34,1.48,2.46,1.11,,0.97,0.81,,,1.9,1.25
DEWP_0_0,4.78,4.5,,,,2.72,0.63,3.65,,1.75,,1.51,1.77,,,4.55,
WSPM_0_1,1.26,1.25,0.61,,1.25,0.73,0.37,0.92,1.5,0.82,,0.65,0.6,,0.53,1.21,0.7
WSPM_0_2,1.58,1.59,0.58,0.31,1.53,1.3,,2.11,0.83,1.21,,0.94,,,,1.51,0.85
WSPM_0_0,1.81,1.8,,,1.78,1.14,,1.55,1.4,0.82,1.55,0.72,1.06,,0.79,1.74,1.01
WSPM_0_3,1.9,1.89,,,1.84,,,,,1.66,0.77,1.16,,,,1.85,1.01
WSPM_1_0,1.95,1.95,,,1.92,1.23,,1.58,1.65,0.96,1.5,0.85,1.39,,,1.87,1.25
WSPM_1_1,2.27,2.26,,,2.3,1.26,0.61,2.18,,0.93,,0.87,0.74,,,2.15,1.48
WSPM_0_4,2.36,2.35,,,2.28,,,,,,,2.14,,0.71,,2.3,1.54
WSPM_1_2,3.27,3.24,,,3.2,,,4.48,,1.79,,2.07,,,0.65,3.12,
PM10_0,1.04,1.03,0.47,0.27,1.02,0.66,0.35,0.85,0.75,0.6,0.67,0.51,0.53,0.59,0.44,0.99,0.63
PM10_1,1.89,1.88,,,1.85,1.35,,1.58,1.43,0.93,1.09,0.8,0.87,1.17,,1.93,0.8
