,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,0.66,9.88,,,0.91,1.71,4.26,3.16,,,1.15,1.25,5.41,,1.53,1.34,1.02,1.09,1.2,2.19,2.64,,1.45,1.3,1.3
TEMP_0_0,10.95,0.58,,,1.91,0.87,18.05,0.68,,,3.04,1.19,0.83,,1.35,1.5,2.61,2.41,1.79,0.95,0.72,0.62,1.41,1.65,1.33
TEMP_1_1,,,0.31,,14.29,,0.38,,,,1.14,7.57,,0.31,2.1,2.28,2.04,1.71,2.33,3.56,,,2.12,2.08,3.6
TEMP_0_2,,,,0.13,,,,,0.13,0.13,,,0.59,,3.47,4.19,5.29,7.31,3.27,2.4,,,3.9,3.57,6.5
PRES_0_0,0.89,1.66,8.45,,0.67,12.19,,,,,1.15,1.24,3.02,,1.31,1.35,1.29,1.26,1.35,1.4,2.14,0.83,1.55,1.2,1.01
PRES_1_0,2.39,1.16,,,18.68,0.39,,,,,3.43,1.4,1.63,,1.9,1.9,2.46,2.46,1.78,1.71,1.1,,1.63,2.5,1.99
PRES_0_1,6.74,24.7,0.36,,,,0.33,,,,1.06,8.25,,0.33,1.84,2.41,2.1,1.99,2.33,3.81,1.59,,2.0,2.01,3.52
PRES_1_1,5.2,1.05,,,,,,0.29,,,26.27,1.7,0.84,,3.13,1.89,1.8,2.0,2.27,1.64,1.88,,1.86,2.72,5.09
PRES_1_3,,,,0.14,,,,,0.12,,,,0.63,,4.53,3.86,4.76,6.59,3.27,2.16,,,3.62,4.47,7.98
PRES_1_2,,,,0.31,,,,,,0.04,,,1.35,,4.23,,,,,,,,,4.31,
DEWP_1_0,1.17,2.87,0.72,,1.22,2.38,0.71,17.72,,,0.63,14.09,,,1.1,1.46,1.79,2.0,1.47,1.96,,,1.74,1.18,1.18
DEWP_0_0,1.32,1.13,4.87,,1.34,1.04,5.58,1.05,,,14.38,0.61,,,1.82,1.31,1.12,1.07,1.37,2.01,0.83,0.59,1.18,1.69,2.15
DEWP_0_1,8.28,1.18,,0.32,4.83,1.78,,0.79,0.32,0.33,,,0.32,,2.75,2.42,2.53,2.11,2.06,0.8,1.22,,2.16,2.35,1.49
DEWP_1_1,,,1.09,,,,1.22,,,,,,,0.05,5.63,,,,,,,,5.56,10.47,
WSPM_0_1,1.58,1.3,1.35,1.26,1.42,1.34,1.25,1.95,1.53,0.69,1.11,1.83,1.83,1.08,0.63,,9.79,19.52,3.19,,,,1.7,1.21,1.33
WSPM_0_0,2.02,2.09,2.15,2.21,2.12,2.0,2.36,1.73,1.9,,2.15,1.91,2.34,,,0.53,3.06,7.48,0.72,,,,1.63,2.49,5.42
WSPM_1_1,1.79,3.56,2.16,2.98,2.25,2.88,2.3,1.79,2.59,,2.99,1.78,2.67,,21.17,2.93,0.35,,,,,,2.1,2.39,2.99
WSPM_1_2,1.9,3.81,1.85,4.41,2.22,3.1,2.24,2.08,3.71,,3.48,1.76,2.33,,29.66,9.37,,0.3,,,,,1.89,3.1,3.65
WSPM_1_0,2.31,3.28,2.83,2.22,2.64,2.65,2.93,2.64,2.07,,2.77,2.61,2.57,,5.41,0.98,,,0.69,12.17,,,2.32,2.99,3.87
WSPM_0_2,4.64,1.82,4.75,1.75,3.06,2.5,5.3,2.01,1.47,,4.11,3.94,1.08,,,,,,14.28,0.21,,,4.91,2.83,0.88
WSPM_1_3,10.8,2.56,,,9.73,2.91,4.09,4.02,,,,3.04,3.08,,,,,,,,0.08,,3.46,9.32,
WSPM_0_3,,3.13,,,4.45,,,,,,,3.05,,,,,,,,,,0.05,,5.02,1.71
PM10_0,1.43,1.27,1.29,1.33,1.57,1.14,1.27,1.09,1.16,,1.67,1.12,1.35,1.01,1.59,1.05,1.26,1.09,1.17,2.34,0.89,,0.72,5.71,
PM10_1,1.33,1.56,1.35,1.29,1.28,1.74,1.36,1.7,1.5,0.69,1.19,1.67,1.55,1.93,1.21,1.73,1.44,1.86,1.58,1.33,2.22,0.95,5.93,0.71,3.15
PM10_2,2.6,2.31,4.46,4.42,2.06,2.7,4.55,5.42,5.07,,2.3,3.82,1.9,,2.51,7.3,3.39,3.67,3.8,0.85,,0.68,,5.84,0.29
