,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.56,0.34,0.99,0.7,0.4,0.83,0.76,0.58,0.7,0.5,0.53,0.64,0.49,0.96,0.58
PRES_0_1,1.0,1.0,,,0.99,0.7,0.41,0.83,0.76,0.58,0.7,0.5,0.53,0.64,0.5,0.97,0.58
PRES_0_0,2.5,,0.61,,2.43,,,1.97,1.63,1.64,,1.21,,,0.86,2.39,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.02,0.55,0.34,0.99,1.45,,0.85,0.76,0.6,0.7,0.51,0.57,0.64,0.49,0.98,0.59
DEWP_1_0,1.66,1.65,,,,0.72,0.32,1.27,2.47,0.93,,0.82,0.7,,,1.61,1.07
DEWP_0_0,3.36,3.02,,,,1.76,0.57,2.23,,1.38,,1.2,1.45,,,3.22,
WSPM_0_1,1.19,1.18,0.7,,1.18,0.77,0.41,0.9,1.27,0.7,2.48,0.59,0.6,0.82,0.56,1.14,0.67
WSPM_0_2,1.41,1.42,0.59,0.39,1.38,1.12,,1.52,0.8,0.98,1.11,0.81,0.55,,,1.35,0.76
WSPM_0_0,1.57,1.56,,,1.55,1.12,0.67,1.35,1.18,0.78,1.28,0.68,0.93,,0.74,1.52,0.96
WSPM_0_3,1.63,1.62,,,1.58,,,1.26,2.3,1.29,0.73,0.96,,,,1.58,0.91
WSPM_1_0,1.66,1.65,,,1.64,1.17,,1.35,1.38,0.9,1.3,0.78,1.18,,,1.6,1.07
WSPM_1_1,1.86,1.85,,,1.88,1.13,0.59,1.49,,0.83,,0.74,0.7,,,1.78,1.24
WSPM_0_4,1.91,1.9,,,1.86,,,3.96,,,,1.69,,0.66,,1.86,1.36
WSPM_1_2,2.55,2.44,,,2.47,,,2.69,,1.32,,1.51,,,0.61,2.44,
PM10_0,1.03,1.03,0.56,0.34,1.01,0.72,0.41,0.85,0.78,0.6,0.73,0.51,0.56,0.66,0.49,0.98,0.62
PM10_1,1.62,1.61,,,1.58,1.29,,1.39,1.28,0.8,0.99,0.75,0.71,1.15,,1.59,0.75
