,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.0,0.99,2.1,1.0,1.05,2.38,1.41,1.25,3.36,1.15,5.99,2.96,1.09,1.82,1.31,2.05,5.06
PRES_0_1,1.0,1.01,,,1.0,1.07,2.24,1.41,1.21,3.4,1.17,6.01,3.01,1.11,1.72,1.31,2.07,5.15
PRES_0_0,1.0,,66.84,,1.09,,,1.39,3.38,1.18,,5.3,,,6.74,1.49,0.82,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,1.0,1.02,2.3,1.09,0.04,,1.35,1.35,3.33,1.26,6.0,2.56,1.19,1.92,1.32,2.08,5.2
DEWP_1_0,0.98,1.0,,,,12.15,8.24,2.1,0.22,3.62,,6.0,7.09,,,1.27,1.68,3.17
DEWP_0_0,0.92,0.73,,,,7.61,179.84,1.14,,4.19,,5.22,10.19,,,1.37,2.04,
WSPM_0_1,1.0,1.0,0.82,,0.96,1.55,2.33,2.28,0.28,3.45,0.17,7.13,2.91,0.07,0.74,1.34,2.0,5.15
WSPM_0_2,1.0,0.98,2.38,11.49,1.08,0.13,,0.26,5.35,1.38,0.15,3.3,0.26,,,1.33,1.91,2.95
WSPM_0_0,1.0,1.01,,,0.99,1.17,3.95,1.41,0.44,7.41,0.3,10.63,4.96,,2.34,1.32,2.19,6.39
WSPM_0_3,1.0,1.02,,,1.09,,,0.05,0.24,0.98,10.72,1.95,,,,1.17,2.4,10.45
WSPM_1_0,1.0,1.01,,,1.0,1.14,,1.54,0.65,5.44,0.41,8.03,2.95,,,1.31,2.1,5.99
WSPM_1_1,1.0,1.02,,,0.84,2.93,11.8,1.66,,4.02,,4.57,17.29,,,1.3,2.31,3.22
WSPM_0_4,1.0,1.02,,,1.09,,,0.15,,,,1.18,,23.91,,1.23,1.87,
WSPM_1_2,1.0,0.91,,,1.09,,,0.99,,4.01,,3.39,,,67.41,1.47,1.24,
PM10_0,1.0,0.99,1.42,3.12,0.99,1.15,3.2,1.44,1.24,3.5,0.98,6.22,3.32,1.09,2.63,1.47,1.55,2.9
PM10_1,1.0,1.01,,,1.03,0.66,,1.35,1.31,2.99,1.53,5.44,2.26,0.84,,1.07,3.25,8.45
PM10_2,1.0,1.02,,,1.07,,,1.38,,3.37,2.65,5.83,,,,0.74,3.32,75.42
