,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_1_0,1.0,0.99,,,,,0.91,0.87,0.78,0.57,,,,1.13,0.7,0.72,0.52,0.51,,0.85,0.81,0.76,0.6,0.43,0.38,0.36,0.29,0.22,,1.26,0.97,0.52
TEMP_0_0,1.01,1.0,,,,,0.89,0.91,0.74,0.59,,,,1.15,0.77,0.54,0.54,0.51,,0.83,0.84,0.71,0.59,0.45,0.39,0.35,0.35,0.19,,1.29,1.01,0.48
TEMP_1_1,,,1.0,,,,1.24,,1.01,,0.6,,,1.54,1.23,0.97,,,,1.15,1.14,0.96,0.84,0.6,0.53,0.48,0.46,,,1.75,1.36,0.7
TEMP_0_2,,,,1.0,,,1.67,,,1.32,,0.87,,2.53,1.58,,,1.1,,2.0,1.8,1.6,1.3,0.92,0.83,0.76,0.72,,,2.76,2.21,1.11
TEMP_0_1,,,,,1.01,,2.54,2.36,2.13,1.49,,0.95,,3.73,,,1.34,,,2.08,1.77,1.84,,1.13,1.05,0.87,0.82,0.46,,3.21,2.49,1.26
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.11,1.08,0.81,0.51,0.41,0.2,1.0,0.99,0.86,0.52,,,0.2,1.26,0.82,0.79,0.55,0.57,0.2,0.98,0.91,0.83,0.67,0.47,0.44,0.36,0.31,0.19,0.2,1.41,1.09,0.53
PRES_1_1,1.14,1.1,,,0.44,,1.03,1.0,0.79,,,,,1.27,0.81,,0.6,0.56,,0.91,0.91,0.8,0.7,0.49,0.43,0.4,0.4,0.22,,1.42,1.09,0.58
PRES_1_0,1.3,1.3,1.0,,,,1.16,1.1,1.0,,,,,1.48,0.99,0.95,0.69,,,1.04,1.11,0.93,0.78,0.59,0.49,0.5,0.45,0.33,,1.68,1.34,0.68
PRES_1_2,1.74,1.7,,0.76,0.68,,1.87,,,1.0,,,,1.92,1.28,,0.91,,,1.45,1.44,1.23,0.99,0.75,0.67,0.6,0.56,0.34,,2.19,1.69,0.84
PRES_0_1,,,1.68,,,,,,,,0.99,,,,,1.64,,,,1.98,1.9,,,0.98,0.87,0.83,,,,2.96,2.27,
PRES_1_3,,,,1.14,1.01,,,,,,,1.0,,3.0,1.74,,1.35,1.25,,2.28,1.97,1.81,1.51,1.01,0.93,0.86,0.82,0.38,,3.08,2.49,1.27
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.89,0.88,0.65,0.39,0.36,0.12,0.79,0.78,0.67,0.52,,0.32,0.12,1.0,0.67,,,,0.12,0.74,0.72,0.64,0.53,0.37,0.34,0.27,0.21,,0.12,1.11,0.88,0.44
DEWP_0_0,1.35,1.32,0.94,0.62,,,1.29,1.22,1.02,0.78,,0.54,,1.49,1.0,,,,,1.06,1.13,0.96,0.75,0.61,0.53,0.53,0.5,0.27,,1.74,1.29,0.76
DEWP_1_1,1.38,1.16,1.03,,,,1.27,,1.06,,0.62,,,,,1.0,,,,1.19,1.16,1.04,0.86,0.61,0.54,0.48,0.47,,,1.8,1.41,0.72
DEWP_0_2,1.9,1.86,,,0.75,,1.75,1.67,1.47,1.11,,0.71,,,,,1.01,,,1.59,1.44,1.35,,0.83,0.73,0.65,0.61,0.34,,2.37,1.86,0.94
DEWP_0_1,2.05,1.94,,0.9,,,1.65,1.76,,,,0.79,,,,,,1.0,,1.68,1.6,1.41,1.13,0.83,0.73,0.72,0.65,0.39,,2.48,1.96,0.96
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.21,1.2,0.87,0.49,0.48,,1.02,1.09,0.94,0.69,0.51,0.43,,1.33,0.97,0.84,0.63,0.59,,1.0,1.46,0.52,,0.43,0.52,0.29,,,,1.53,1.16,0.56
WSPM_0_1,1.21,1.16,0.88,0.55,0.49,,1.1,1.09,0.86,0.71,0.53,0.49,,1.37,0.88,0.85,0.66,0.6,,0.68,1.0,0.74,0.76,0.6,0.46,0.5,0.44,,,1.55,1.17,0.63
WSPM_0_3,1.35,1.39,1.0,0.63,0.54,,1.18,1.24,1.06,0.81,,0.55,,1.54,1.05,0.92,0.74,0.7,,1.91,1.24,1.0,,0.57,0.56,0.48,,,,1.77,1.33,0.66
WSPM_0_4,1.67,1.66,1.15,0.76,,,1.47,1.44,1.26,1.01,,0.64,,1.87,1.24,1.16,,0.85,,,1.31,,1.0,0.69,0.7,0.55,,,,2.11,1.64,0.79
WSPM_0_0,2.35,2.22,1.64,1.04,0.86,,2.4,2.06,1.76,1.34,0.99,0.92,,2.67,1.7,1.65,1.19,1.17,,2.11,1.73,1.53,1.33,1.0,0.85,0.87,0.8,,,2.86,2.42,1.91
WSPM_1_0,2.7,2.58,1.89,1.18,1.02,,2.43,2.33,2.16,1.48,1.17,1.04,,2.93,1.86,1.89,1.32,1.32,,1.87,2.09,1.97,1.65,1.14,1.0,1.03,0.99,,,3.19,2.47,2.01
WSPM_1_1,2.75,2.79,2.04,1.29,1.35,,3.16,2.49,2.09,1.76,1.2,1.14,,4.11,2.01,2.15,1.64,1.41,,3.92,1.89,2.06,,1.21,0.97,1.01,,,,3.61,3.46,
WSPM_1_2,3.22,2.84,2.18,1.38,1.22,,3.25,2.55,2.31,1.78,,1.22,,4.7,2.08,2.12,1.63,1.55,,,2.26,,,1.16,1.13,,1.0,,,3.73,5.65,
WSPM_1_3,4.65,5.48,,,2.03,,4.48,4.48,3.51,2.93,,2.07,,,3.69,,2.72,2.54,,,,,,2.17,,,,1.0,,6.33,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.78,0.77,0.57,0.36,0.31,,0.72,0.7,0.61,0.46,0.34,0.32,,0.9,0.58,0.56,0.42,0.4,,0.66,0.64,0.56,0.47,0.36,0.31,0.29,0.28,0.16,,1.0,0.77,0.79
PM10_1,1.03,1.02,0.73,0.46,0.41,,0.88,0.92,0.74,0.6,0.42,0.39,,1.13,0.78,0.7,0.54,0.5,,0.85,0.87,0.74,0.6,0.39,0.37,0.36,0.13,,,1.34,1.0,0.44
PM10_2,2.01,1.99,,0.87,0.79,,1.86,1.74,1.54,1.21,,0.75,,2.24,1.2,,1.06,1.02,,1.71,1.29,1.45,1.21,,0.52,,,,,1.35,2.03,1.0
