,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,0.92,0.92,,,0.99,0.82,0.96,0.95,,,0.96,0.96,1.2,,0.94,0.67,0.66,0.7,0.53,0.78,0.51,0.6,1.1,0.79
TEMP_0_0,1.09,0.9,,,1.11,0.83,1.55,0.77,,,1.16,1.0,0.84,,1.01,0.71,0.71,0.79,0.57,0.7,0.52,0.43,1.19,0.89
TEMP_1_1,,4.7,0.81,,2.3,2.03,0.86,,,,1.27,1.65,,0.39,1.29,0.94,0.87,0.95,0.75,1.1,,,1.53,1.16
TEMP_0_2,,,,0.69,,,,,0.68,0.47,,,1.22,,1.96,1.37,1.43,1.69,1.02,1.14,,,2.24,1.53
PRES_0_0,0.92,0.89,1.11,,0.93,0.85,,1.06,,,0.93,0.94,1.08,,0.95,0.65,0.64,0.68,0.53,0.77,0.42,0.51,1.09,0.76
PRES_1_0,1.24,1.08,,,1.37,0.83,,,,,1.42,1.16,1.09,,1.16,0.87,0.9,1.01,0.66,0.79,0.67,,1.41,1.13
PRES_0_1,1.93,1.75,0.8,,,,0.82,,,,1.23,1.56,,0.39,1.23,0.92,0.85,0.93,0.74,1.09,0.66,,1.48,1.1
PRES_1_1,1.51,1.2,,,1.87,,,0.8,,,1.63,1.4,1.01,,1.31,0.93,0.9,0.99,0.74,0.95,1.03,,1.57,1.25
PRES_1_3,,,,0.72,,,,,0.67,,,,1.28,,2.11,1.42,1.58,1.71,1.08,1.33,,,2.34,1.69
PRES_1_2,,,,1.23,,,,,,0.55,,,2.12,,3.13,2.73,,,1.51,,,,4.02,1.93
DEWP_1_0,1.01,1.04,0.76,,1.07,0.9,0.77,1.53,,,0.92,1.09,1.6,,0.97,0.69,0.66,0.68,0.55,0.81,0.38,,1.12,0.82
DEWP_0_0,1.0,0.89,1.01,,1.05,0.81,1.12,0.79,,,1.12,0.91,,,0.95,0.69,0.69,0.77,0.54,0.78,0.57,0.41,1.14,0.84
DEWP_0_1,1.48,1.17,,0.65,1.47,1.07,,0.93,0.62,0.5,,,0.81,,1.36,0.91,0.95,0.98,0.71,0.77,0.64,,1.55,1.08
DEWP_1_1,,,1.89,,,,1.97,,,,,,,0.57,2.82,1.75,1.54,,1.82,,,,3.5,2.57
WSPM_0_1,1.0,0.96,0.84,0.63,1.04,0.87,0.86,0.94,0.66,0.39,0.96,1.06,0.94,0.37,0.91,0.72,0.68,0.83,0.55,0.66,0.54,,1.14,0.79
WSPM_0_0,1.31,1.2,1.14,0.91,1.42,1.08,1.14,1.01,0.84,,1.35,1.22,1.16,,1.3,0.84,0.9,0.9,0.67,1.21,0.86,,1.45,1.08
WSPM_1_1,1.44,1.27,1.18,0.97,1.53,1.12,1.23,1.15,0.9,,1.44,1.34,1.23,,1.38,0.88,0.81,1.34,0.7,1.17,,,1.58,1.25
WSPM_1_2,1.48,1.37,1.16,0.84,1.56,1.14,1.26,1.23,1.03,,1.65,1.43,1.22,,1.4,1.03,0.85,0.8,0.93,1.89,,,1.57,1.29
WSPM_1_0,1.55,1.44,1.36,1.06,1.64,1.29,1.36,1.23,0.96,,1.54,1.53,1.36,,1.46,1.04,1.19,1.16,0.8,1.45,,,1.73,1.24
WSPM_0_2,1.76,1.46,1.88,1.13,1.67,1.37,1.96,1.22,0.93,,1.69,1.61,1.22,,3.07,1.12,1.4,0.99,1.01,0.76,,,1.9,1.37
WSPM_1_3,3.56,2.12,,,3.98,1.7,2.12,1.5,,,6.73,2.33,1.98,,4.29,1.57,,,1.19,,0.63,,2.78,2.7
WSPM_0_3,2.91,2.64,,,2.71,,,,,,,2.76,,,,2.52,,,1.93,,,0.58,,2.13
PM10_0,0.89,0.81,0.73,0.56,0.93,0.72,0.74,0.72,0.54,0.33,0.88,0.86,0.76,0.38,0.82,0.6,0.59,0.65,0.46,0.7,0.46,,0.97,0.75
PM10_1,1.12,1.07,1.06,0.8,1.17,0.99,1.13,1.0,0.82,0.58,1.14,1.17,1.04,,1.15,0.77,0.74,0.76,0.65,0.7,,0.53,1.35,0.87
