,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_1_0,0.9,1.65,,,,,0.97,1.1,0.93,1.01,,,,1.05,0.98,1.09,1.42,1.38,,1.0,1.08,1.02,0.85,0.83,0.74,0.74,0.72,0.68,,1.28,0.99
TEMP_0_0,1.64,0.9,,,,,1.25,0.93,1.0,0.92,,,,1.19,0.9,2.02,0.84,0.77,,1.0,1.02,0.95,1.09,0.84,0.91,0.74,0.71,0.59,,1.27,1.02
TEMP_1_1,,,0.83,,,,1.14,,1.21,,0.69,,,1.55,2.24,0.86,,,,1.26,1.09,1.32,1.23,0.93,0.86,0.96,1.12,,,1.45,1.63
TEMP_0_2,,,,0.75,,,2.52,,,1.12,,0.75,,1.88,1.44,,,0.96,,2.0,1.7,1.69,1.08,1.2,1.22,1.24,1.07,,,1.96,1.5
TEMP_0_1,,,,,0.73,,2.6,1.88,,1.1,,0.99,,3.36,,,0.91,,,2.1,2.29,1.28,,1.3,1.35,1.18,1.23,0.69,,2.14,1.54
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.09,1.31,0.93,1.42,1.26,,0.88,2.29,1.44,,,,,1.14,1.26,0.94,1.28,1.27,,1.1,1.06,1.06,0.93,0.89,0.85,0.85,0.78,0.72,,1.37,1.03
PRES_1_1,1.23,1.01,,,0.9,,2.44,0.87,,,,,,1.27,0.98,,0.84,0.78,,1.07,1.09,0.99,1.17,0.91,0.84,0.78,0.75,0.63,,1.34,1.08
PRES_1_0,1.17,1.31,1.17,,,,1.64,,0.85,,,,,1.26,1.14,1.13,1.28,,,1.22,1.23,1.14,0.99,0.95,0.86,0.9,0.88,0.78,,1.43,1.32
PRES_1_2,1.64,1.48,,0.88,0.78,,,,,0.79,,,,1.61,1.13,,0.98,,,1.38,1.55,1.33,1.18,0.97,1.01,0.92,0.94,0.72,,1.68,1.36
PRES_0_1,,,1.1,,,,,,,,0.74,,,,,1.08,,,,1.52,1.44,,,1.19,1.17,1.22,,,,1.93,1.97
PRES_1_3,,,,0.84,1.0,,,,,,,0.73,,2.58,1.72,,1.25,0.98,,2.07,1.72,1.49,1.32,1.43,1.42,1.24,1.18,0.84,,2.12,1.57
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.94,1.05,1.04,0.82,1.32,,0.93,1.02,0.88,0.89,,0.97,,0.92,1.47,,,,,0.93,1.02,0.89,0.77,0.86,0.77,0.79,0.79,,,1.22,0.89
DEWP_0_0,1.32,1.16,2.04,0.93,,,1.51,1.17,1.16,0.91,,1.0,,2.05,0.84,,,,,1.3,1.14,1.29,1.32,0.84,0.84,0.79,0.75,0.66,,1.42,1.54
DEWP_1_1,1.49,2.68,0.88,,,,1.17,,1.2,,0.69,,,,,0.82,,,,1.27,1.08,1.57,1.23,0.98,0.88,0.97,1.12,,,1.48,1.46
DEWP_0_2,2.48,1.47,,,0.7,,2.08,1.33,1.78,1.06,,0.95,,,,,0.78,,,1.46,1.85,1.15,,1.12,1.15,0.98,1.0,0.66,,1.8,1.36
DEWP_0_1,2.54,1.4,,0.87,,,2.09,1.31,,,,0.79,,,,,,0.77,,1.52,1.64,1.42,1.3,1.15,1.26,0.99,0.85,0.68,,1.81,1.5
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.18,1.17,1.1,1.11,1.09,,1.15,1.16,1.14,1.0,0.82,1.02,,1.21,1.27,1.08,0.97,0.96,,0.86,,,,,1.19,,,,,1.39,1.12
WSPM_0_1,1.3,1.2,0.97,1.0,1.24,,1.17,1.17,1.1,1.13,0.8,0.91,,1.36,1.03,0.94,1.28,1.08,,,0.86,,,,0.85,1.31,,,,1.36,1.37
WSPM_0_3,1.37,1.26,1.32,1.11,0.75,,1.27,1.2,1.19,1.1,,0.87,,1.32,1.33,1.51,0.88,1.04,,,,0.83,,,1.4,,,,,1.62,1.06
WSPM_0_4,1.35,1.71,1.43,0.84,,,1.33,1.65,1.22,1.17,,0.91,,1.36,1.68,1.41,,1.13,,,,,0.8,,,,,,,1.8,1.17
WSPM_0_0,1.74,1.79,1.46,1.27,1.16,,1.72,1.73,1.55,1.28,1.16,1.36,,1.98,1.39,1.5,1.31,1.34,,,,,,0.81,0.85,1.17,1.43,,,1.89,2.3
WSPM_1_0,1.81,1.95,1.53,1.42,1.34,,1.67,1.84,1.74,1.48,1.28,1.47,,2.07,1.49,1.52,1.55,1.62,,1.86,1.82,2.07,,1.0,0.92,,,,,2.02,2.2
WSPM_1_1,1.8,2.02,1.83,1.56,1.38,,2.12,1.77,1.74,1.47,1.44,1.39,,2.69,1.43,1.89,1.46,1.33,,,2.31,,,1.29,,0.73,,,,2.1,
WSPM_1_2,2.04,1.86,2.26,1.43,1.47,,2.17,1.79,1.75,1.59,,1.4,,3.6,1.45,2.21,1.55,1.26,,,,,,1.4,,,0.71,,,2.16,
