,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_0_2,1.53,,,,,1.22,1.07,0.62,1.0,1.71,,1.1,0.74,2.97,9.01,,1.32,1.64,1.27,3.67,1.95,2.9,6.67,1.82,1.75,,1.43,2.2,2.34
TEMP_0_1,,4.68,,,,0.52,1.49,2.14,1.81,2.42,,1.34,,,,,1.15,1.63,2.15,4.33,2.74,3.76,7.51,,0.81,,1.41,2.68,3.13
TEMP_0_0,,,7.49,17.24,413.79,0.91,,1.65,3.84,4.54,413.79,,3.98,,,413.79,0.81,2.33,0.99,4.55,1.59,4.54,8.49,,1.52,413.79,1.38,2.35,2.28
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.19,0.52,0.86,,,2.26,,,0.19,0.54,,1.07,0.86,,,,1.41,1.7,1.19,4.27,2.2,3.81,7.58,0.76,1.0,,1.54,2.11,1.73
PRES_1_3,1.06,1.44,,,,,3.69,,,0.15,,1.15,0.62,2.57,9.14,,0.82,1.37,1.73,3.49,2.03,2.88,6.49,3.15,2.48,,1.24,2.37,3.49
PRES_1_1,0.55,1.93,1.72,46.29,,,0.08,8.54,0.73,1.76,,0.65,2.05,,19.49,,1.56,1.3,1.22,4.33,3.11,2.22,6.35,,1.79,,1.5,2.15,2.3
PRES_1_0,0.65,1.06,2.7,,258.39,0.09,,0.32,9.36,7.62,258.39,0.87,1.43,,,258.39,0.87,3.03,1.79,4.27,1.08,3.81,8.66,,1.77,258.39,1.45,2.72,2.38
PRES_0_0,0.81,0.9,2.11,,,0.35,0.11,0.59,5.75,13.71,,0.93,1.13,12.01,16.68,,1.63,1.98,1.49,2.23,1.16,2.61,5.05,,,,1.12,3.2,4.03
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,1.09,1.34,,,,1.09,1.16,0.74,1.32,1.98,,1.34,0.02,0.63,2.54,,1.37,1.62,1.62,3.85,1.83,3.32,7.09,1.07,1.12,,1.42,2.42,2.67
DEWP_0_1,0.71,0.05,4.08,21.35,219.57,0.88,0.58,2.15,2.07,2.7,219.57,0.03,4.01,,7.7,219.57,0.67,2.11,0.86,4.28,2.85,3.32,7.29,1.5,2.77,219.57,1.44,2.0,1.96
DEWP_0_0,1.53,,,,,,,,6.38,11.21,,,,170.47,247.0,,3.67,,,,,,,,,,0.9,3.43,
DEWP_1_0,1.53,,,,,,,,,,,,,,252.0,,4.22,,,,,,,,,,,3.07,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.08,0.92,0.65,,,1.16,0.68,1.21,1.4,2.4,,1.14,0.52,4.46,9.19,,4.6,0.53,,1.29,0.14,0.67,3.18,,,,1.18,2.88,3.69
WSPM_0_1,0.96,0.94,1.41,,134.57999999999998,1.03,0.84,0.9,2.32,3.2,134.57999999999998,0.94,1.26,,,134.57999999999998,0.35,4.55,0.49,4.17,1.9,4.02,10.68,0.33,0.57,134.57999999999998,1.53,2.24,1.97
WSPM_0_2,0.88,1.51,0.88,25.31,,0.83,1.33,0.78,1.88,1.81,,1.15,0.58,,,,,0.74,6.38,2.21,0.5,1.78,5.91,,,,1.43,2.82,2.19
WSPM_0_0,0.89,1.04,1.49,,,1.17,0.84,1.43,1.33,1.86,,0.97,1.13,,,,0.28,1.31,1.15,8.42,2.66,5.12,12.5,,1.46,,1.63,1.58,1.03
WSPM_1_2,0.94,1.32,0.79,,,1.08,1.01,2.02,0.69,2.1,,0.88,1.51,,,,0.42,1.61,0.48,6.14,9.86,3.53,4.83,,1.53,,1.64,1.77,
WSPM_1_1,0.9,1.1,1.35,,,1.2,0.77,1.02,1.53,2.34,,1.02,0.98,,,,0.27,1.8,0.86,6.23,2.43,13.53,8.76,,,,1.62,1.95,1.23
WSPM_1_0,0.98,0.95,1.21,,,1.16,0.83,1.09,1.71,1.96,,1.02,1.0,,,,0.46,1.72,1.08,7.12,1.94,3.39,11.99,,,,1.57,1.7,1.33
WSPM_0_4,1.52,,,,,0.66,2.61,,,,,0.87,1.51,9.05,18.1,,,0.21,,,,0.77,0.78,17.9,,,0.64,2.95,5.88
WSPM_1_3,1.19,0.44,0.96,,,0.66,1.66,1.14,1.44,,,0.72,1.84,,,,,,,2.19,0.49,,1.74,,27.16,,1.46,1.89,4.22
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.03,0.95,0.96,5.12,76.83,1.16,0.89,1.21,1.27,1.75,76.83,0.99,1.07,,,76.83,0.79,1.98,1.08,5.19,3.35,4.48,8.28,0.46,2.3,76.83,1.68,1.78,1.18
PM10_1,0.93,1.15,1.11,7.72,,0.94,0.96,0.9,2.1,2.91,,1.03,0.9,3.14,5.42,,1.7,1.55,2.0,2.46,0.31,1.94,5.97,1.92,0.24,,1.26,3.29,2.76
PM10_2,1.03,0.88,1.02,,,0.65,1.8,0.79,1.6,3.09,,1.02,1.01,3.25,10.41,,2.26,0.8,1.6,1.25,,0.82,3.54,3.18,0.66,,0.52,2.69,8.39
