,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.03,4519.85,778629.76,1.19,152.84,51191.96,5.44,29.92,82.22,118.03,142.98,437.23,581.26,5393.75,2.21,11.92,12797.99
PRES_0_1,0.97,1.0,,,1.16,147.99,49889.86,5.27,28.89,79.62,114.29,138.45,423.36,562.83,5207.95,2.14,11.54,12392.26
PRES_0_0,,,1.04,,,,,,0.01,0.02,,0.03,,,1.14,,,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,0.84,0.86,3663.16,651410.41,1.0,127.78,,4.56,24.97,69.0,98.74,119.84,369.42,486.29,4421.76,1.85,9.97,10842.48
DEWP_1_0,0.01,0.01,,,,0.99,220.14,0.04,0.25,0.53,,0.93,2.73,,,0.01,0.08,102.62
DEWP_0_0,,,,,,,1.13,,,,,,0.01,,,,,
WSPM_0_1,0.18,0.19,833.05,,0.22,27.92,8233.92,1.0,5.65,15.39,,27.1,74.99,,810.6,0.41,2.13,2491.29
WSPM_0_2,0.03,0.03,138.81,27505.6,0.04,4.13,,0.17,1.0,2.75,2.98,4.88,7.24,,,0.07,0.38,376.59
WSPM_0_0,0.01,0.01,,,0.01,1.91,726.85,0.07,0.32,1.0,1.34,1.71,6.43,,65.75,0.03,0.16,146.36
WSPM_0_3,0.01,0.01,,,0.01,,,,0.34,0.74,1.0,1.16,,,,0.02,0.1,117.34
WSPM_1_0,0.01,0.01,,,0.01,1.06,,0.04,0.2,0.58,0.76,1.0,3.9,,,0.02,0.09,86.44
WSPM_1_1,,,,,,0.37,125.99,0.01,,0.16,,0.25,1.0,,,,0.03,
WSPM_0_4,,,,,,,,,,,,0.3,,1.0,,,0.02,
WSPM_1_2,,,,,,,,,,0.02,,0.03,,,1.04,,,
PM10_0,0.45,0.47,2045.1,352360.96,0.54,69.69,24651.85,2.45,13.59,38.61,54.33,66.25,214.38,263.54,2591.21,1.0,5.37,6660.54
PM10_1,0.08,0.09,,,0.1,12.41,,0.46,2.53,6.22,9.56,11.17,29.77,49.05,,0.19,1.0,996.71
PM10_2,,,,,,,,,,0.01,0.01,0.01,,,,,,1.0
