,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,1.2,0.38,,,1.07,0.68,0.43,0.48,,,0.95,0.9,0.4,,0.85,0.71,0.72,0.71,0.64,0.48,0.3,,0.98,0.82
TEMP_0_0,0.42,1.27,,,0.86,0.91,0.26,0.92,,,0.68,0.98,0.89,,0.93,0.72,0.59,0.55,0.56,0.71,0.55,0.47,1.04,0.78
TEMP_1_1,,,1.68,,0.5,,1.59,,,,1.3,0.61,,0.79,1.01,0.78,0.76,0.81,0.67,0.53,,,1.18,0.76
TEMP_0_2,,,,2.46,,,,,2.37,1.46,,,1.92,,1.2,0.9,0.77,0.66,0.85,0.92,,,1.3,1.06
PRES_0_0,1.05,0.76,0.32,,1.19,0.29,,,,,0.93,0.89,0.5,,0.87,0.69,0.66,0.66,0.61,0.56,0.3,0.4,0.96,0.84
PRES_1_0,0.89,1.16,,,0.42,1.52,,,,,0.79,1.09,0.81,,0.99,0.78,0.66,0.63,0.65,0.67,0.56,,1.13,0.8
PRES_0_1,0.64,0.35,1.53,,,,1.63,,,,1.3,0.57,,0.75,1.03,0.75,0.74,0.74,0.65,0.5,0.49,,1.18,0.73
PRES_1_1,0.73,1.33,,,,,,1.72,,,0.36,1.13,1.17,,0.88,0.86,0.83,0.78,0.69,0.76,0.52,,1.18,0.8
PRES_1_3,,,,2.5,,,,,2.58,,,,1.96,,1.13,0.97,0.84,0.72,0.89,1.01,,,1.36,1.0
PRES_1_2,,,,3.04,,,,,,4.23,,,2.34,,1.88,,,,,,,,1.45,1.53
DEWP_1_0,0.97,0.65,0.89,,0.98,0.58,0.92,0.26,,,1.23,0.35,,,0.98,0.7,0.6,0.55,0.6,0.5,,,0.99,0.83
DEWP_0_0,0.94,0.94,0.42,,0.95,0.84,0.41,0.75,,,0.36,1.24,,,0.8,0.73,0.74,0.74,0.61,0.52,0.51,0.47,1.05,0.72
DEWP_0_1,0.58,1.21,,1.15,0.74,0.87,,1.11,1.11,0.71,,,1.65,,0.89,0.75,0.69,0.73,0.69,0.96,0.56,,1.09,0.94
DEWP_1_1,,,2.32,,,,2.28,,,,,,,3.79,1.5,,,,,,,,1.72,
WSPM_0_1,0.86,0.9,0.69,0.51,0.93,0.74,0.74,0.59,0.45,0.4,0.99,0.81,0.63,0.36,1.23,,0.24,0.24,0.47,,,,1.0,0.83
WSPM_0_0,1.01,0.95,0.74,0.52,1.01,0.82,0.73,0.8,0.53,,0.97,1.01,0.73,,,1.35,0.7,0.4,0.99,,,,1.18,0.7
WSPM_1_1,1.17,0.75,0.8,0.48,1.06,0.76,0.79,0.83,0.5,,0.92,1.1,0.73,,0.51,0.66,1.6,,,,,,1.17,0.86
WSPM_1_2,1.13,0.81,0.86,0.43,1.07,0.77,0.82,0.81,0.44,,0.89,1.12,0.8,,0.34,0.5,,1.71,,,,,1.18,0.82
WSPM_1_0,1.12,0.95,0.79,0.61,1.07,0.92,0.79,0.79,0.6,,1.03,1.06,0.83,,0.73,1.29,,,1.23,0.35,,,1.23,0.84
WSPM_0_2,0.9,1.23,0.68,0.71,1.08,0.93,0.67,0.91,0.73,,0.94,0.91,1.24,,,,,,0.41,1.98,,,1.05,1.22
WSPM_1_3,0.99,1.62,,,1.11,1.28,1.11,0.99,,,,1.53,1.22,,,,,,,,3.01,,1.57,
WSPM_0_3,,1.88,,,1.68,,,,,,,1.92,,,,,,,,,,3.73,,1.91
PM10_0,0.85,0.81,0.67,0.45,0.84,0.71,0.7,0.65,0.45,0.23,0.82,0.87,0.63,0.35,0.82,0.7,0.66,0.65,0.59,0.48,0.42,,1.06,0.38
PM10_1,0.98,0.91,0.62,0.55,1.07,0.7,0.62,0.63,0.48,0.42,1.0,0.83,0.79,,1.0,0.65,0.61,0.56,0.6,0.79,,0.58,0.56,1.34
