,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_0_2,1.0,,,,,1.02,0.96,1.08,0.89,0.68,,1.22,1.15,0.27,0.17,,0.87,0.86,0.88,0.56,0.7,0.58,0.4,0.53,0.51,,1.1,0.86,0.66
TEMP_0_1,,1.0,,,,3.63,1.92,1.3,1.53,1.3,,2.56,,,,,2.19,2.04,1.55,1.2,1.37,1.18,0.9,,2.19,,2.61,1.76,1.53
TEMP_0_0,,,1.0,,,4.06,,2.02,1.44,1.34,,,1.61,,,,3.64,2.39,3.12,1.61,2.57,1.59,1.23,,1.92,,3.8,2.65,2.12
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.52,1.79,1.19,,,1.0,,,,2.44,,1.67,1.41,,,,1.14,1.13,1.23,0.69,0.91,0.67,0.5,1.08,0.93,,1.41,1.17,1.1
PRES_1_3,2.33,1.5,,,,,1.0,,,,,2.31,2.43,0.66,0.34,,2.14,1.79,1.4,1.16,1.32,1.19,0.82,0.79,0.85,,2.29,1.61,1.02
PRES_1_1,6.03,2.51,2.33,0.23,,,,1.0,,4.44,,5.84,2.48,,,,3.12,3.52,3.5,1.78,1.93,2.25,1.44,,2.1,,3.93,3.34,2.97
PRES_1_0,6.09,3.6,1.99,,,,,,1.02,1.44,,5.46,3.2,,,,4.21,2.67,2.78,2.16,5.24,2.22,1.43,,2.44,,4.53,2.96,2.93
PRES_0_0,7.38,5.29,3.06,,,20.12,,,2.22,1.04,,7.35,4.85,0.67,,,4.04,4.1,4.45,4.13,3.58,2.78,2.92,,,,7.48,3.49,2.51
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,1.07,0.73,,,,0.98,0.84,0.88,0.69,0.56,,1.0,,,,,0.78,0.79,0.69,0.49,0.66,0.49,0.35,0.64,0.62,,1.01,0.73,0.59
DEWP_0_1,3.04,,0.85,0.19,,2.52,2.65,1.15,1.23,1.13,,,1.0,,,,2.6,1.56,2.22,1.1,1.17,1.16,0.84,1.15,0.87,,2.26,1.84,1.42
DEWP_0_0,35.83,,,,,,,,,7.48,,,,1.03,,,17.44,,,,,,,,,,57.11,23.82,
DEWP_1_0,57.87,,,,,,,,,,,,,,1.21,,34.1,,,,,,,,,,,42.37,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,2.77,2.27,2.21,,,2.46,2.8,1.62,1.79,1.09,,2.8,3.03,0.43,0.25,,1.01,7.34,,7.1,,,1.95,,,,3.26,1.6,1.08
WSPM_0_1,2.94,2.29,1.62,,,2.64,2.49,2.16,1.3,1.16,,3.09,2.02,,,,7.65,1.03,6.66,2.24,2.6,1.58,0.93,,,,2.42,1.89,2.0
WSPM_0_2,3.89,2.26,2.91,,,3.61,2.65,2.62,1.96,1.51,,3.54,3.76,,,,,8.37,1.01,4.46,,2.65,2.07,,,,3.89,1.98,1.7
WSPM_0_0,5.12,3.6,2.59,,,4.11,4.39,2.72,2.71,3.44,,5.1,3.48,,,,8.68,4.89,6.53,1.11,3.5,1.52,0.87,,3.71,,3.79,4.32,3.66
WSPM_1_2,5.38,3.44,3.93,,,4.6,4.16,2.59,5.14,3.79,,5.84,3.36,,,,,6.15,,2.0,1.03,4.05,2.33,,,,3.85,7.35,
WSPM_1_1,7.34,5.01,4.0,,,5.76,6.04,4.64,4.3,3.72,,7.11,5.51,,,,,5.77,8.3,1.81,4.36,1.08,1.67,,,,5.35,7.33,7.03
WSPM_1_0,7.15,5.45,4.28,,,6.06,6.45,4.56,3.65,3.98,,7.28,5.46,,,,8.24,4.73,5.84,1.79,6.63,3.74,1.29,,,,5.68,6.09,5.89
WSPM_0_4,6.38,,,,,8.83,3.9,,,,,8.59,5.47,0.97,,,,,,,,,,1.01,,,13.45,4.06,2.47
WSPM_1_3,10.06,12.01,7.48,,,12.18,6.78,6.62,6.1,,,13.28,6.23,,,,,,,6.07,,,,,1.02,,8.3,15.49,9.3
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.32,1.05,0.91,0.15,,1.13,1.15,0.81,0.83,0.89,,1.4,1.01,,,,1.29,0.87,1.03,0.48,0.62,0.5,0.37,1.38,0.55,,1.02,1.29,2.77
PM10_1,2.34,1.6,1.45,,,2.17,1.85,1.54,1.14,0.81,,2.31,1.87,0.39,0.25,,1.36,1.64,1.22,1.75,1.82,1.37,0.99,0.9,1.57,,2.9,1.05,1.09
PM10_2,4.56,3.74,3.09,,,5.41,2.86,3.88,2.59,1.77,,4.7,3.88,,0.39,,2.54,3.9,2.99,3.94,,4.94,2.02,1.43,1.73,,8.62,3.18,1.06
