,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,1.1,,,,,0.88,0.72,0.43,0.47,0.48,,1.0,0.6,0.27,0.29,,0.69,0.7,0.59,0.7,0.56,0.54,0.72,0.52,0.41,,1.01,0.77
TEMP_0_1,,1.4,,,,0.72,0.95,0.81,0.7,0.65,,1.26,,,,,0.75,0.8,0.84,0.86,0.74,0.7,0.86,,0.37,,1.18,0.95
TEMP_0_0,,,1.56,,,0.97,,0.8,1.05,0.91,,,1.47,,,,0.72,1.01,0.66,1.01,0.64,0.79,0.98,,0.48,,1.24,0.96
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.05,0.52,0.55,,,1.2,,,,0.24,,1.04,0.68,,,,0.74,0.75,0.6,0.8,0.62,0.64,0.79,0.39,0.35,,1.1,0.73
PRES_1_3,1.07,0.84,,,,,1.33,,,,,1.14,0.62,0.26,0.33,,0.64,0.74,0.74,0.76,0.64,0.6,0.78,0.73,0.54,,1.09,0.97
PRES_1_1,0.91,1.07,0.87,0.54,,,,1.6,,0.5,,1.02,1.14,,0.58,,0.93,0.76,0.72,0.99,0.86,0.67,0.94,,0.55,,1.31,0.91
PRES_1_0,1.0,0.85,1.06,,,,,,1.63,1.04,,1.17,1.01,,,,0.71,1.14,0.85,0.96,0.57,0.73,1.02,,0.56,,1.3,0.99
PRES_0_0,1.15,0.85,1.02,,,0.56,,0.36,1.18,1.75,,1.25,0.96,0.79,,,1.08,1.07,0.93,0.72,0.56,0.64,0.85,,,,1.26,1.31
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.94,0.72,,,,0.83,0.73,0.45,0.52,0.5,,1.07,,,0.15,,0.69,0.68,0.64,0.71,0.53,0.56,0.72,0.41,0.34,,0.99,0.77
DEWP_0_1,0.92,,1.12,0.36,,0.88,0.64,0.82,0.75,0.67,,,1.36,,0.28,,0.59,0.89,0.57,0.87,0.75,0.63,0.84,0.54,0.57,,1.16,0.83
DEWP_0_0,2.09,,,,,,,,,2.29,,,,3.07,2.13,,2.08,,,,,,,,,,1.96,1.73
DEWP_1_0,2.28,,,,,,,,,,,,,,3.1,,2.66,,,,,,,,,,,2.72
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.11,0.73,0.56,,,1.01,0.7,0.66,0.62,0.7,,1.18,0.61,0.43,0.34,,1.4,0.31,,0.49,,,0.55,,,,1.09,1.1
WSPM_0_1,1.06,0.73,0.74,,,0.96,0.76,0.55,0.79,0.67,,1.09,0.87,,,,0.31,1.38,0.3,0.69,0.45,0.53,0.95,,,,1.2,0.79
WSPM_0_2,1.07,0.93,0.63,,,0.92,0.95,0.58,0.75,0.62,,1.24,0.67,,,,,0.35,1.5,0.55,,0.38,0.79,,,,1.23,1.01
WSPM_0_0,1.13,0.85,0.83,,,1.1,0.83,0.78,0.71,0.64,,1.22,0.91,,,,0.27,0.63,0.47,1.52,0.84,0.88,1.46,,0.41,,1.37,0.61
WSPM_1_2,1.17,0.94,0.66,,,1.06,0.91,0.89,0.56,0.84,,1.17,1.03,,,,,0.68,,0.97,1.63,0.65,0.54,,,,1.39,0.96
WSPM_1_1,1.21,0.92,0.86,,,1.2,0.84,0.71,0.71,0.74,,1.33,0.92,,,,,0.95,0.67,1.31,0.57,1.71,0.84,,,,1.46,0.95
WSPM_1_0,1.26,0.87,0.82,,,1.18,0.87,0.75,0.86,0.64,,1.34,0.93,,,,0.48,0.98,0.49,1.54,0.68,0.89,1.51,,,,1.44,0.82
WSPM_0_4,1.53,,,,,0.97,1.44,,,,,1.26,1.09,0.61,0.62,,,,,,,,,1.88,,,1.13,1.51
WSPM_1_3,1.47,0.69,0.81,,,1.03,1.27,0.83,0.77,,,1.25,1.28,,,,,,,0.59,,,,,2.06,,1.5,1.37
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.91,0.63,0.54,0.18,0.5700000000000001,0.84,0.65,0.54,0.56,0.48,0.5700000000000001,0.95,0.67,0.18,,0.5700000000000001,0.57,0.74,0.57,0.77,0.63,0.61,0.77,0.3,0.43,0.5700000000000001,1.06,0.55
PM10_1,1.05,0.77,0.66,,,0.81,0.92,0.53,0.67,0.78,,1.12,0.76,0.36,0.36,,0.99,0.62,0.81,0.51,0.15,0.37,0.6,0.76,0.23,,0.86,1.34
