,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_1_0,0.61,1.48,,,,0.95,0.89,1.88,0.8,2.72,,,0.95,0.94,1.25,3.02,16.25,17.92,0.95,1.22,1.25,1.9,1.12,0.54,0.28,0.71,1.08,2.12,0.95,1.33,0.84,0.78
TEMP_0_0,1.38,0.6,76.52,,,,1.85,0.81,1.48,1.71,,,,1.66,0.76,36.22,1.35,0.91,,1.23,1.23,1.22,3.77,0.47,0.29,0.54,0.65,1.08,,1.29,0.95,0.76
TEMP_1_1,,,0.43,,,,1.18,,1.58,,0.43,,,4.21,27.14,0.53,,,,2.01,0.99,3.6,3.79,0.58,0.26,1.11,4.83,,,1.38,1.41,12.14
TEMP_0_2,,,,0.27,,,16.86,,,1.25,,0.33,,4.35,2.24,,,0.75,,9.33,4.16,5.74,0.95,1.04,0.69,1.51,1.67,,,2.94,2.58,1.37
TEMP_0_1,,,,,0.24,,16.16,6.18,13.36,0.97,,1.03,,77.22,,,0.44,,,9.87,11.04,1.23,,1.25,0.99,1.57,2.8,0.44,,3.64,2.2,0.88
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.1,2.1,1.12,20.83,11.33,0.6799999999999999,0.54,8.59,1.37,19.85,,,0.6799999999999999,1.29,2.56,1.21,8.32,9.94,0.6799999999999999,1.64,1.19,1.9,1.41,0.61,0.29,1.0,1.03,2.02,0.6799999999999999,1.48,0.92,0.77
PRES_1_1,1.47,0.79,,,2.71,,6.76,0.53,16.2,,,,,1.92,1.11,,1.11,0.86,,1.39,1.24,1.27,4.24,0.55,0.3,0.63,0.94,1.24,,1.46,1.01,0.85
PRES_1_0,1.05,1.51,2.5,,,,1.52,28.79,0.46,,,,,1.4,1.39,2.28,6.89,,,1.91,1.68,1.96,1.44,0.66,0.35,1.04,1.39,3.41,,1.49,1.28,2.14
PRES_1_2,2.46,2.07,,0.91,0.64,,35.39,,,0.35,,,,2.77,1.12,,1.19,,,2.45,3.48,2.74,2.29,0.62,0.47,0.73,1.23,1.06,,2.21,1.62,1.29
