,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_1_0,0.86,1.02,,,,1.68,0.92,1.03,0.88,1.02,,,1.68,0.95,0.88,1.14,1.39,1.49,1.68,0.96,0.94,1.06,0.89,0.71,0.61,0.73,0.7,0.88,1.68,1.1,0.89
TEMP_0_0,1.01,0.85,2.49,,,,1.02,0.89,0.96,0.94,,,,1.07,0.87,1.42,0.89,0.81,,0.94,0.97,0.89,1.09,0.71,0.62,0.69,0.75,0.68,,1.09,0.88
TEMP_1_1,,,0.77,,,,0.97,,0.97,,0.71,,,1.29,2.04,0.8,,,,1.07,0.93,1.13,1.15,0.74,0.61,0.81,1.07,,,1.16,1.12
TEMP_0_2,,,,0.67,,,1.49,,,0.97,,0.67,,1.39,1.09,,,0.82,,1.64,1.29,1.34,0.89,0.84,0.76,0.88,0.91,,,1.36,1.13
TEMP_0_1,,,,,0.65,,1.97,1.5,1.81,0.93,,0.82,,3.31,,,0.77,,,1.55,1.39,1.02,,0.95,0.91,0.91,1.01,0.59,,1.45,1.1
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,0.97,1.09,0.93,1.51,1.19,1.45,0.83,1.44,0.98,1.32,,,1.45,1.03,1.07,0.94,1.21,1.33,1.45,1.06,0.95,1.05,0.93,0.71,0.63,0.73,0.68,0.69,1.45,1.13,0.89
PRES_1_1,1.05,0.91,,,0.98,,1.4,0.82,1.53,,,,,1.12,0.91,,0.87,0.81,,0.97,0.95,0.93,1.2,0.73,0.63,0.72,0.83,0.74,,1.13,0.93
PRES_1_0,0.96,1.04,1.14,,,,1.01,1.73,0.78,,,,,1.05,0.99,1.09,1.23,,,1.01,1.06,1.02,0.93,0.79,0.65,0.86,0.87,1.13,,1.16,1.05
PRES_1_2,1.2,1.15,,0.82,0.76,,2.31,,,0.73,,,,1.23,0.97,,0.91,,,1.16,1.25,1.13,1.02,0.78,0.73,0.76,0.84,0.74,,1.28,1.04
PRES_0_1,,,0.88,,,,,,,,0.65,,,,,0.87,,,,1.13,1.06,,,0.8,0.68,0.89,,,,1.34,1.16
PRES_1_3,,,,0.73,0.88,,2.84,,,,,0.64,,1.83,1.2,,1.05,0.81,,1.64,1.2,1.15,1.06,0.9,0.8,0.86,0.99,0.6,,1.39,1.16
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.87,0.96,1.11,0.9,1.4,1.13,0.87,1.0,0.86,0.96,,1.0,1.13,0.89,1.01,,,,1.13,0.92,0.97,0.9,0.83,0.71,0.61,0.66,0.65,,1.13,1.07,0.83
DEWP_0_0,1.05,0.94,1.95,0.94,,,1.29,1.05,1.03,0.87,,1.03,,1.19,0.78,,,,,1.08,0.96,1.11,1.16,0.74,0.64,0.77,0.8,0.73,,1.17,1.11
DEWP_1_1,1.24,1.67,0.81,,,,0.99,,0.98,,0.71,,,,,0.76,,,,1.08,0.91,1.4,1.15,0.74,0.61,0.8,1.08,,,1.17,1.04
DEWP_0_2,1.69,1.19,,,0.67,,1.45,1.08,1.33,0.97,,0.85,,,,,0.71,,,1.2,1.33,0.97,,0.84,0.77,0.81,0.89,0.61,,1.32,1.04
DEWP_0_1,1.63,1.11,,0.8,,,1.41,1.05,,,,0.75,,,,,,0.69,,1.22,1.22,1.16,1.07,0.78,0.75,0.81,0.75,0.69,,1.31,1.13
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.01,1.03,1.07,1.04,1.16,,0.95,1.06,1.02,0.97,0.87,0.97,,1.04,1.16,1.05,0.96,0.95,,0.81,1.85,1.06,,0.74,0.76,0.6,0.42,,,1.15,0.88
WSPM_0_1,1.05,1.02,0.94,1.04,1.32,,1.02,1.08,0.94,1.12,0.86,0.96,,1.15,0.9,0.9,1.29,1.04,,0.87,0.8,1.28,1.63,0.81,0.56,0.87,0.96,,,1.12,1.02
WSPM_0_3,1.07,1.08,1.23,1.12,0.75,,1.0,1.06,1.04,1.06,,0.9,,1.1,1.14,1.34,0.87,1.03,,3.18,1.69,0.77,,0.9,0.85,0.92,,,,1.23,0.86
WSPM_0_4,1.08,1.25,1.2,0.81,,,1.04,1.32,1.0,1.1,,0.85,,1.09,1.24,1.25,,1.07,,,1.66,,0.73,1.06,1.01,1.11,,,,1.31,0.92
WSPM_0_0,1.31,1.21,1.18,1.11,0.99,,1.54,1.34,1.18,1.05,1.05,1.23,,1.47,1.09,1.25,1.08,1.16,,1.56,1.08,1.26,1.6,0.69,0.62,0.85,0.91,,,1.33,1.84
WSPM_1_0,1.31,1.26,1.21,1.21,1.17,,1.37,1.37,1.29,1.16,1.16,1.28,,1.43,1.1,1.23,1.2,1.35,,1.26,1.1,1.55,1.69,0.78,0.7,1.13,1.1,,,1.38,1.57
WSPM_1_1,1.29,1.2,1.37,1.3,1.4,,1.72,1.28,1.25,1.24,1.15,1.18,,1.87,1.06,1.49,1.27,1.08,,2.55,0.96,1.49,1.88,0.78,0.68,0.64,,,,1.43,2.41
WSPM_1_2,1.49,1.16,1.7,1.17,1.23,,1.64,1.22,1.31,1.24,,1.17,,2.27,1.03,1.68,1.23,1.01,,,1.16,,,0.7,0.83,0.6,0.61,,,1.43,4.57
WSPM_1_3,1.63,1.71,,,0.97,,1.58,1.55,1.4,1.29,,1.23,,,1.41,,1.15,1.11,,,,,,1.04,,,,0.52,,1.66,1.88
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.89,0.88,0.86,0.83,0.81,1.48,0.89,0.92,0.83,0.84,0.78,0.82,1.48,0.97,0.83,0.86,0.86,0.81,1.48,0.87,0.82,0.9,0.9,0.64,0.54,0.65,0.7,0.64,1.48,0.96,0.89
PM10_1,1.01,1.04,1.22,0.88,0.85,,0.96,1.03,1.02,1.04,1.05,0.8,,1.03,1.03,1.18,0.91,0.97,,1.07,1.18,0.92,0.87,0.58,0.61,0.51,,,,1.26,0.81
