,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,0.46,0.55,,,0.52,0.66,1.32,1.25,,,0.53,0.56,1.84,,0.52,0.44,0.5,0.62,0.39,1.12,1.44,2.88,0.51,0.48,0.56
TEMP_0_0,0.51,0.37,,,0.51,0.47,2.59,0.51,,,0.66,0.46,0.57,,0.46,0.37,0.44,0.6,0.32,0.61,0.82,0.96,0.44,0.43,0.49
TEMP_1_1,,2.1,0.14,,0.72,1.16,0.15,,,,0.2,0.36,,0.25,0.21,0.18,0.19,0.24,0.16,0.49,,,0.2,0.19,0.27
TEMP_0_2,,,,0.03,,,,,0.03,0.06,,,0.05,,0.08,0.06,0.08,0.13,0.05,0.08,,,0.07,0.07,0.07
PRES_0_0,0.51,0.56,2.16,,0.5,0.79,,1.92,,,0.57,0.59,1.5,,0.58,0.47,0.54,0.66,0.42,1.11,1.36,1.79,0.55,0.51,0.54
PRES_1_0,0.28,0.23,,,0.32,0.19,,,,,0.38,0.26,0.42,,0.26,0.22,0.29,0.38,0.18,0.36,0.54,,0.26,0.26,0.35
PRES_0_1,0.54,0.63,0.16,,,,0.16,,,,0.21,0.39,,0.29,0.22,0.21,0.21,0.28,0.18,0.57,0.49,,0.22,0.21,0.29
PRES_1_1,0.25,0.17,,,0.44,,,0.13,,,0.45,0.22,0.21,,0.21,0.15,0.17,0.23,0.14,0.28,0.65,,0.2,0.2,0.26
PRES_1_3,,,,0.03,,,,,0.03,,,,0.04,,0.07,0.05,0.07,0.1,0.04,0.08,,,0.06,0.06,0.06
PRES_1_2,,,,0.01,,,,,,,,,0.01,,0.01,0.02,,,0.01,,,,,0.01,
DEWP_1_0,0.53,0.66,0.62,,0.57,0.75,0.59,2.8,,,0.44,0.69,3.49,,0.49,0.43,0.48,0.6,0.37,1.11,1.3,,0.48,0.45,0.52
DEWP_0_0,0.48,0.43,1.33,,0.52,0.54,1.48,0.7,,,0.68,0.41,,,0.49,0.4,0.46,0.6,0.35,0.93,1.12,1.02,0.47,0.46,0.6
DEWP_0_1,0.34,0.21,,0.23,0.3,0.27,,0.23,0.23,0.41,,,0.15,,0.26,0.19,0.25,0.28,0.16,0.23,0.42,,0.24,0.22,0.21
DEWP_1_1,,,0.01,,,,0.01,,,,,,,0.01,0.02,0.01,0.01,,0.02,,,,0.02,0.02,
WSPM_0_1,0.5,0.52,0.78,1.06,0.53,0.62,0.74,1.0,1.25,1.3,0.49,0.58,0.93,1.17,0.42,0.44,0.48,0.79,0.35,1.14,1.78,,0.49,0.43,0.47
WSPM_0_0,0.26,0.24,0.42,0.62,0.28,0.31,0.41,0.35,0.6,,0.28,0.25,0.42,,0.28,0.17,0.23,0.29,0.16,0.66,0.82,,0.22,0.23,0.31
WSPM_1_1,0.22,0.2,0.32,0.52,0.24,0.25,0.33,0.31,0.5,,0.23,0.21,0.35,,0.21,0.15,0.13,0.37,0.13,0.51,,,0.19,0.19,0.25
WSPM_1_2,0.21,0.2,0.28,0.46,0.22,0.23,0.3,0.31,0.61,,0.25,0.2,0.3,,0.21,0.17,0.19,0.12,0.19,0.75,,,0.18,0.19,0.34
WSPM_1_0,0.16,0.15,0.26,0.35,0.17,0.19,0.25,0.23,0.34,,0.17,0.17,0.25,,0.15,0.12,0.17,0.23,0.1,0.42,,,0.14,0.14,0.17
WSPM_0_2,0.16,0.12,0.36,0.28,0.14,0.16,0.37,0.17,0.24,,0.17,0.16,0.14,,0.41,0.14,0.21,0.19,0.13,0.07,,,0.14,0.12,0.1
WSPM_1_3,0.07,0.03,,,0.08,0.04,0.06,0.04,,,0.17,0.04,0.05,,0.1,0.04,,,0.04,,0.01,,0.04,0.05,0.07
WSPM_0_3,0.02,0.02,,,0.02,,,,,,,0.02,,,,0.03,,,0.02,,,0.01,,0.02,0.01
PM10_0,0.6,0.55,0.88,1.27,0.66,0.67,0.85,0.84,1.31,,0.65,0.58,0.91,1.71,0.54,0.44,0.54,0.63,0.38,1.24,1.27,,0.48,0.54,1.14
PM10_1,0.51,0.52,0.83,1.1,0.53,0.64,0.81,0.88,1.21,1.5,0.52,0.57,0.85,1.43,0.5,0.43,0.45,0.67,0.38,0.79,1.07,1.55,0.53,0.43,0.44
PM10_2,0.15,0.15,0.31,0.5,0.16,0.18,0.33,0.29,0.58,,0.17,0.18,0.23,,0.16,0.12,0.15,0.17,0.11,0.15,,0.32,0.16,0.14,0.09
