,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.61,0.46,0.99,0.75,0.53,0.91,0.82,0.78,0.76,0.75,0.7,0.69,0.61,0.98,0.76
PRES_0_1,1.0,1.0,,,0.99,0.75,0.54,0.91,0.82,0.78,0.76,0.75,0.71,0.69,0.61,0.99,0.76
PRES_0_0,1.65,,1.02,,1.65,,,1.47,1.4,,,1.22,,,0.95,1.63,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.01,1.01,0.61,0.46,1.0,,,0.92,0.83,0.79,0.77,0.76,0.72,0.7,0.6,1.0,0.77
DEWP_1_0,1.33,1.33,,,,1.0,0.48,1.2,1.25,1.03,,1.01,0.91,,,1.31,1.03
DEWP_0_0,2.0,1.86,,,,,1.07,1.76,,1.17,,,1.4,,,1.97,
WSPM_0_1,1.1,1.1,0.68,,1.09,0.82,0.45,1.0,0.9,0.89,,0.86,0.65,,,1.09,0.83
WSPM_0_2,1.22,1.22,0.71,0.56,1.2,0.82,,1.07,1.0,0.97,,0.94,,,,1.19,0.88
WSPM_0_0,1.29,1.28,,,1.27,0.96,,1.1,0.95,1.0,0.98,0.94,1.15,,0.81,1.26,0.98
WSPM_0_3,1.32,1.31,,,1.3,,,,,1.11,1.0,0.95,,,,1.3,1.01
WSPM_1_0,1.33,1.33,,,1.31,1.0,,1.18,1.06,1.06,0.99,1.0,1.26,,,1.3,1.13
WSPM_1_1,1.42,1.42,,,1.4,1.11,0.89,1.52,,0.91,,0.86,1.0,,,1.38,1.21
WSPM_0_4,1.44,1.44,,,1.43,,,,,,,,,1.0,,1.42,1.1
WSPM_1_2,1.67,1.64,,,1.67,,,,,1.25,,,,,1.01,1.64,
PM10_0,1.02,1.01,0.62,0.47,1.0,0.76,0.54,0.92,0.84,0.8,0.77,0.77,0.72,0.71,0.62,1.0,0.77
PM10_1,1.31,1.31,,,1.3,0.97,,1.2,1.12,0.88,1.0,0.82,0.79,0.91,,1.29,1.0
