,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.0,0.35,0.1,0.97,0.51,0.14,0.64,0.53,0.25,0.48,0.18,0.21,0.41,0.21,0.76,0.46,0.1
PRES_0_1,1.01,1.0,,,0.98,0.51,0.15,0.64,0.54,0.25,0.48,0.18,0.21,0.42,0.21,0.77,0.46,0.1
PRES_0_0,27.37,,1.16,,25.6,,,14.82,9.0,9.32,,4.36,,,3.22,20.33,15.93,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.07,1.07,0.35,0.1,1.0,2.17,,0.69,0.55,0.27,0.49,0.19,0.25,0.42,0.21,0.82,0.49,0.11
DEWP_1_0,6.57,6.49,,,,1.0,0.25,3.51,14.88,1.53,,1.13,0.85,,,5.03,3.25,0.76
DEWP_0_0,65.96,60.64,,,,12.47,1.21,32.6,,12.68,,10.25,7.59,,,48.99,32.05,2.14
WSPM_0_1,1.89,1.87,0.89,,1.87,0.81,0.22,1.01,1.66,0.44,2.41,0.31,0.39,1.26,0.49,1.44,0.85,0.19
WSPM_0_2,3.58,3.63,0.65,0.25,3.36,2.78,,3.06,1.01,1.18,2.39,0.76,0.91,,1.12,2.69,1.56,0.34
WSPM_0_0,5.22,5.18,,,5.11,2.8,0.72,3.28,3.0,1.06,4.32,0.82,0.95,,1.13,3.89,2.65,0.55
WSPM_0_3,5.99,5.91,,,5.6,,,6.54,6.87,2.5,1.01,1.53,,,,4.79,2.58,0.5
WSPM_1_0,6.43,6.39,,,6.25,3.33,0.64,3.97,4.13,1.43,4.52,1.08,1.38,,1.8,4.83,3.16,0.73
WSPM_1_1,9.78,9.66,,,10.24,3.19,0.86,5.73,9.39,2.08,,1.58,1.07,,1.05,7.43,4.99,1.36
WSPM_0_4,10.88,10.75,,,10.18,,,29.21,,,,5.17,,1.0,,8.62,5.14,
WSPM_1_2,27.18,26.15,,,25.42,,,20.56,21.06,5.65,,4.88,4.33,,1.13,20.19,28.68,
PM10_0,1.35,1.35,0.39,0.11,1.31,0.66,0.19,0.85,0.73,0.35,0.73,0.24,0.3,0.54,0.25,1.0,0.66,0.2
PM10_1,2.53,2.5,,,2.43,1.59,0.33,1.59,1.34,0.6,0.99,0.44,0.49,1.29,0.54,1.99,1.01,0.18
PM10_2,34.58,34.16,,,32.76,,,22.18,25.22,7.11,9.28,5.98,,,,27.9,14.06,1.2
