,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.02,66.84,2382.48,1.09,13.31,661.36,3.54,7.55,39.71,13.33,93.0,83.24,27.47,167.29,2.04,8.03,794.8
PRES_0_1,1.0,1.03,,,1.09,13.53,630.83,3.54,7.32,40.13,13.55,93.19,84.6,27.91,156.3,2.03,8.1,807.7
PRES_0_0,1.0,,4502.57,,1.2,,,3.53,21.25,14.44,,87.54,,,495.31,2.21,3.73,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,1.02,68.58,2604.76,1.19,0.79,,3.41,8.12,39.43,14.57,93.05,72.43,30.03,177.54,2.05,8.12,811.87
DEWP_1_0,0.98,1.02,,,,150.38,2437.71,5.06,1.47,42.85,,93.56,198.41,,,1.93,6.96,394.34
DEWP_0_0,0.82,0.64,,,,93.99,36753.2,2.23,,40.07,,73.51,213.01,,,1.81,8.25,4594.15
WSPM_0_1,1.0,1.02,55.2,,1.04,19.51,690.5,5.34,2.88,45.2,2.94,116.28,96.09,2.61,74.36,2.07,7.97,761.58
WSPM_0_2,1.0,1.0,160.34,13033.48,1.18,1.61,,1.11,29.28,20.29,2.93,59.19,13.82,,60.34,2.06,7.32,404.65
WSPM_0_0,0.99,1.02,,,1.08,15.54,1315.31,3.92,2.43,69.14,3.76,130.09,116.83,,255.63,2.05,8.33,1118.02
WSPM_0_3,1.0,1.03,,,1.2,,,0.32,2.21,13.77,116.49,34.95,,,,1.88,9.04,1465.78
WSPM_1_0,1.0,1.02,,,1.09,14.51,,3.89,3.7,55.02,4.81,107.95,86.02,,95.38,2.04,8.12,1093.99
WSPM_1_1,1.0,1.03,,,0.92,36.19,2668.78,4.16,2.91,46.38,,83.56,368.84,,205.01,2.01,9.09,940.14
WSPM_0_4,1.0,1.03,,,1.2,,,0.63,,,,21.15,,576.49,,1.87,7.78,
WSPM_1_2,1.0,0.93,,,1.2,,,2.72,,42.49,,66.9,83.8,,4956.56,2.21,6.55,
PM10_0,1.0,1.01,95.54,3541.61,1.09,14.64,853.77,3.6,7.54,41.32,11.24,95.65,91.48,27.42,241.39,2.19,6.63,508.81
PM10_1,1.0,1.03,,,1.13,8.25,260.37,3.35,7.8,35.56,17.79,86.48,68.25,21.83,,1.81,11.41,1281.8
PM10_2,1.0,1.03,,,1.16,,,3.42,,36.9,28.77,93.73,,,,1.64,11.61,8860.15
