,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,1.47,1.13,,,1.24,0.81,0.12,0.22,,,1.16,1.08,0.12,,1.22,1.83,1.48,0.93,2.4,0.28,0.1,0.05,1.22,1.38,1.12
TEMP_0_0,0.89,1.63,,,0.89,1.11,0.03,0.88,,,0.49,1.02,0.74,,1.1,1.83,1.28,0.71,2.47,0.66,0.42,0.25,1.21,1.3,1.15
TEMP_1_1,,0.13,2.65,,0.14,0.06,2.32,,,,1.44,0.61,,0.55,1.28,1.79,1.62,1.09,2.46,0.23,,,1.37,1.49,0.98
TEMP_0_2,,,,5.49,,,,,5.28,1.84,,,2.57,,1.05,1.81,0.91,0.42,2.84,0.74,,,1.31,1.27,0.96
PRES_0_0,1.35,1.25,0.06,,1.4,0.69,,0.11,,,1.1,1.1,0.2,,1.22,1.77,1.39,0.86,2.41,0.37,0.09,0.2,1.18,1.38,1.18
PRES_1_0,0.97,1.46,,,0.94,2.22,,0.1,,,0.66,1.1,0.48,,1.15,1.92,1.22,0.81,2.54,0.52,0.4,,1.25,1.31,1.28
PRES_0_1,0.32,0.17,2.19,,,,2.51,,,,1.46,0.53,,0.49,1.34,1.74,1.53,0.91,2.47,0.21,0.3,,1.38,1.48,0.85
PRES_1_1,0.85,1.65,,,0.28,0.04,,2.79,,,0.14,0.92,1.05,,0.88,2.04,1.73,0.96,2.39,0.73,0.33,,1.25,1.22,0.93
PRES_1_3,,,,5.5,,,,,6.0,,,,2.58,,0.96,1.86,1.08,0.5,2.94,0.87,,,1.29,1.25,1.04
PRES_1_2,,,,5.37,,,,,,15.22,,,2.52,,1.51,1.31,,,1.99,,,,,1.36,
DEWP_1_0,1.06,0.8,0.72,,0.94,0.61,0.78,0.07,,,1.5,0.74,0.03,,1.36,1.75,1.39,0.69,2.53,0.27,0.04,,1.23,1.43,0.99
DEWP_0_0,1.19,1.45,0.11,,1.03,0.98,0.1,0.52,,,0.64,1.53,,,1.06,1.95,1.53,1.02,2.33,0.36,0.33,0.28,1.27,1.3,1.18
DEWP_0_1,0.44,1.28,,1.41,0.6,0.82,,1.19,1.22,0.7,,,2.58,,0.95,1.74,1.11,0.9,2.52,1.1,0.36,,1.17,1.31,1.27
DEWP_1_1,,,2.66,,,,2.52,,,,,,,12.44,1.55,1.31,1.69,,3.28,,,,1.45,1.53,
WSPM_0_1,1.02,1.11,0.39,0.21,0.9,0.89,0.45,0.31,0.18,0.14,1.01,0.94,0.33,0.1,1.52,1.71,1.25,0.57,2.61,0.11,0.07,,1.25,1.39,0.98
WSPM_0_0,1.02,1.13,0.36,0.19,0.96,0.67,0.34,0.49,0.19,,0.92,0.95,0.35,,0.96,2.3,1.58,0.76,2.77,0.23,0.17,,1.33,1.31,1.0
WSPM_1_1,1.05,1.09,0.4,0.19,0.9,0.6,0.4,0.56,0.18,,0.89,1.04,0.33,,1.11,1.95,2.53,0.77,2.3,0.19,,,1.28,1.34,1.11
WSPM_1_2,1.0,1.17,0.48,0.1,1.0,0.65,0.42,0.5,0.11,,0.95,1.09,0.39,,0.89,1.9,0.95,2.77,2.01,0.34,0.16,,1.25,1.34,1.47
WSPM_1_0,1.01,1.13,0.35,0.25,0.92,0.77,0.36,0.41,0.22,,0.88,0.92,0.42,,1.12,2.17,1.55,0.6,2.87,0.22,,,1.29,1.33,1.01
WSPM_0_2,0.85,1.22,0.23,0.46,0.86,0.97,0.22,0.63,0.32,,0.58,0.64,1.12,,0.55,0.96,0.83,0.26,1.8,3.63,,,0.85,1.37,1.65
WSPM_1_3,0.99,1.31,,,0.83,0.93,0.52,0.5,,,0.85,1.1,0.68,,0.66,0.92,0.41,0.45,0.55,,7.99,,1.45,1.44,0.73
WSPM_0_3,1.47,1.65,,,1.13,,,,,,,1.56,,,,0.93,,,1.38,,,12.02,,1.51,1.91
PM10_0,0.96,1.14,0.39,0.21,0.86,0.8,0.41,0.48,0.2,,0.88,0.99,0.38,0.11,1.08,1.99,1.5,1.04,2.48,0.34,0.34,,1.42,1.21,0.83
PM10_1,1.04,1.1,0.39,0.23,0.92,0.74,0.41,0.39,0.17,0.19,0.95,0.93,0.36,0.06,1.29,1.75,1.4,0.72,2.48,0.41,0.09,0.14,1.18,1.51,1.0
PM10_2,1.16,1.26,0.22,0.17,1.19,0.93,0.23,0.25,0.12,,0.97,0.87,0.74,,1.18,1.31,0.99,0.44,2.19,0.99,,0.6,0.5,1.44,3.12
