,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,1.0,,,,,0.92,0.82,0.7,0.66,0.6,,1.03,0.81,0.34,0.3,,0.78,0.77,0.73,0.67,0.65,0.6,0.59,0.59,0.5,,1.03,0.8
TEMP_0_1,,1.0,,,,1.14,1.08,0.84,0.85,0.78,,1.32,,,,,1.0,0.98,0.93,0.84,0.84,0.75,0.75,,0.97,,1.33,1.04
TEMP_0_0,,,0.99,0.24,1.08,1.36,,0.9,0.95,0.87,1.08,,1.14,,,1.08,1.09,1.12,0.97,0.96,0.93,0.88,0.85,,0.74,1.08,1.46,1.08
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.1,0.88,0.76,,,1.0,,,0.87,0.66,,1.13,0.89,,,,0.85,0.85,0.81,0.73,0.71,0.66,0.65,0.63,0.57,,1.13,0.85
PRES_1_3,1.22,0.93,,,,,1.0,,,0.52,,1.25,0.98,0.42,0.36,,0.95,0.92,0.85,0.81,0.8,0.75,0.72,0.73,0.64,,1.25,0.96
PRES_1_1,1.36,1.15,0.97,0.36,,,1.14,0.98,1.18,1.0,,1.48,1.15,,0.6,,1.21,1.02,1.14,0.89,0.96,0.83,0.78,,0.99,,1.51,1.25
PRES_1_0,1.51,1.17,1.05,,0.81,1.35,,0.92,1.0,0.91,0.81,1.56,1.21,,,0.81,1.07,1.26,1.06,1.06,1.39,0.88,0.96,,0.88,0.81,1.52,1.2
PRES_0_0,1.66,1.29,1.15,,,2.04,1.0,0.93,1.04,1.0,,1.77,1.24,0.54,0.42,,1.3,1.19,1.22,1.05,0.77,0.89,0.96,,,,1.73,1.33
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.97,0.75,,,,0.88,0.8,0.66,0.63,0.58,,1.0,0.68,0.34,0.29,,0.75,0.75,0.7,0.64,0.63,0.58,0.57,0.58,0.54,,1.0,0.78
DEWP_0_1,1.23,0.95,0.87,0.3,0.9299999999999999,1.16,0.97,0.84,0.84,0.78,0.9299999999999999,1.12,1.0,0.36,0.37,0.9299999999999999,1.01,0.95,0.9,0.84,0.82,0.75,0.75,0.66,0.65,0.9299999999999999,1.29,0.97
DEWP_0_0,2.93,,,,,,,,2.18,1.77,,,,1.0,0.87,,2.27,,,,,,,,,,2.66,2.33
DEWP_1_0,3.38,,,,,,,,,,,,,,1.0,,3.12,,,,,,,,,,2.99,3.13
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.29,1.0,0.81,,,1.18,1.06,0.77,0.83,0.72,,1.33,0.9,0.36,0.24,,0.99,1.12,0.69,1.08,0.47,0.86,0.82,,,,1.33,0.93
WSPM_0_1,1.3,0.99,0.9,,0.9299999999999999,1.22,1.05,0.87,0.81,0.78,0.9299999999999999,1.33,1.06,,,0.9299999999999999,0.84,1.01,0.81,0.87,0.82,0.83,0.8,0.94,0.91,0.9299999999999999,1.32,1.01
WSPM_0_2,1.36,1.08,1.06,0.45,,1.2,1.15,0.84,0.9,0.59,,1.43,1.11,,,,1.46,1.21,1.0,0.95,0.9,0.77,0.88,,,,1.47,0.99
WSPM_0_0,1.49,1.18,1.01,,,1.37,1.23,1.08,1.02,1.16,,1.56,1.18,,,,1.07,1.03,1.13,1.0,1.16,0.92,0.87,0.83,1.21,,1.56,1.22
WSPM_1_2,1.54,1.2,1.07,,,1.44,1.28,1.12,1.23,1.39,,1.61,1.27,,,,1.72,1.22,0.99,0.99,1.0,0.84,0.78,,1.44,,1.58,3.21
WSPM_1_1,1.68,1.3,1.11,,,1.48,1.31,1.23,1.24,1.12,,1.73,1.3,,,,1.16,1.31,1.33,1.07,1.2,1.0,0.96,,,,1.73,1.76
WSPM_1_0,1.67,1.32,1.18,,,1.56,1.4,1.22,1.18,1.17,,1.75,1.34,,,,1.16,1.19,1.21,1.14,1.19,1.06,1.0,,,,1.73,1.33
WSPM_0_4,1.74,,,,,1.6,1.43,,,,,1.71,1.52,0.45,0.39,,,1.04,,,,0.86,0.55,1.0,,,1.75,1.34
WSPM_1_3,1.92,1.46,1.34,,,1.76,1.57,1.3,1.51,,,1.97,1.53,,,,,,,0.94,0.76,,0.81,,1.0,,1.88,3.45
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.97,0.75,0.66,0.25,0.44999999999999996,0.89,0.79,0.66,0.67,0.61,0.44999999999999996,1.0,0.77,0.41,0.47,0.44999999999999996,0.73,0.77,0.68,0.66,0.68,0.6,0.58,0.57,0.59,0.44999999999999996,1.0,0.77
PM10_1,1.25,0.98,0.88,,,1.14,1.05,0.77,0.78,0.73,,1.27,1.02,0.33,0.24,,1.02,0.8,0.97,0.71,0.24,0.56,0.67,0.71,0.28,,1.29,1.0
