,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,1.14,,,,,0.97,0.85,0.58,0.64,0.69,,1.02,0.72,0.57,0.66,,0.84,0.85,0.76,0.94,0.76,0.77,1.02,0.78,0.67,,1.02,0.91
TEMP_0_1,,1.61,,,,0.74,1.05,1.02,0.89,0.87,,1.19,,,,,0.86,0.9,1.01,1.06,0.93,0.92,1.13,,0.54,,1.1,1.05
TEMP_0_0,,,1.86,,,0.96,,0.98,1.29,1.18,,,1.6,,,,0.8,1.11,0.76,1.2,0.79,1.01,1.24,,0.7,,1.13,1.03
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.06,0.63,0.72,,,1.29,,,,0.32,,1.03,0.8,,,,0.88,0.88,0.76,1.04,0.82,0.89,1.1,0.57,0.55,,1.08,0.85
PRES_1_3,1.05,0.98,,,,,1.49,,,,,1.1,0.71,0.52,0.69,,0.74,0.85,0.9,0.95,0.82,0.81,1.04,1.03,0.82,,1.04,1.09
PRES_1_1,0.84,1.18,1.04,1.25,,,,1.94,,0.61,,0.93,1.23,,,,1.02,0.83,0.82,1.17,1.05,0.86,1.18,,0.77,,1.18,0.96
PRES_1_0,0.92,0.93,1.25,,,,,,1.98,1.29,,1.05,1.08,,,,0.77,1.21,0.96,1.13,0.66,0.91,1.27,,0.79,,1.17,1.03
PRES_0_0,1.03,0.9,1.17,,,0.49,,,1.36,2.2,,1.1,1.0,1.49,,,1.15,1.13,1.04,0.82,0.68,0.81,1.07,,,,1.09,1.35
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.99,0.89,,,,0.92,0.87,0.61,0.72,0.73,,1.09,,,,,0.85,0.83,0.83,0.95,0.73,0.81,1.03,0.62,0.56,,1.01,0.93
DEWP_0_1,0.89,,1.39,0.87,,0.91,0.72,1.04,0.96,0.89,,,1.54,,,,0.68,1.01,0.69,1.08,0.97,0.85,1.11,0.77,0.87,,1.1,0.93
DEWP_0_0,1.58,,,,,,,,,2.39,,,,4.84,,,1.88,,,,,,,,,,1.45,1.5
DEWP_1_0,1.66,,,,,,,,,,,,,,5.18,,2.3,,,,,,,,,,,2.32
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.07,0.84,0.69,,,1.03,0.77,0.83,0.78,0.94,,1.11,0.69,0.86,0.73,,1.6,0.32,,0.58,,,0.7,,,,1.02,1.23
WSPM_0_1,1.02,0.83,0.92,,,0.98,0.84,0.7,1.0,0.9,,1.03,0.98,,,,0.33,1.58,0.34,0.8,0.53,0.67,1.21,,,,1.13,0.87
WSPM_0_2,1.01,1.05,0.76,,,0.92,1.02,0.72,0.94,0.83,,1.15,0.73,,,,,0.34,1.76,0.63,,0.46,0.99,,,,1.13,1.1
WSPM_0_0,1.04,0.93,0.98,,,1.07,0.87,0.93,0.87,0.8,,1.1,0.97,,,,0.29,0.65,0.47,1.84,1.01,1.1,1.88,,0.59,,1.23,0.63
WSPM_1_2,1.07,1.02,0.77,,,1.03,0.96,1.06,0.66,1.03,,1.05,1.1,,,,,0.68,,1.09,2.0,0.77,0.64,,,,1.24,0.92
WSPM_1_1,1.08,0.98,0.98,,,1.14,0.87,0.83,0.84,0.89,,1.16,0.95,,,,,0.95,0.72,1.5,0.62,2.17,0.93,,,,1.27,0.93
WSPM_1_0,1.12,0.92,0.94,,,1.12,0.89,0.88,1.01,0.77,,1.16,0.96,,,,0.46,1.01,0.54,1.81,0.7,1.09,1.9,,,,1.25,0.82
WSPM_0_4,1.35,,,,,0.9,1.45,,,,,1.09,1.12,1.09,,,,,,,,,,2.43,,,0.95,1.55
WSPM_1_3,1.26,0.7,0.89,,,0.94,1.24,0.93,0.85,,,1.05,1.27,,,,,,,0.62,,,,,2.76,,1.26,1.28
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.96,0.79,0.73,0.47,,0.93,0.78,0.75,0.77,0.69,,0.97,0.82,0.4,,,0.71,0.91,0.74,1.04,0.87,0.88,1.1,0.46,0.69,,1.08,0.64
PM10_1,1.02,0.88,0.82,,,0.84,1.03,0.67,0.85,1.06,,1.06,0.85,0.71,0.77,,1.14,0.71,0.97,0.63,0.2,0.48,0.78,1.08,0.36,,0.78,1.51
