,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_1_0,1.99,0.1,,,,,0.99,0.54,0.93,0.3,,,,1.24,0.58,0.33,0.05,0.05,,0.74,0.48,0.48,0.75,0.42,0.49,0.5,0.37,0.2,,0.77,0.81,0.52
TEMP_0_0,0.1,2.02,,,,,0.35,1.37,0.56,0.5,,,,0.68,1.01,0.02,0.62,0.89,,0.77,0.69,0.72,0.23,0.37,0.26,0.35,0.5,0.31,,0.83,0.74,0.5
TEMP_1_1,,,3.31,,,,1.15,,0.55,,2.41,,,0.42,0.03,2.59,,,,0.58,1.14,0.32,0.3,0.56,0.59,0.28,0.11,,,1.05,0.59,
TEMP_0_2,,,,6.29,,,0.06,,,1.6,,4.61,,0.59,0.76,,,2.3,,0.22,0.43,0.33,1.95,0.5,0.37,0.27,0.49,,,0.86,0.59,0.79
TEMP_0_1,,,,,7.46,,0.09,0.48,,2.42,,1.55,,0.04,,,4.85,,,0.22,0.12,1.88,,0.57,0.36,0.44,0.34,1.74,,0.67,0.7,1.2
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.07,0.35,1.01,0.04,0.06,,2.3,0.02,0.14,,,,,1.09,0.23,0.92,0.1,0.09,,0.68,0.69,0.55,0.67,0.37,0.46,0.24,0.26,0.17,,0.69,0.88,0.6
PRES_1_1,0.58,1.45,,,0.29,,0.02,2.42,,,,,,0.65,0.84,,0.85,1.05,,0.7,0.66,0.77,0.22,0.36,0.35,0.47,0.51,0.33,,0.85,0.69,0.52
PRES_1_0,1.08,0.67,0.54,,,,0.15,,2.89,,,,,1.06,0.64,0.59,0.15,,,0.57,0.61,0.59,0.77,0.44,0.41,0.37,0.4,0.18,,0.94,0.67,0.24
PRES_1_2,0.42,0.69,,1.36,1.92,,,,,4.39,,,,0.61,1.31,,1.22,,,0.66,0.36,0.55,0.62,0.76,0.46,0.59,0.46,0.55,,0.87,0.73,0.39
PRES_0_1,,,3.3,,,,,,,,6.95,,,,,3.43,,,,0.97,1.17,,,0.68,0.54,0.37,,,,1.03,0.65,
PRES_1_3,,,,4.99,1.56,,,,,,,7.5,,0.18,0.43,,1.04,2.97,,0.27,0.56,0.87,1.04,0.27,0.24,0.39,0.43,0.57,,0.9,0.32,1.33
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,1.15,0.63,0.32,0.34,0.02,,0.95,0.57,0.83,0.41,,0.09,,1.72,0.07,,,,,0.82,0.47,0.71,0.9,0.26,0.3,0.13,0.06,,,0.64,0.91,0.69
DEWP_0_0,0.71,1.2,0.03,0.57,,,0.26,0.94,0.64,1.13,,0.3,,0.08,3.03,,,,,0.35,0.86,0.33,0.16,0.78,0.67,0.89,0.95,0.44,,1.18,0.43,0.04
DEWP_1_1,0.41,0.02,2.63,,,,1.06,,0.61,,2.55,,,,,3.44,,,,0.61,1.29,0.15,0.32,0.47,0.57,0.25,0.12,,,0.93,0.79,
