,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_0_2,1.11,,,,,0.86,0.67,0.38,0.48,0.54,,0.99,0.54,0.28,0.4,,0.7,0.79,0.62,0.94,0.66,0.71,1.06,0.5,0.41,,1.05,1.03,0.75
TEMP_0_1,,1.47,,,,0.64,0.92,0.78,0.73,0.75,,1.26,,,,,0.75,0.91,0.93,1.16,0.9,0.92,1.28,,0.4,,1.21,1.31,1.03
TEMP_0_0,,,1.63,0.38,3.0,0.93,,0.71,1.11,1.05,3.0,,1.5,,,3.0,0.64,1.15,0.64,1.25,0.72,1.11,1.44,,0.48,3.0,1.26,1.27,0.89
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.04,0.46,0.48,,,1.23,,,0.27,0.35,,1.03,0.61,,,,0.76,0.86,0.63,1.06,0.73,0.86,1.19,0.33,0.33,,1.15,1.05,0.69
PRES_1_3,1.03,0.78,,,,,1.38,,,0.16,,1.13,0.56,0.3,0.45,,0.61,0.8,0.79,1.02,0.75,0.8,1.16,0.74,0.56,,1.09,1.19,1.01
PRES_1_1,0.79,1.02,0.78,0.8,,,0.25,1.68,0.63,0.78,,0.93,1.09,,0.86,,0.97,0.83,0.77,1.17,1.02,0.72,1.16,,0.61,,1.33,1.31,0.99
PRES_1_0,0.91,0.76,1.01,,2.07,0.37,,0.35,1.74,1.45,2.07,1.11,0.94,,,2.07,0.69,1.41,0.91,1.32,0.77,1.0,1.58,,0.57,2.07,1.34,1.42,1.0
PRES_0_0,1.07,0.74,0.94,,,0.77,0.24,0.51,1.48,1.9,,1.23,0.85,0.67,0.65,,1.01,1.1,0.86,0.99,0.58,0.93,1.29,,,,1.28,1.62,1.26
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.92,0.67,,,,0.8,0.69,0.4,0.53,0.57,,1.08,0.1,0.14,0.21,,0.7,0.78,0.68,0.94,0.63,0.74,1.07,0.38,0.34,,1.03,1.06,0.8
DEWP_0_1,0.85,0.17,1.12,0.49,2.0100000000000002,0.84,0.55,0.78,0.76,0.77,2.0100000000000002,0.19,1.41,0.21,0.43,2.0100000000000002,0.58,1.01,0.58,1.15,0.89,0.87,1.26,0.48,0.6,2.0100000000000002,1.19,1.1,0.76
DEWP_0_0,2.02,,,,,,,,2.38,2.36,,,,3.56,3.74,,2.05,,,,,,,,,,1.41,2.23,
DEWP_1_0,2.19,,,,,,,,,,,,,,3.69,,2.6,,,,,,,,,,1.76,2.36,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.08,0.65,0.42,,,0.97,0.61,0.56,0.63,0.68,,1.16,0.47,0.33,0.36,,1.45,0.63,0.18,0.8,0.19,0.48,0.93,,,,1.12,1.33,0.98
WSPM_0_1,1.02,0.66,0.67,,1.56,0.93,0.68,0.53,0.8,0.85,1.56,1.06,0.81,,,1.56,0.42,1.45,0.44,1.19,0.75,1.0,1.56,0.32,0.37,1.56,1.24,1.14,0.88
WSPM_0_2,1.0,0.87,0.58,0.62,,0.82,0.9,0.47,0.75,0.54,,1.21,0.57,,,,0.38,0.77,1.58,0.99,0.52,0.71,1.32,,,,1.3,1.35,0.79
WSPM_0_0,1.06,0.76,0.74,,,1.06,0.75,0.74,0.68,0.78,,1.18,0.82,,,,0.45,0.88,0.78,1.67,1.06,1.16,1.68,0.23,0.62,,1.4,1.11,0.65
WSPM_1_2,1.11,0.86,0.55,,,1.04,0.84,0.87,0.6,0.98,,1.13,1.0,,,,0.63,1.09,0.52,1.46,1.75,0.95,1.12,,0.73,,1.4,1.39,
WSPM_1_1,1.14,0.83,0.76,,,1.11,0.74,0.68,0.83,0.9,,1.27,0.82,,,,0.5,1.11,0.75,1.54,1.08,1.87,1.57,,,,1.47,1.43,0.9
