,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.47,0.28,0.98,0.63,0.34,0.83,0.72,0.58,0.64,0.5,0.52,0.56,0.44,0.96,0.58
PRES_0_1,1.0,1.0,,,0.99,0.63,0.35,0.83,0.73,0.58,0.64,0.5,0.52,0.56,0.45,0.97,0.58
PRES_0_0,3.19,,0.64,,3.12,,,2.66,1.98,,,1.65,,,0.94,3.04,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.02,0.46,0.28,0.99,,,0.86,0.73,0.6,0.65,0.52,0.55,0.56,0.43,0.99,0.59
DEWP_1_0,1.96,1.95,,,,0.76,0.35,1.49,2.42,1.13,,1.0,0.83,,,1.9,1.28
DEWP_0_0,4.69,4.5,,,,,0.62,4.02,,1.8,,,1.73,,,4.47,
WSPM_0_1,1.26,1.25,0.61,,1.25,0.73,0.36,0.92,1.58,0.87,,0.68,0.61,,,1.22,0.72
WSPM_0_2,1.58,1.59,0.59,0.31,1.53,1.33,,2.26,0.83,1.29,,0.98,,,,1.52,0.87
WSPM_0_0,1.81,1.8,,,1.78,1.13,,1.55,1.52,0.82,1.59,0.72,1.1,,0.84,1.74,1.03
WSPM_0_3,1.9,1.89,,,1.84,,,,,1.74,0.77,1.21,,,,1.85,1.02
WSPM_1_0,1.95,1.95,,,1.92,1.24,,1.62,1.6,0.96,1.56,0.86,1.42,,,1.86,1.27
WSPM_1_1,2.27,2.26,,,2.3,1.24,0.63,2.33,,0.95,,0.94,0.74,,,2.15,1.51
WSPM_0_4,2.36,2.35,,,2.28,,,,,,,,,0.71,,2.3,1.54
WSPM_1_2,3.26,3.24,,,3.19,,,,,1.85,,,,,0.64,3.1,
PM10_0,1.04,1.03,0.47,0.28,1.02,0.66,0.35,0.85,0.75,0.61,0.67,0.53,0.54,0.59,0.44,0.99,0.65
PM10_1,1.89,1.88,,,1.85,1.36,,1.59,1.44,0.95,1.1,0.81,0.9,1.17,,1.96,0.8
