,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,1.44,0.69,,,1.15,0.6,0.12,0.19,,,1.03,0.89,0.1,,1.01,1.19,0.87,0.6,1.44,0.23,0.09,0.04,1.0,1.17,0.7
TEMP_0_0,0.64,1.58,,,0.73,0.87,0.03,0.81,,,0.38,0.94,0.72,,0.87,1.19,0.79,0.48,1.52,0.5,0.32,0.2,1.05,1.03,0.76
TEMP_1_1,,,2.65,,0.12,0.02,2.32,,,,1.39,0.38,,0.55,1.05,1.14,0.9,0.74,1.47,0.19,,,1.16,1.25,0.52
TEMP_0_2,,,,5.49,,,,,5.25,1.84,,,2.57,,0.9,1.24,0.57,0.27,1.8,0.55,,,1.06,1.09,0.6
PRES_0_0,1.26,0.89,0.06,,1.4,0.35,,0.06,,,0.96,0.91,0.18,,1.0,1.13,0.81,0.57,1.46,0.3,0.07,0.16,0.96,1.19,0.81
PRES_1_0,0.83,1.31,,,0.55,2.22,,,,,0.52,1.01,0.47,,0.91,1.21,0.75,0.51,1.53,0.39,0.32,,1.09,1.03,0.72
PRES_0_1,0.27,0.1,2.19,,,,2.51,,,,1.41,0.33,,0.49,1.11,1.1,0.85,0.61,1.48,0.17,0.21,,1.18,1.23,0.46
PRES_1_1,0.6,1.59,,,0.11,,,2.79,,,0.08,0.91,1.05,,0.68,1.44,1.09,0.66,1.45,0.5,0.23,,1.13,0.94,0.49
PRES_1_3,,,,5.5,,,,,6.0,,,,2.58,,0.78,1.37,0.67,0.33,1.96,0.66,,,1.14,1.03,0.62
PRES_1_2,,,,5.37,,,,,,15.22,,,2.52,,1.51,,,,1.23,,,,,1.36,
DEWP_1_0,1.0,0.52,0.72,,0.89,0.38,0.78,0.04,,,1.49,0.41,0.01,,1.14,1.08,0.75,0.45,1.53,0.21,,,0.98,1.25,0.69
DEWP_0_0,1.02,1.19,0.11,,0.88,0.82,0.1,0.5,,,0.39,1.52,,,0.83,1.31,0.97,0.69,1.41,0.28,0.27,0.23,1.13,1.03,0.65
DEWP_0_1,0.32,1.24,,1.29,0.45,0.66,,1.07,1.15,0.54,,,2.58,,0.73,1.16,0.69,0.59,1.54,0.87,0.27,,0.97,1.05,0.85
DEWP_1_1,,,2.66,,,,2.52,,,,,,,12.44,1.41,0.99,0.97,,2.1,,,,1.37,1.09,
WSPM_0_1,0.93,0.88,0.39,0.21,0.84,0.61,0.45,0.28,0.17,0.14,0.94,0.74,0.31,0.1,1.49,0.8,0.6,0.31,1.47,0.02,,,0.98,1.2,0.67
WSPM_0_0,0.9,0.87,0.36,0.17,0.8,0.58,0.34,0.44,0.18,,0.76,0.83,0.35,,0.51,2.11,1.05,0.4,2.38,0.15,0.1,,1.19,1.02,0.51
WSPM_1_1,0.98,0.9,0.4,0.17,0.78,0.51,0.4,0.5,0.15,,0.76,0.92,0.33,,0.83,1.57,2.4,0.23,1.25,0.1,,,1.1,1.13,0.58
WSPM_1_2,0.93,0.81,0.48,0.1,0.83,0.53,0.42,0.46,0.11,,0.78,0.97,0.39,,0.57,1.11,0.19,2.73,0.71,0.12,,,1.2,1.07,0.8
WSPM_1_0,0.89,0.87,0.35,0.22,0.78,0.69,0.36,0.37,0.21,,0.77,0.81,0.41,,0.81,1.77,0.81,0.19,2.25,0.15,,,1.12,1.06,0.58
WSPM_0_2,0.67,1.16,0.23,0.34,0.81,0.69,0.22,0.57,0.32,,0.53,0.55,1.07,,0.15,0.3,0.24,0.09,0.67,3.62,,,0.65,1.11,1.38
WSPM_1_3,0.51,1.31,,,0.63,0.77,0.52,0.43,,,,1.1,0.68,,,0.38,,,,,7.99,,1.42,1.11,
WSPM_0_3,0.72,1.65,,,1.13,,,,,,,1.56,,,,,,,,,,12.02,,1.22,1.68
PM10_0,0.84,0.95,0.39,0.19,0.72,0.67,0.41,0.46,0.19,,0.72,0.9,0.38,0.11,0.84,1.38,0.95,0.69,1.58,0.23,0.26,,1.4,0.82,0.32
PM10_1,0.95,0.83,0.39,0.22,0.86,0.51,0.41,0.33,0.16,0.17,0.88,0.75,0.35,0.06,1.07,1.06,0.77,0.47,1.45,0.32,0.07,0.13,0.81,1.47,0.63
PM10_2,0.99,1.0,0.22,0.11,1.11,0.64,0.23,0.22,0.12,,0.95,0.65,0.64,,1.01,0.7,0.55,0.26,1.13,0.94,,0.44,0.21,1.13,3.01
