,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,1.0,0.96,,,1.01,0.88,0.79,0.82,,,0.99,0.99,0.86,,0.99,0.82,0.78,0.79,0.74,0.73,0.55,,1.08,0.9
TEMP_0_0,1.04,1.0,,,1.06,0.87,0.87,0.83,,,1.0,1.01,0.86,,1.01,0.89,0.87,0.82,0.79,0.76,0.58,0.48,1.13,0.95
TEMP_1_1,,,1.0,,1.28,,1.02,,,,1.21,1.23,,0.56,1.21,1.02,0.96,0.97,0.93,0.88,,,1.33,1.09
TEMP_0_2,,,,1.0,,,,,0.98,0.69,,,1.29,,1.53,1.31,1.22,1.24,1.17,1.13,,,1.71,1.38
PRES_0_0,0.99,0.93,0.78,,1.0,0.83,,0.82,,,0.97,0.97,0.83,,0.97,0.83,0.79,0.79,0.76,0.73,0.47,0.52,1.06,0.88
PRES_1_0,1.15,1.14,,,1.2,1.0,,,,,1.21,1.12,0.97,,1.15,0.95,0.94,0.9,0.82,0.83,0.7,,1.26,1.11
PRES_0_1,1.26,1.11,0.98,,,,1.0,,,,1.2,1.2,,0.55,1.18,1.02,0.95,0.95,0.92,0.87,0.67,,1.3,1.07
PRES_1_1,1.24,1.21,,,1.2,,,1.0,,,1.08,1.23,1.03,,1.19,1.04,1.0,0.98,0.91,0.92,0.81,,1.35,1.14
PRES_1_3,,,,1.03,,,,,1.0,,,,1.33,,1.58,1.35,1.29,1.28,1.21,1.18,,,1.75,1.45
PRES_1_2,,,,1.45,,,,,,1.0,,,1.82,,2.16,,,,,,,,2.52,1.68
DEWP_1_0,1.01,0.97,0.82,,1.04,0.84,0.84,0.89,,,1.0,1.0,0.8,,1.0,0.84,0.79,0.75,0.77,0.72,,,1.09,0.91
DEWP_0_0,1.02,0.99,0.81,,1.02,0.89,0.83,0.81,,,1.01,1.0,,,0.99,0.86,0.83,0.84,0.76,0.77,0.62,0.5,1.1,0.94
DEWP_0_1,1.17,1.16,,0.79,1.21,1.03,,0.98,0.76,0.59,,,1.0,,1.19,1.01,0.97,0.96,0.9,0.87,0.67,,1.32,1.09
DEWP_1_1,,,1.71,,,,1.75,,,,,,,1.0,2.07,1.61,1.41,,1.86,,,,2.25,
WSPM_0_1,1.01,0.99,0.81,0.65,1.03,0.86,0.84,0.83,0.63,0.48,0.98,1.01,0.84,0.45,1.0,0.89,0.74,0.83,0.8,,,,1.11,0.9
WSPM_0_0,1.18,1.12,0.98,0.75,1.21,1.03,0.98,0.94,0.74,,1.16,1.13,0.98,,1.11,1.0,1.04,0.88,0.89,0.95,,,1.29,0.99
WSPM_1_1,1.29,1.16,1.03,0.8,1.27,1.03,1.03,1.0,0.76,,1.26,1.22,1.01,,1.32,0.97,1.0,1.38,0.8,0.93,,,1.34,1.24
WSPM_1_2,1.28,1.23,1.03,0.75,1.28,1.1,1.05,1.04,0.78,,1.36,1.27,1.03,,1.2,1.11,0.67,1.0,1.2,1.1,,,1.34,1.25
WSPM_1_0,1.33,1.28,1.09,0.86,1.33,1.23,1.09,1.07,0.82,,1.31,1.34,1.11,,1.25,1.14,1.27,0.96,1.0,0.97,,,1.43,1.19
WSPM_0_2,1.4,1.33,1.19,0.89,1.39,1.18,1.21,1.09,0.85,,1.37,1.3,1.15,,,1.02,1.06,0.91,1.08,1.0,,,1.48,1.25
WSPM_1_3,1.97,1.73,,,2.14,1.43,1.5,1.24,,,,1.72,1.48,,,1.23,,,,,1.0,,1.94,1.98
WSPM_0_3,1.77,1.99,,,1.94,,,,,,,2.01,,,,,,,,,,1.0,,1.74
PM10_0,0.93,0.88,0.75,0.58,0.94,0.79,0.76,0.74,0.57,0.39,0.91,0.91,0.76,0.44,0.91,0.78,0.76,0.75,0.7,0.68,0.53,,1.0,0.83
PM10_1,1.1,1.07,0.9,0.72,1.12,0.94,0.92,0.88,0.71,0.54,1.1,1.07,0.93,,1.09,0.91,0.79,0.76,0.82,0.78,,0.58,1.2,1.0
