,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,0.99,0.28,,0.97,0.47,0.19,0.78,0.6,0.52,0.49,0.47,0.4,0.38,0.28,0.89,0.69,0.24
PRES_0_1,1.0,1.0,,,0.97,0.48,0.18,0.78,0.59,0.52,0.49,0.48,0.41,0.39,0.26,0.89,0.7,0.24
PRES_0_0,1.53,,3.52,,1.52,,,1.07,1.45,,,,,,1.09,1.62,,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.01,1.0,0.29,,1.03,,,0.76,0.63,0.52,0.52,0.48,0.37,0.41,0.28,0.89,0.71,0.25
DEWP_1_0,1.28,1.29,,,,2.12,,1.23,0.29,0.68,,0.61,0.81,,,1.17,0.74,
DEWP_0_0,1.73,1.54,,,,,4.61,,,,,,1.72,,,1.81,,
WSPM_0_1,1.09,1.09,0.28,,1.04,0.64,,1.25,,,,0.41,0.15,,,0.97,0.74,0.28
WSPM_0_2,1.18,1.16,0.51,,1.2,0.2,,,1.64,,,0.3,,,,1.05,0.83,
WSPM_0_0,1.25,1.24,,,1.21,0.59,,,,1.55,,1.11,0.58,,,1.12,0.84,
WSPM_0_3,1.27,1.27,,,1.29,,,,,,2.03,0.24,,,,1.04,1.02,0.54
WSPM_1_0,1.28,1.28,,,1.25,0.61,,0.72,0.39,1.32,0.27,1.11,,,,1.12,0.93,
WSPM_1_1,1.36,1.36,,,1.21,0.99,0.72,0.53,,0.55,,,2.25,,,1.26,0.83,
WSPM_0_4,1.37,1.38,,,1.4,,,,,,,,,2.59,,1.2,0.84,
WSPM_1_2,1.54,1.46,1.13,,1.53,,,,,,,,,,3.48,1.61,,
PM10_0,1.04,1.03,0.35,,1.01,0.51,0.24,0.81,0.61,0.54,0.46,0.51,0.45,0.4,0.34,1.08,0.34,
PM10_1,1.13,1.13,,,1.12,0.44,,0.88,0.71,0.58,0.66,0.47,0.36,0.38,,0.48,1.32,0.29
PM10_2,1.6,1.61,,,1.61,,,1.08,,,1.24,,,,,,1.2,3.14
