,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.05,303869.18,1248111739.89,1.3,1974.77,21308718.85,16.09,200.84,1699.29,1458.31,5131.63,20145.31,15277.68,655849.95,3.89,65.4,4298351.36
PRES_0_1,0.98,1.04,,,1.28,1958.93,20611026.09,15.84,193.93,1679.39,1446.62,5054.8,19947.12,15155.12,614525.69,3.82,64.66,4263871.06
PRES_0_0,0.02,,38945.87,,0.02,,,0.24,5.45,15.56,,73.89,,,20353.24,0.06,0.65,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,0.91,0.96,277095.8,1193670310.88,1.25,511.29,,14.5,189.74,1552.79,1394.7,4695.15,17388.35,14611.28,615697.82,3.57,60.03,3985216.8
DEWP_1_0,0.08,0.08,,,,531.27,2673860.77,1.51,9.25,139.22,,414.19,2409.18,,,0.3,5.05,222463.45
DEWP_0_0,,,,,,23.79,658411.65,0.06,,7.49,,22.44,132.54,,,0.02,0.32,48819.96
WSPM_0_1,0.43,0.45,126931.35,,0.55,1016.25,7892125.01,8.23,61.27,765.86,359.61,2430.25,9386.82,1731.93,193982.38,1.68,27.78,1765981.64
WSPM_0_2,0.18,0.19,80211.04,629874688.87,0.25,100.54,,1.88,69.24,248.19,133.67,809.14,1664.7,,85075.43,0.71,11.01,487506.37
WSPM_0_0,0.11,0.12,,,0.14,257.31,4190709.71,1.94,11.14,232.92,81.58,625.94,2578.86,,96076.01,0.43,7.51,576337.17
WSPM_0_3,0.09,0.1,,,0.13,,,0.5,12.43,99.63,386.64,304.9,,,,0.35,6.3,536441.72
WSPM_1_0,0.08,0.09,,,0.11,177.04,1858142.4,1.42,11.65,164.19,73.33,455.5,1786.19,,52476.87,0.32,5.67,465544.75
WSPM_1_1,0.05,0.05,,,0.06,159.98,2301061.74,0.84,7.36,92.11,,252.05,1864.49,,25575.83,0.18,3.5,287791.03
WSPM_0_4,0.04,0.04,,,0.06,,,0.41,,,,120.91,,2842.33,,0.15,2.7,
WSPM_1_2,0.01,0.01,,,0.02,,,0.2,2.2,22.08,,60.18,382.42,,45578.05,0.06,1.09,
PM10_0,0.67,0.7,243889.3,1023688123.23,0.87,1398.39,16978582.59,10.93,136.21,1182.43,921.58,3523.91,14655.02,10293.8,537660.46,2.69,40.83,2454452.56
PM10_1,0.29,0.31,,,0.38,446.77,3357534.94,4.48,58.56,447.8,468.73,1403.97,4918.31,3978.49,48362.23,1.08,21.75,1520491.59
PM10_2,0.01,0.01,,,0.01,,,0.14,1.41,11.68,17.06,42.54,,,,0.03,0.68,113260.07
