,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,1.0,,,,,0.92,0.82,0.69,0.66,0.6,,1.03,0.81,0.34,0.3,,0.78,0.77,0.73,0.66,0.65,0.6,0.59,0.58,0.51,,1.03,0.8
TEMP_0_1,,1.0,,,,1.16,1.07,0.85,0.85,0.78,,1.32,,,,,1.0,0.99,0.93,0.84,0.84,0.76,0.76,,0.83,,1.33,1.03
TEMP_0_0,,,0.99,0.25,1.08,1.34,,0.93,0.95,0.87,1.08,,1.14,,,1.08,1.12,1.11,1.0,0.96,0.93,0.87,0.86,,0.75,1.08,1.47,1.11
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.1,0.86,0.76,,,1.0,,,0.95,0.66,,1.13,0.88,,,,0.85,0.84,0.8,0.73,0.72,0.66,0.65,0.63,0.57,,1.13,0.86
PRES_1_3,1.22,0.94,,,,,1.0,,,0.52,,1.25,0.98,0.42,0.36,,0.95,0.93,0.86,0.81,0.79,0.75,0.72,0.71,0.63,,1.26,0.96
PRES_1_1,1.42,1.15,1.01,0.36,,,,0.99,1.21,1.0,,1.5,1.17,,0.58,,1.19,1.08,1.12,0.95,0.94,0.89,0.85,,0.89,,1.52,1.21
PRES_1_0,1.51,1.17,1.05,,0.81,1.3,,0.85,1.0,0.91,0.81,1.56,1.21,,,0.81,1.11,1.23,1.04,1.04,1.39,0.91,0.92,,0.96,0.81,1.54,1.2
PRES_0_0,1.66,1.29,1.15,,,1.76,1.41,0.97,1.05,1.0,,1.73,1.28,0.59,0.46,,1.31,1.24,1.29,1.02,0.8,0.81,0.94,,,,1.71,1.32
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.97,0.75,,,,0.89,0.8,0.66,0.64,0.58,,1.0,,,0.29,,0.75,0.75,0.7,0.64,0.63,0.58,0.57,0.57,0.52,,1.0,0.77
DEWP_0_1,1.24,0.93,0.87,0.3,0.9299999999999999,1.15,1.0,0.84,0.82,0.77,0.9299999999999999,1.22,1.0,,0.37,0.9299999999999999,0.98,0.96,0.9,0.84,0.82,0.75,0.75,0.68,0.65,0.9299999999999999,1.29,0.98
DEWP_0_0,2.93,,,,,,,,2.28,1.77,,,,1.0,0.87,,2.27,,,,,,,,,,3.02,2.33
DEWP_1_0,3.38,,,,,,,,,,,,,,1.0,,3.12,,,,,,,,,,,3.13
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.29,1.0,0.86,,,1.18,1.06,0.82,0.85,0.72,,1.33,0.99,0.41,0.28,,1.0,1.1,,1.21,0.43,1.07,0.83,,,,1.34,0.96
WSPM_0_1,1.29,1.0,0.9,,,1.2,1.05,0.86,0.82,0.76,,1.33,1.04,,,,0.91,1.0,0.81,0.91,0.84,0.77,0.8,0.67,0.97,,1.31,1.03
WSPM_0_2,1.37,1.08,1.03,0.42,,1.23,1.16,0.89,0.94,0.67,,1.43,1.11,,,,,1.23,1.0,1.0,0.75,0.75,0.94,,,,1.47,1.0
WSPM_0_0,1.51,1.17,1.02,,,1.38,1.25,1.04,1.0,1.07,,1.56,1.19,,,,0.85,1.05,1.12,1.0,1.17,0.9,0.88,,0.95,,1.56,1.26
WSPM_1_2,1.54,1.2,1.07,,,1.42,1.26,1.1,1.06,1.37,,1.6,1.24,,,,2.26,1.2,1.3,0.96,1.0,0.92,0.74,,,,1.58,3.04
WSPM_1_1,1.68,1.3,1.14,,,1.52,1.31,1.14,1.16,1.2,,1.73,1.32,,,,,1.31,1.41,1.01,1.06,1.0,0.9,,,,1.73,1.75
WSPM_1_0,1.68,1.3,1.16,,,1.55,1.39,1.17,1.16,1.17,,1.75,1.34,,,,1.08,1.27,1.14,1.14,1.19,1.04,1.0,,,,1.73,1.44
WSPM_0_4,1.74,,,,,1.6,1.43,,,,,1.75,1.47,0.58,0.49,,,,,,,0.85,0.57,1.0,,,1.77,1.31
WSPM_1_3,1.92,1.46,1.34,,,1.76,1.57,1.3,1.27,,,1.97,1.53,,,,,,,0.99,,,0.82,,1.0,,1.89,2.86
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.97,0.75,0.67,0.23,0.51,0.89,0.79,0.65,0.65,0.61,0.51,1.0,0.77,0.36,0.57,0.51,0.73,0.77,0.68,0.65,0.67,0.58,0.58,0.55,0.57,0.51,1.0,0.77
PM10_1,1.25,0.98,0.88,,,1.15,1.04,0.82,0.8,0.73,,1.28,1.02,0.4,0.28,,1.02,0.85,0.96,0.74,0.28,0.66,0.68,0.72,0.34,,1.29,1.0
