,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,0.99,0.26,0.14,0.97,0.46,0.22,0.83,0.61,0.69,0.49,0.77,0.5,0.37,0.29,0.99,0.63
PRES_0_1,1.0,1.0,,,0.97,0.46,0.21,0.84,0.61,0.69,0.49,0.78,0.5,0.38,0.29,0.99,0.64
PRES_0_0,1.79,,2.55,,1.8,,,1.4,1.63,0.77,,1.26,,,0.95,1.81,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.01,1.01,0.27,0.15,1.02,,,0.83,0.64,0.7,0.51,0.78,0.47,0.39,0.3,1.0,0.65
DEWP_1_0,1.39,1.4,,,,1.73,0.36,1.38,0.45,0.99,,1.08,0.96,,,1.36,0.73
DEWP_0_0,2.19,1.9,,,,2.36,3.24,1.5,,1.45,,1.29,2.09,,,2.21,
WSPM_0_1,1.12,1.12,0.27,,1.07,0.6,0.18,1.18,0.25,0.67,,0.87,0.41,,0.14,1.11,0.69
WSPM_0_2,1.26,1.24,0.46,0.34,1.26,0.23,,0.36,1.44,0.51,,0.71,,,,1.24,0.76
WSPM_0_0,1.35,1.34,,,1.3,0.63,,0.94,0.44,1.49,0.37,1.5,0.99,,0.39,1.33,0.88
WSPM_0_3,1.38,1.38,,,1.39,,,,,0.52,1.68,0.61,,,,1.36,1.04
WSPM_1_0,1.4,1.39,,,1.36,0.65,,1.11,0.66,1.39,0.42,1.39,0.86,,,1.38,0.96
WSPM_1_1,1.51,1.51,,,1.36,1.07,0.79,1.38,,1.13,,0.89,1.81,,,1.5,1.05
WSPM_0_4,1.54,1.54,,,1.55,,,,,,,0.64,,2.01,,1.48,0.77
WSPM_1_2,1.81,1.72,,,1.83,,,1.22,,1.23,,0.9,,,2.51,1.83,
PM10_0,1.02,1.01,0.28,0.15,0.99,0.47,0.24,0.85,0.63,0.71,0.48,0.8,0.52,0.37,0.31,1.03,0.55
PM10_1,1.37,1.38,,,1.36,0.46,,1.14,0.84,0.8,0.82,0.86,0.51,0.42,,1.22,1.56
