,ENE_0,E_0,NE_0,ESE_0,SW_0,SE_0,N_0,SSW_0,NW_0,S_0,NNW_0,NNE_0,SSE_0,WSW_0,WNW_0,W_0,NNE_1,ENE_1,NW_2,NE_1,E_1,NW_1,SW_1,SW_2,NNE_2,WSW_1,ESE_1,SSW_1,NW_3,NNW_1,SE_1,N_1,ENE_2,SW_3,WSW_2,E_2,NE_2,NNW_2,WNW_1,S_1,SSE_1,SSW_2,NW_4,ESE_2,NE_3,WSW_3,ENE_3,NE_4,WNW_2,SW_4,NE_6,WSW_4,nan_0,E_3,NE_5,S_2,NNW_3,E_4,N_2,SSW_3,W_1,ESE_3,ENE_4,W_2,SE_2,ESE_5,SE_4,N_3,NNW_4,WNW_3,ESE_4,WNW_4,SSW_6,SE_3,N_5,ENE_5,ENE_7,WSW_5,SSW_4,SSE_3,S_3,SSE_2,ENE_6,WNW_5,N_4,WNW_6,SSW_5,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE_0,1.0,0.99,0.97,0.87,0.8,0.81,0.84,0.77,0.79,0.72,0.83,0.81,0.8,0.84,0.79,0.9,0.61,0.6,,0.72,0.58,,0.67,,0.66,,0.69,0.48,,,,0.48,0.48,,,0.54,0.59,,,,0.47,,,0.45,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,1.17,1.64,1.21,1.48,1.48,1.5,1.46,1.49,1.46,1.73,0.36,1.64,1.16
E_0,1.0,1.0,0.98,0.92,0.82,0.86,0.91,0.76,0.81,0.78,0.8,0.8,0.78,0.85,0.77,0.86,0.69,0.7,,0.73,0.58,,0.5,,0.49,0.59,0.66,0.46,,,0.61,0.48,0.47,,,0.62,0.56,,,0.58,0.67,,,0.45,,,0.48,,,,,,0.46,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,1.15,1.66,1.2,1.5,1.49,1.51,1.49,1.5,1.49,1.75,0.36,1.66,1.16
NE_0,1.02,1.0,1.0,0.96,0.96,0.86,0.86,0.82,0.88,0.72,0.85,0.81,0.75,0.93,0.81,0.92,0.67,0.63,0.56,0.61,0.7,0.47,0.52,,0.74,,0.89,,,0.44,,0.51,0.49,,,0.52,0.51,,,,,,,,0.5,,0.5,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,1.23,1.67,1.28,1.52,1.52,1.56,1.5,1.54,1.51,1.79,0.52,1.69,1.13
ESE_0,1.13,1.09,1.05,1.0,0.88,0.95,0.97,0.81,0.77,0.82,0.95,0.95,0.79,0.81,0.84,0.84,0.67,0.6,,0.69,0.64,,0.65,0.56,0.62,,0.56,0.49,,,0.53,,0.68,,,0.54,,,,0.51,0.43,,,0.44,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,1.78,1.21,1.77,1.25,1.61,1.56,1.6,1.57,1.59,1.57,1.85,0.45,1.76,1.29
SW_0,1.24,1.2,1.07,1.16,1.0,1.11,0.98,1.0,1.06,1.02,1.05,0.93,1.05,0.89,0.94,0.83,0.87,1.05,,,0.79,0.73,0.61,0.68,,0.56,,0.63,,,,,,0.65,0.48,,,,,0.56,0.59,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,1.29,1.89,1.3,1.76,1.65,1.68,1.76,1.67,1.76,1.99,,1.9,1.5
SE_0,1.2,1.15,1.17,1.08,0.94,1.0,1.15,0.9,0.96,0.91,0.88,1.09,0.96,0.88,0.77,0.88,1.05,0.83,,0.76,0.73,,0.61,,,0.67,0.67,0.52,,,0.5,,,,,0.66,,,,0.59,0.61,,,0.58,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,1.31,1.92,1.36,1.75,1.69,1.72,1.73,1.71,1.72,2.01,,1.9,1.52
N_0,1.15,1.1,1.13,1.0,1.0,0.88,1.0,0.83,1.02,0.93,0.95,0.99,0.83,0.87,0.87,0.79,0.77,0.82,0.84,0.82,0.86,0.85,,,0.57,,,,,0.75,,0.76,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,1.55,1.87,1.59,1.73,1.73,1.77,1.67,1.77,1.68,2.01,,1.89,1.33
SSW_0,1.33,1.36,1.3,1.24,1.05,1.11,1.2,1.0,0.89,1.02,1.05,1.15,1.01,0.89,0.91,0.83,,0.72,,,0.87,,0.6,0.44,,0.43,,0.65,,,,,,,,,,,,0.49,0.53,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,1.35,1.92,1.33,1.8,1.67,1.71,1.82,1.72,1.74,2.03,,1.96,1.49
NW_0,1.26,1.26,1.16,1.3,0.92,0.99,0.98,1.2,1.0,0.96,0.95,0.99,0.97,0.97,0.94,0.91,0.58,0.89,0.68,0.67,,0.77,,,,,,,0.54,0.71,,0.67,,,,,,0.6,0.55,,,,,,,,,,0.45,,,,0.54,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.89,1.92,1.75,1.77,1.75,1.81,1.72,1.87,1.73,2.06,,1.98,1.45
S_0,1.39,1.32,1.41,1.22,1.0,1.09,1.06,0.97,1.21,1.0,1.05,1.21,0.98,0.91,0.93,0.79,0.96,1.03,,,0.71,,0.38,0.61,,,,0.52,,,0.57,,,,,,,,,0.56,0.57,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.38,1.99,1.37,1.83,1.74,1.77,1.84,1.78,1.79,2.09,,1.99,1.54
